N	2gram	Vinokur_St	Komedia
325	его не	3	4
326	сомневаться в	3	4
327	что же	6	4
328	же как	5	4
329	что с	4	4
330	того времени	8	4
331	не на	3	4
332	к числу	3	4
333	е в	3	4
334	например в	8	4
335	в основе	4	4
336	как известно	2	4
337	обоих случаях	2	4
338	хотя в	2	4
339	одно из	3	4
340	с их	2	4
341	современного читателя	2	4
342	я не	13	4
343	чуть ли	2	4
344	и почему	4	4
345	бы не	2	4
346	и их	3	4
347	у нас	12	4
348	времени и	4	4
349	и другие	3	4
350	такой же	6	4
351	обвинения в	2	4
352	ко времени	2	4
353	а то	3	4
354	должна была	6	4
355	их в	2	4
356	это слово	6	4
357	выражение в	2	4
358	что мы	5	4
359	в той	9	4
360	что эта	5	4
361	по его	5	4
362	этой области	5	4
363	и речи	3	4
364	ли можно	2	4
365	нет ни	3	3
366	и потому	3	3
367	не могут	2	3
368	трагедии в	3	3
369	нисколько не	3	3
370	в одной	3	3
371	вплоть до	6	3
372	не раз	2	3
373	должно было	5	3
374	с той	3	3
375	как к	3	3
376	для себя	3	3
377	политическом отношении	2	3
378	должен быть	3	3
379	что именно	2	3
380	на все	2	3
381	а как	5	3
382	том же	3	3
383	от своего	2	3
384	в году	3	3
385	такое же	2	3
386	своего времени	4	3
387	а с	6	3
388	не являются	3	3
389	видно что	3	3
390	для понимания	2	3
391	от этого	2	3
392	в эту	3	3
393	она не	3	3
394	ли в	3	3
395	они не	2	3
396	и за	3	3
397	в голову	2	3
398	по этому	5	3
399	на них	2	3
400	обстоятельство что	4	3
401	иначе в	2	3
402	ни одного	4	3
403	для них	2	3
404	в виде	3	3
405	было в	2	3
406	но столь	2	3
407	и и	2	3
408	судить по	3	3
409	числе и	2	3
410	нет никаких	2	3
411	в эпоху	3	3
412	а к	2	3
413	это в	4	3
414	и уже	3	3
415	мы находим	4	3
416	так называемой	2	3
417	для своего	2	3
418	как о	2	3
419	совершенно не	7	3
420	чем не	2	3
421	меньшей мере	3	3
422	лет до	2	3
423	и более	4	3
424	можно найти	3	3
425	отношения к	2	3
426	сто лет	3	3
427	ответа на	2	3
428	более или	2	3
429	связанные с	3	3
430	если это	3	3
431	будто бы	4	3
432	то обстоятельство	3	3
433	по меньшей	3	3
434	времени не	5	3
435	по себе	3	3
436	разумеется что	5	3
437	является не	4	3
438	целого ряда	2	3
439	в таком	4	3
440	как на	10	3
441	нельзя не	3	3
442	не к	2	3
443	о которой	3	3
444	этих двух	4	3
445	еще и	5	2
446	в каком	4	2
447	в свой	2	2
448	тем самым	2	2
449	таким путем	2	2
450	как можно	2	2
451	не для	3	2
452	случае в	4	2
453	в №	3	2
454	не как	2	2
455	что здесь	2	2
456	по изд	9	2
457	была не	2	2
458	в свое	3	2
459	не надо	2	2
460	нас не	3	2
461	более что	2	2
462	это дело	3	2
463	во времена	4	2
464	мере в	3	2
465	и очень	5	2
466	того что	14	2
467	со всеми	2	2
468	это человек	4	2
469	только потому	2	2
470	что все	3	2
471	стр и	5	2
472	общего с	3	2
473	могло быть	3	2
474	к первому	2	2
475	она была	2	2
476	думаю что	6	2
477	в общем	2	2
478	гораздо более	5	2
479	была бы	10	2
480	зависимости от	2	2
481	на свой	2	2
482	во втором	5	2
483	что тот	2	2
484	полное право	3	2
485	в уста	3	2
486	котором он	2	2
487	и те	4	2
488	обвинение в	2	2
489	же касается	3	2
490	в известном	3	2
491	г как	2	2
492	в основу	5	2
493	точно так	2	2
494	совсем не	3	2
495	на чем	2	2
496	не была	2	2
497	в зависимости	2	2
498	и до	2	2
499	все эти	7	2
500	этого рода	2	2
501	свидетельствуют о	2	2
502	должна быть	3	2
503	следовало бы	2	2
504	этом случае	3	2
505	и можно	2	2
506	бы и	4	2
507	именно поэтому	2	2
508	следующие слова	2	2
509	в которую	2	2
510	лет назад	2	2
511	особенно в	2	2
512	с которыми	3	2
513	то в	3	2
514	быть не	2	2
515	как например	2	2
516	в сцене	7	2
517	двадцатых годов	2	2
518	работы в	3	2
519	это был	3	2
520	из этой	2	2
521	не знаю	2	2
522	не виноват	2	2
523	при таком	2	2
524	но это	9	2
525	стиха в	3	2
526	однако и	2	2
527	не все	3	2
528	и так	3	2
529	только с	4	2
530	о котором	2	2
531	дело не	4	2
532	от которого	2	2
533	еще до	4	2
534	чтобы сделать	2	2
535	между прочим	10	2
536	молодой женщины	3	2
537	перед собой	2	2
538	всех трех	2	2
539	превращается в	2	2
540	сцены в	2	2
541	где он	2	2
542	но они	3	2
543	отношении к	3	2
544	в рукописи	6	2
545	такие случаи	2	2
546	не должен	2	2
547	на эти	7	2
548	для него	10	2
549	почти все	2	2
550	что только	2	2
551	его жизни	3	2
552	можно считать	2	2
553	при его	3	2
554	этот вопрос	6	2
555	ее в	2	2
556	но нет	2	2
557	хотя это	2	2
558	это были	3	2
559	богатого и	2	2
560	при жизни	2	2
561	я думаю	11	2
562	этом смысле	2	2
563	пребывания в	3	2
564	места в	3	2
565	свое мнение	2	2
566	в случае	2	2
567	говорит о	5	2
568	бы ни	3	2
569	тем у	2	2
570	и только	3	2
571	в форме	2	2
572	же и	4	2
573	меня в	2	2
574	без всякого	2	2
