N	2gram	Medvedev_V	FransuaR
282	между прочим	2	6
283	хотя бы	20	6
284	от того	2	6
285	остановимся на	2	6
286	которые в	2	6
287	например у	2	6
288	не столько	2	6
289	говорить о	2	6
290	тогда когда	2	5
291	должна быть	2	5
292	из его	4	5
293	и весь	2	5
294	по словам	8	5
295	не вполне	2	5
296	когда он	4	5
297	не является	5	5
298	что мы	2	5
299	для его	4	5
300	с другими	2	5
301	с нею	2	5
302	на язык	2	5
303	как например	2	5
304	должно быть	2	5
305	и этот	2	5
306	бы и	6	5
307	всяком случае	2	5
308	он сам	2	5
309	по его	2	5
310	же самое	2	5
311	в слове	3	5
312	на основе	5	5
313	бы не	2	5
314	от его	2	5
315	но даже	3	5
316	на эти	2	5
317	многие из	2	5
318	всех других	3	5
319	года и	2	5
320	видеть в	3	5
321	стороны и	2	5
322	он пишет	9	5
323	же как	2	5
324	мы имеем	3	5
325	только то	2	5
326	человека в	2	5
327	на то	2	5
328	говорит об	2	4
329	в каждом	2	4
330	с более	2	4
331	действительности и	7	4
332	это особенно	2	4
333	так называемые	3	4
334	но к	2	4
335	стороны в	2	4
336	чтобы не	2	4
337	ее как	2	4
338	и отдельных	3	4
339	на это	2	4
340	при всем	3	4
341	заключается в	2	4
342	труда и	2	4
343	но для	2	4
344	со своим	3	4
345	их и	4	4
346	и слова	2	4
347	что даже	2	4
348	также что	2	4
349	основываясь на	2	4
350	ни одного	2	4
351	этому вопросу	2	4
352	свидетельствуют о	2	4
353	который в	2	4
354	этот вопрос	3	4
355	только не	2	4
356	внимание на	2	4
357	них не	4	4
358	если в	2	4
359	утверждает что	3	4
360	его от	2	4
361	и некоторые	2	4
362	о его	2	4
363	из своих	2	4
364	не по	2	4
365	знаем что	2	4
366	по себе	2	4
367	что многие	2	3
368	при всей	2	3
369	систему образов	3	3
370	это только	4	3
371	она не	3	3
372	в художественном	10	3
373	которая не	2	3
374	не о	2	3
375	много и	2	3
376	как об	2	3
377	как от	2	3
378	примеров можно	2	3
379	этого рода	2	3
380	необходимо и	2	3
381	бы еще	2	3
382	не всегда	2	3
383	после этого	2	3
384	говорит в	3	3
385	тому что	7	3
386	равно как	4	3
387	говорит и	8	3
388	и мир	3	3
389	образами и	2	3
390	явления в	2	3
391	него в	3	3
392	что его	2	3
393	явлений и	3	3
394	рассказывает о	4	3
395	эта не	2	3
396	и формы	2	3
397	в силу	14	3
398	начинается с	2	3
399	они должны	2	3
400	действующих лиц	5	3
401	а для	2	3
402	войны и	2	3
403	вот почему	5	3
404	этом процессе	2	3
405	том чтобы	2	3
406	является не	4	3
407	будто бы	2	3
408	и через	2	3
409	в последнем	2	3
410	искусстве и	2	3
411	и может	2	3
412	то это	2	3
413	из основных	2	3
414	приводит к	6	3
415	при помощи	3	2
416	сил и	3	2
417	из приведенных	3	2
418	и непосредственно	2	2
419	этом же	2	2
420	этому поводу	7	2
421	разума и	3	2
422	всего сказанного	2	2
423	необходимость в	2	2
424	о своем	2	2
425	с реальной	2	2
426	этого типа	3	2
427	что нет	2	2
428	понимать как	2	2
429	что такое	2	2
430	из себя	2	2
431	носит в	2	2
432	показывает как	2	2
433	единого и	2	2
434	можно определить	2	2
435	вслед за	3	2
436	восприятия и	2	2
437	на вопрос	2	2
438	к сожалению	2	2
439	можно ли	2	2
440	художественное творчество	6	2
441	важно подчеркнуть	2	2
442	одном и	2	2
443	в науке	2	2
444	мертвые души	2	2
445	не приходится	2	2
446	в самых	2	2
447	в италии	2	2
448	и отдельные	2	2
449	вообще и	2	2
450	в другую	3	2
451	что ни	2	2
452	в работе	3	2
453	определить как	2	2
454	и дальше	2	2
455	образе и	3	2
456	но вот	2	2
457	должны быть	2	2
458	некоторых из	2	2
459	я бы	2	2
460	в нашей	4	2
461	говорить не	3	2
462	отличается от	2	2
463	гете и	2	2
464	это делает	3	2
465	точном смысле	2	2
466	такое понимание	2	2
467	после всего	2	2
468	что образы	2	2
469	не обходится	4	2
470	само собою	2	2
471	в конечном	7	2
472	в единстве	4	2
473	плана в	2	2
474	что оно	3	2
475	над романом	2	2
476	как пародия	2	2
477	частности к	2	2
478	не столь	3	2
479	реальной действительности	10	2
480	художественном творчестве	6	2
481	конечном счете	5	2
482	а о	2	2
483	вне его	2	2
484	только о	2	2
485	не с	2	2
486	что при	2	2
487	и обобщения	2	2
488	и художественное	3	2
