N	2gram	Propp_Russ	Freidism
125	в таких	3	4
126	его к	3	4
127	так же	7	4
128	но это	5	4
129	в области	3	4
130	связанных с	2	4
131	в этот	19	4
132	тем не	3	4
133	мы увидим	8	4
134	в первый	5	4
135	в виду	3	4
136	в основном	4	4
137	не всегда	4	4
138	ничего общего	3	4
139	свою очередь	2	4
140	только на	4	4
141	и за	2	4
142	у него	2	4
143	как в	10	4
144	к ней	4	4
145	между собой	4	4
146	в своем	3	4
147	только с	2	4
148	борьбы с	2	4
149	влияние на	3	4
150	по своему	2	4
151	так называемый	2	4
152	в котором	2	4
153	связанные с	5	4
154	потому что	15	4
155	именно в	3	4
156	уже знаем	2	4
157	этот вопрос	4	4
158	главным образом	5	4
159	в целом	2	4
160	только как	2	4
161	себя и	2	4
162	в данном	7	4
163	и то	2	3
164	и от	2	3
165	о них	2	3
166	независимо от	3	3
167	такие же	4	3
168	не будем	5	3
169	и как	2	3
170	какой степени	3	3
171	на место	2	3
172	как не	2	3
173	на все	3	3
174	он был	2	3
175	одним из	2	3
176	и при	2	3
177	у нас	11	3
178	представления и	2	3
179	такой же	3	3
180	на две	3	3
181	связано с	3	3
182	как на	2	3
183	чаще всего	3	3
184	в какой	3	3
185	и следовательно	2	3
186	на этот	3	3
187	из наиболее	2	3
188	значение в	2	3
189	на этой	3	3
190	в г	6	3
191	о том	14	3
192	оно не	2	3
193	их в	7	3
194	на себя	4	3
195	ответ на	2	3
196	приводит к	4	3
197	в одном	4	3
198	в них	10	3
199	уже в	2	3
200	для них	5	3
201	находится в	3	3
202	между двумя	2	3
203	говорит о	3	3
204	мы видим	2	3
205	на другие	2	3
206	не совсем	6	3
207	когда он	3	3
208	природы и	3	3
209	во всей	2	3
210	из основных	2	3
211	в нашем	2	3
212	общего не	2	3
213	между тем	9	3
214	вопрос о	4	2
215	в изучении	2	2
216	выводу что	3	2
217	нет в	2	2
218	следовательно и	2	2
219	когда мы	2	2
220	в различных	3	2
221	нас к	5	2
222	а также	6	2
223	но эти	3	2
224	его с	4	2
225	в круг	3	2
226	только часть	2	2
227	должно быть	2	2
228	и поэтому	3	2
229	самом же	2	2
230	дело не	2	2
231	и через	2	2
232	обе стороны	2	2
233	в глаза	3	2
234	его и	2	2
235	не имели	2	2
236	также в	5	2
237	в отличие	4	2
238	есть и	2	2
239	как по	2	2
240	или же	2	2
241	друг друга	3	2
242	должен быть	2	2
243	ее от	2	2
244	а на	8	2
245	таком виде	2	2
246	он должен	2	2
247	в некоторых	11	2
248	в их	5	2
249	в поле	18	2
250	только для	3	2
251	ни одно	2	2
252	и другие	24	2
253	можно сделать	3	2
254	останавливаться на	2	2
255	а именно	2	2
256	для нас	12	2
257	которые можно	2	2
258	их не	2	2
259	в течение	7	2
260	по всему	2	2
261	отличие от	4	2
262	нас в	2	2
263	подойти к	2	2
264	а с	6	2
265	образом в	2	2
266	очень много	2	2
267	пытается объяснить	2	2
268	в прошлом	2	2
269	от этого	2	2
270	думать что	3	2
271	и так	2	2
272	в него	2	2
273	силу и	2	2
274	в эту	3	2
275	не имеет	9	2
276	за пределами	2	2
277	только одну	2	2
278	носит название	2	2
279	они и	2	2
280	заметить что	3	2
281	воспоминания о	2	2
282	входит в	4	2
283	на которой	2	2
284	но все	3	2
285	такие представления	2	2
286	с таким	2	2
287	тогда когда	4	2
288	из которых	2	2
289	представляет собой	5	2
290	такое же	2	2
291	и их	4	2
292	на них	4	2
293	на другой	2	2
294	ко всему	2	2
295	но если	2	2
296	же деле	2	2
297	там где	3	2
298	же как	5	2
299	но вместе	3	2
300	на первую	2	2
301	что с	2	2
302	и во	2	2
303	и всей	2	2
304	связаны с	6	2
305	в качестве	5	2
306	в дальнейшем	2	2
307	не к	3	2
308	что при	2	2
309	этому времени	2	2
310	будто бы	10	2
