N	2gram	Losev_Vlad	Tvorches
237	к тому	5	3
238	свидетельствует о	3	3
239	в ней	5	3
240	на себя	3	3
241	другой стороны	3	3
242	всяком случае	8	3
243	во мне	2	3
244	октября года	5	3
245	просто не	2	3
246	не то	3	3
247	по этому	3	3
248	а н	14	3
249	точно так	2	3
250	спб с	2	3
251	совсем не	7	3
252	что с	3	3
253	и до	4	3
254	воли и	2	3
255	в с	7	3
256	можно сказать	10	3
257	как мы	17	3
258	но зато	2	3
259	да и	6	3
260	сказать что	14	3
261	письма т	19	3
262	во многих	2	3
263	то в	6	3
264	время в	4	3
265	из этих	5	3
266	в начале	7	3
267	это в	2	3
268	и еще	3	3
269	больше чем	2	3
270	декабря года	6	3
271	его как	2	3
272	к ней	7	3
273	в этот	5	3
274	только что	2	3
275	во второй	3	3
276	я и	2	3
277	кроме того	12	3
278	в статье	2	3
279	лишь в	3	3
280	и вот	5	3
281	человека как	3	3
282	в философии	2	3
283	для того	4	3
284	у нас	11	3
285	себе не	2	3
286	году в	3	3
287	в жизни	4	3
288	на этот	9	3
289	нет и	2	3
290	но уже	3	3
291	что для	5	3
292	и если	8	3
293	и к	10	3
294	а по	3	3
295	но на	3	3
296	на этом	3	3
297	он и	8	3
298	по себе	3	3
299	несмотря на	7	3
300	в русском	2	3
301	жизни и	8	3
302	и что	11	3
303	во всяком	8	3
304	и особенно	6	3
305	тому же	3	3
306	в которую	2	3
307	в одном	2	3
308	года он	16	3
309	он все	2	2
310	как было	2	2
311	которого он	2	2
312	в свой	3	2
313	в отношении	5	2
314	и притом	5	2
315	в доме	7	2
316	не могут	2	2
317	но мы	3	2
318	а что	3	2
319	но как	6	2
320	против этого	2	2
321	о чем	6	2
322	в тех	3	2
323	но даже	3	2
324	философии но	2	2
325	по своей	4	2
326	сравнительно с	3	2
327	имеют для	2	2
328	я должен	2	2
329	в стихотворении	3	2
330	начала и	2	2
331	он всегда	2	2
332	никуда не	2	2
333	и всегда	4	2
334	интереса к	3	2
335	после этого	2	2
336	свою очередь	2	2
337	всякого рода	3	2
338	в петербург	8	2
339	говорил что	2	2
340	и очень	5	2
341	образом в	2	2
342	о нем	9	2
343	с тем	4	2
344	этот факт	2	2
345	не мешает	2	2
346	она не	3	2
347	если у	2	2
348	не могу	2	2
349	он в	4	2
350	тоже не	2	2
351	вопросы философии	4	2
352	того же	11	2
353	жизнь в	2	2
354	и м	3	2
355	что можно	4	2
356	н толстого	2	2
357	он написал	4	2
358	и без	2	2
359	ответ на	2	2
360	между прочим	18	2
361	настоящее время	2	2
362	то это	4	2
363	что же	11	2
364	уже тогда	4	2
365	для них	2	2
366	меня не	2	2
367	у меня	3	2
368	людей в	2	2
369	ли он	2	2
370	того чтобы	4	2
371	это время	7	2
372	пушкина и	2	2
373	было бы	7	2
374	н к	3	2
375	же в	3	2
376	связи с	7	2
377	в сущности	2	2
378	в связи	9	2
379	он был	20	2
380	в качестве	7	2
381	всю жизнь	4	2
382	во время	4	2
383	первом плане	2	2
384	сам он	2	2
385	на этих	2	2
386	не отрицал	2	2
387	жизни с	2	2
388	эту тему	2	2
389	здесь мы	4	2
390	и и	8	2
391	по поводу	15	2
392	кажется что	3	2
393	не столь	2	2
394	и вообще	12	2
395	но она	4	2
396	всех этих	3	2
397	не могли	2	2
398	он как	4	2
399	вообще говоря	2	2
400	что если	3	2
401	в россию	5	2
402	вот что	7	2
403	соловьев в	21	2
404	а к	24	2
405	во всех	4	2
406	о своем	3	2
407	с самим	2	2
408	ii с	5	2
409	а главное	2	2
410	тем не	8	2
411	но этот	3	2
412	относился к	4	2
413	у одного	2	2
414	он писал	5	2
415	л н	3	2
416	должен был	3	2
417	от декабря	4	2
418	этой области	2	2
419	чем у	2	2
420	где он	5	2
421	в результате	6	2
422	и о	6	2
423	указывает на	2	2
424	ни к	2	2
425	июля года	3	2
426	в тот	3	2
427	одновременно с	2	2
428	отношении к	2	2
429	наконец в	3	2
430	жизнь и	3	2
431	н г	5	2
432	же году	2	2
433	о своих	2	2
434	то он	7	2
435	человека с	2	2
436	очень много	2	2
437	не имеет	2	2
438	за что	2	2
439	со своими	4	2
440	ни в	4	2
441	и здесь	3	2
442	их в	3	2
443	им в	3	2
444	а через	2	2
445	все что	2	2
446	я в	4	2
447	в произведении	2	2
448	г в	3	2
449	интерес и	2	2
450	к его	5	2
451	сам с	2	2
452	со своим	5	2
453	с которым	4	2
454	к своей	2	2
455	он стал	3	2
456	время он	3	2
457	любил и	3	2
458	был не	3	2
459	еще с	2	2
460	на первом	4	2
461	не из	2	2
462	ко всему	4	2
463	году и	2	2
464	которой он	7	2
465	в египте	3	2
466	и теперь	4	2
467	из этого	6	2
468	конце концов	6	2
469	пока еще	2	2
470	уже после	2	2
471	что во	2	2
472	не любил	3	2
473	как на	2	2
474	в высшей	2	2
475	этот момент	2	2
476	за то	2	2
477	не к	2	2
478	о которой	3	2
479	меня в	2	2
480	как раз	7	2
481	мы уже	8	2
482	нам представляется	3	2
483	ясно что	2	2
