N	2gram	Medvedev_V	Literetu
157	во всей	2	4
158	хотя и	2	4
159	во всяком	2	4
160	одной из	2	4
161	то это	2	4
162	к этому	9	4
163	сводится к	3	4
164	бы не	2	4
165	художественное произведение	7	4
166	для того	3	4
167	что его	2	4
168	художника в	6	4
169	в пределах	5	4
170	все они	2	4
171	можно сказать	4	4
172	на то	2	4
173	приводит к	6	4
174	в единстве	4	4
175	на этом	2	4
176	не вполне	2	4
177	вовсе не	3	4
178	таким образом	32	4
179	и есть	5	4
180	и потому	2	3
181	для его	4	3
182	так же	3	3
183	но как	3	3
184	о чем	2	3
185	по себе	2	3
186	крайней мере	2	3
187	этого рода	2	3
188	том же	6	3
189	т п	9	3
190	например не	2	3
191	стороны и	2	3
192	следующим образом	4	3
193	в сознании	4	3
194	они не	2	3
195	для многих	2	3
196	в образах	2	3
197	а к	2	3
198	же как	2	3
199	того чтобы	3	3
200	числе и	2	3
201	все эти	8	3
202	во время	4	3
203	должна быть	2	3
204	из его	4	3
205	и т	25	3
206	как от	2	3
207	который в	2	3
208	ее в	4	3
209	да и	2	3
210	относится к	2	3
211	если в	2	3
212	и от	3	3
213	как например	2	3
214	только то	2	3
215	творческого процесса	23	3
216	можно было	2	3
217	бы и	6	3
218	о своем	2	3
219	из своих	2	3
220	художественного произведения	6	3
221	которая не	2	3
222	мысль о	2	3
223	если бы	3	3
224	не удивительно	4	3
225	также и	2	3
226	в особенности	2	3
227	по слову	2	3
228	не по	2	3
229	а для	2	3
230	по крайней	2	3
231	что для	4	3
232	ни с	2	3
233	он говорит	5	3
234	в чем	2	3
235	что такое	2	3
236	он в	2	3
237	в творчестве	3	3
238	когда он	4	3
239	из которых	2	3
240	произведения в	7	3
241	всяком случае	2	3
242	творчества как	4	3
243	говорить о	2	3
244	же самое	2	3
245	же и	3	3
246	мира и	3	3
247	писал в	3	3
248	можно указать	2	2
249	чтобы не	2	2
250	перед нами	5	2
251	начиная с	2	2
252	а вот	3	2
253	который по	2	2
254	человека и	3	2
255	у каждого	2	2
256	и у	2	2
257	он же	6	2
258	должен быть	4	2
259	по словам	8	2
260	роль в	4	2
261	это и	6	2
262	а как	2	2
263	у них	2	2
264	и при	5	2
265	льва толстого	2	2
266	на вопрос	2	2
267	его не	3	2
268	всех других	3	2
269	органической связи	2	2
270	к его	2	2
271	так например	2	2
272	тому что	7	2
273	она не	3	2
274	в общем	2	2
275	могло бы	2	2
276	для художника	5	2
277	даже и	3	2
278	тогда когда	2	2
279	по этому	10	2
280	как целого	3	2
281	художника как	2	2
282	для них	2	2
283	и художественного	3	2
284	творческий процесс	17	2
285	и некоторые	2	2
286	с ними	4	2
287	и по	3	2
288	что они	3	2
289	и ее	4	2
290	различного рода	4	2
291	удивительно что	3	2
292	сказать что	5	2
293	по поводу	4	2
294	никак не	3	2
295	произведения как	6	2
296	не об	2	2
297	бы в	3	2
298	с другими	2	2
299	в нашей	4	2
300	в результате	5	2
301	из этих	7	2
302	так сказать	2	2
303	другом месте	2	2
304	автора как	2	2
305	чего бы	2	2
306	на это	2	2
307	в значительной	3	2
308	этом и	2	2
309	процесса в	2	2
310	им как	2	2
311	что художник	3	2
312	в последнем	2	2
313	явления в	2	2
314	в статье	4	2
315	него в	3	2
316	между собою	2	2
317	но даже	3	2
318	как известно	2	2
319	чуть ли	2	2
320	легко и	2	2
321	нет и	3	2
322	что у	3	2
323	из рассказа	2	2
324	творчества в	8	2
325	в котором	3	2
326	пока еще	2	2
327	и многих	2	2
328	нам остается	2	2
329	со своим	3	2
330	художника и	8	2
331	он пишет	9	2
332	только не	2	2
333	начинается с	2	2
334	внимание на	2	2
335	в работе	3	2
336	мы имеем	3	2
337	на основе	5	2
338	о работе	3	2
