N	2gram	Bakhtin_fo	Dialekti
346	на них	2	4
347	своей собственной	3	4
348	и также	2	4
349	здесь в	6	4
350	был бы	3	4
351	из самых	3	4
352	них и	2	4
353	и эта	2	4
354	время не	2	4
355	плоти и	2	4
356	только для	2	4
357	нас в	3	4
358	связанные с	5	4
359	ни один	2	4
360	еще более	7	4
361	если не	3	4
362	равно как	4	4
363	мы будем	5	4
364	наконец и	4	4
365	о времени	2	4
366	том как	2	4
367	но эта	5	4
368	не зная	2	4
369	т п	18	4
370	жизнь в	2	4
371	людей и	2	4
372	а мы	2	4
373	далее в	3	4
374	на себя	2	4
375	с нею	2	4
376	почти всегда	2	4
377	мир в	6	4
378	человек и	2	4
379	необходимо чтобы	2	4
380	к ним	3	4
381	из нее	2	4
382	в этот	5	4
383	этом отношении	5	4
384	у него	8	4
385	со всеми	4	4
386	и должно	2	4
387	и является	2	4
388	явлений и	3	4
389	и здесь	2	4
390	и этим	2	4
391	время и	4	4
392	это время	8	4
393	и всех	2	4
394	к жизни	2	4
395	можно назвать	2	4
396	друг друга	3	4
397	поэтому и	4	4
398	же в	6	4
399	же самое	2	4
400	исторического процесса	2	4
401	для нас	2	3
402	с чем	2	3
403	когда я	2	3
404	должен быть	2	3
405	следовательно и	3	3
406	к своему	2	3
407	мире и	3	3
408	отличие от	3	3
409	всего в	4	3
410	самого начала	3	3
411	одной из	3	3
412	идет о	2	3
413	с самого	3	3
414	место в	4	3
415	сюда же	2	3
416	тот же	4	3
417	почти все	4	3
418	этот момент	2	3
419	не могли	3	3
420	тех же	2	3
421	я был	3	3
422	времени а	2	3
423	здесь не	5	3
424	указать на	2	3
425	всего этого	3	3
426	целый ряд	2	3
427	лишь в	8	3
428	все они	4	3
429	понятно что	4	3
430	как у	2	3
431	чем не	5	3
432	будем говорить	2	3
433	далеко не	3	3
434	на почве	2	3
435	но к	2	3
436	образом и	2	3
437	в свою	2	3
438	в которых	4	3
439	является не	2	3
440	одних и	2	3
441	момент в	2	3
442	тем же	3	3
443	для всех	3	3
444	здесь как	3	3
445	не был	2	3
446	для себя	8	3
447	и вне	3	3
448	стремится к	2	3
449	в корне	2	3
450	происходит в	2	3
451	и события	3	3
452	и смысл	2	3
453	утверждает что	2	3
454	мы это	2	3
455	с которой	2	3
456	так в	2	3
457	в основу	3	3
458	лежит в	2	3
459	совсем не	4	3
460	к другому	2	3
461	во время	7	3
462	во всей	3	3
463	и явлений	6	3
464	с другими	3	3
465	по преимуществу	4	3
466	и тех	2	3
467	на земле	2	3
468	и вечное	2	3
469	сила и	2	3
470	не к	2	3
471	и неизвестно	2	3
472	она ни	3	3
473	но на	4	3
474	в некоторых	4	3
475	что было	6	3
476	однако не	2	3
477	теории относительности	2	2
478	как можно	3	2
479	ни была	2	2
480	этой жизни	2	2
481	не имеют	4	2
482	и принципиально	2	2
483	своему существу	2	2
484	и поэтому	2	2
485	всего это	2	2
486	наряду с	7	2
487	роль в	12	2
488	и других	5	2
489	друг от	2	2
490	своей жизни	6	2
491	тело в	2	2
492	и др	13	2
493	в аспекте	2	2
494	они были	4	2
495	больше и	2	2
496	пространстве и	5	2
497	свет и	2	2
498	те же	5	2
499	во втором	2	2
500	можно прямо	2	2
501	не могла	2	2
502	времени то	2	2
503	в образе	8	2
504	в процессе	4	2
505	она становится	3	2
506	на землю	2	2
507	в полном	2	2
508	только два	2	2
509	в эпоху	5	2
510	дело в	3	2
511	и до	7	2
512	и последнее	2	2
513	слова и	4	2
514	он был	2	2
515	в условиях	8	2
516	и имеет	3	2
517	было и	4	2
518	наконец в	2	2
519	уже на	3	2
520	бы совершенно	2	2
521	его жизни	11	2
522	всей его	2	2
523	прежде чем	3	2
524	еще нет	3	2
525	жизни но	7	2
526	на одной	2	2
527	строго говоря	2	2
528	от друга	2	2
529	имеем в	3	2
530	где и	3	2
531	жизни или	2	2
532	во всякой	2	2
533	внимание на	2	2
534	смысле но	2	2
535	находится в	3	2
536	друг к	2	2
537	в других	9	2
538	он только	2	2
539	на нас	3	2
540	телесности и	2	2
541	день и	2	2
542	в нашем	3	2
543	и вещей	3	2
544	жизни не	3	2
545	каждом из	2	2
546	по самому	3	2
547	вполне понятно	4	2
548	чем в	3	2
549	в широком	3	2
550	это то	2	2
551	по этим	2	2
552	в различных	2	2
553	которые в	2	2
554	смерти и	2	2
555	с идеей	2	2
556	в глаза	3	2
557	то есть	42	2
558	все то	2	2
559	времени в	14	2
560	этот ряд	7	2
561	человек по	2	2
562	всего бытия	2	2
563	и проч	5	2
564	во все	4	2
565	и пространства	4	2
566	его от	3	2
567	нем не	3	2
568	на котором	2	2
569	но конечно	3	2
570	с другом	5	2
571	в точном	3	2
572	в античном	6	2
573	разного рода	2	2
574	природе своей	2	2
575	широком смысле	3	2
576	человеческой жизни	9	2
577	в определенном	3	2
578	здесь же	2	2
579	бы она	2	2
580	между ними	5	2
581	смысле слова	4	2
582	не были	4	2
583	там где	4	2
584	поэтому все	3	2
585	и самый	3	2
586	было в	2	2
587	она же	2	2
588	имеет место	6	2
589	у гете	2	2
590	нет в	2	2
591	с этими	2	2
592	более и	2	2
593	в пространстве	10	2
594	место и	3	2
595	как оно	2	2
596	но дело	2	2
597	в целом	2	2
598	и вещи	2	2
599	пространства в	3	2
600	в порядке	4	2
601	к другу	2	2
602	мы увидим	2	2
603	с тождеством	3	2
604	человека в	22	2
605	жизни в	11	2
606	его и	2	2
607	начиная от	3	2
608	друг с	5	2
609	ее к	2	2
610	конечно и	5	2
611	все ее	3	2
612	раз в	4	2
613	всего необходимо	4	2
614	человек в	5	2
615	во многом	2	2
616	мы наблюдаем	2	2
617	их и	3	2
618	жизни с	2	2
619	по природе	2	2
620	не для	3	2
621	уже сказали	4	2
622	но когда	2	2
623	времени но	2	2
624	нашего анализа	2	2
625	быть или	2	2
626	и сам	2	2
627	сколько угодно	2	2
628	как его	3	2
629	моменты и	2	2
630	но оно	2	2
631	мира в	6	2
632	часто и	3	2
