N	2gram	Bakhtin_KF	DiskursI
170	дело не	2	3
171	должна быть	4	3
172	бы быть	5	3
173	его как	5	3
174	хотя бы	5	3
175	чем не	4	3
176	дело с	2	3
177	с человеком	3	3
178	но все	6	3
179	не имеет	6	3
180	всей своей	2	3
181	входит в	4	3
182	к содержанию	2	3
183	эстетическая деятельность	2	3
184	к чему	3	3
185	ближе к	3	3
186	жизни и	8	3
187	научного мышления	2	3
188	слова в	2	3
189	то ни	2	3
190	место в	6	3
191	момент в	7	3
192	жизни но	3	3
193	от его	5	2
194	чтобы не	2	2
195	его к	2	2
196	вступает в	3	2
197	включает в	2	2
198	в каждом	3	2
199	эстетического субъекта	2	2
200	как к	2	2
201	едва ли	2	2
202	мышления и	2	2
203	себе как	2	2
204	быть и	3	2
205	ни одно	5	2
206	в современной	3	2
207	самом деле	3	2
208	этом мире	2	2
209	в чем	4	2
210	которого и	2	2
211	для другого	4	2
212	в него	2	2
213	смысл в	3	2
214	к нему	12	2
215	только с	3	2
216	себя не	3	2
217	во главе	2	2
218	в ценностном	5	2
219	было и	2	2
220	и другого	3	2
221	события и	2	2
222	себя и	5	2
223	все это	10	2
224	этого слова	2	2
225	на язык	3	2
226	отсюда и	3	2
227	вовсе не	7	2
228	бы то	2	2
229	долженствования но	2	2
230	слово не	3	2
231	могла бы	4	2
232	различия в	2	2
233	к которой	2	2
234	его с	2	2
235	бытия и	10	2
236	должно быть	6	2
237	ответственность за	2	2
238	это было	2	2
239	не нужно	2	2
240	в определенной	2	2
241	жизнь как	6	2
242	если бы	8	2
243	и делает	3	2
244	сознания в	2	2
245	ни было	4	2
246	для того	3	2
247	и их	6	2
248	ибо это	2	2
249	как его	4	2
250	отказаться от	2	2
251	не по	4	2
252	себе и	3	2
253	отношении к	2	2
254	теоретического познания	6	2
255	событие в	5	2
256	всей его	2	2
257	не должно	3	2
258	еще более	2	2
259	время и	5	2
260	целом и	3	2
261	или иным	2	2
262	жизни как	5	2
263	но для	3	2
264	из которых	2	2
265	переживание переживания	2	2
266	ценностного центра	4	2
267	есть его	2	2
268	может не	2	2
269	себя а	4	2
270	человек не	2	2
271	и только	7	2
272	во всем	7	2
273	чтобы стать	2	2
274	а как	2	2
275	на основе	7	2
276	он ни	2	2
