N	2gram	Tiupa_Anal	FransuaR
182	отличие от	5	13
183	на языке	3	13
184	это было	2	13
185	или в	4	13
186	с этим	4	13
187	жизнь и	3	13
188	в жизни	2	13
189	в мире	17	13
190	и сам	8	13
191	в одной	2	13
192	о чем	5	13
193	одной стороны	3	13
194	не знает	2	13
195	лишь в	9	12
196	не могут	2	12
197	жизни в	4	12
198	в пределах	5	12
199	и ее	3	12
200	те же	3	12
201	по своей	5	12
202	место в	4	12
203	можно сказать	5	12
204	другой стороны	7	12
205	об этом	3	12
206	наконец в	3	11
207	на фоне	4	11
208	в свое	4	11
209	в общем	4	11
210	уже не	9	11
211	и что	2	11
212	на эту	2	11
213	и т.д	3	11
214	время в	2	11
215	с ними	2	11
216	той или	6	11
217	что они	3	11
218	в отличие	5	11
219	данном случае	11	10
220	в доме	2	10
221	или иной	9	10
222	здесь как	2	10
223	значительной степени	3	10
224	по преимуществу	3	10
225	поэтому в	2	10
226	человека и	2	10
227	в таких	2	10
228	к тому	10	10
229	его как	3	10
230	во второй	8	10
231	для всех	5	10
232	по отношению	9	10
233	к которому	2	10
234	в целом	8	10
235	да и	3	10
236	все его	2	10
237	свое время	4	9
238	характер в	2	9
239	что не	3	9
240	как известно	3	9
241	в мировой	2	9
242	говорит о	3	9
243	но как	4	9
244	вплоть до	5	9
245	как это	7	9
246	и то	2	9
247	но дело	2	9
248	отношению к	9	9
249	в тех	2	9
250	как к	2	9
251	что на	3	9
252	же в	5	9
253	до известной	3	9
254	известной степени	3	9
255	мы можем	2	9
256	о котором	2	9
257	к жизни	5	9
258	отношения к	6	9
259	так что	2	8
260	с тем	2	8
261	и без	3	8
262	дель арте	2	8
263	если бы	2	8
264	значение в	2	8
265	нуждается в	2	8
266	включает в	2	8
267	но эта	2	8
268	ведь и	2	8
269	по поводу	5	8
270	но с	3	8
271	на всех	3	8
272	не менее	9	8
273	дело не	3	8
274	как о	3	8
275	тому же	7	8
276	человека с	2	8
277	ко всему	2	8
278	не будем	2	7
279	шекспира и	4	7
280	времени в	3	7
281	в одну	3	7
282	не как	3	7
283	что у	3	7
284	в свою	9	7
285	тому как	3	7
286	первой части	2	7
287	его не	3	7
288	одного из	4	7
289	жизни это	2	7
290	во всяком	6	7
291	себя в	6	7
292	где он	2	7
293	подобно тому	4	7
294	из которых	2	7
295	в таком	2	7
296	в состоянии	2	7
297	только во	2	7
298	и если	2	7
299	а на	2	7
300	что по	4	7
301	такого рода	11	6
302	свою очередь	7	6
303	в искусстве	3	6
304	как у	3	6
305	входит в	4	6
306	ее в	2	6
307	жизни как	4	6
308	своего героя	2	6
309	казалось бы	4	6
310	жизнь в	2	6
311	могут быть	4	6
312	что она	3	6
313	в противоположность	3	6
314	совершенно не	3	6
315	картины мира	5	6
316	что смех	2	6
317	к его	2	6
318	в новом	5	6
319	и был	2	6
320	для своего	3	6
321	этого слова	3	6
322	принадлежит к	4	6
323	с таким	5	6
324	основе своей	2	6
325	от всего	2	6
326	тех же	2	6
327	не столько	4	6
328	ни для	2	6
329	говорить о	6	6
330	таким же	4	6
331	тем самым	8	5
332	своей жизни	2	5
333	к самому	2	5
334	этой системе	2	5
335	и самого	7	5
336	в первом	2	5
337	тем более	3	5
338	когда он	2	5
339	не является	5	5
340	что мы	2	5
341	каждый из	2	5
342	ему и	2	5
343	есть не	2	5
344	в произведении	3	5
345	церкви и	2	5
346	у всех	2	5
347	с нею	2	5
348	первых двух	2	5
349	должен был	2	5
350	одного и	4	5
351	его за	2	5
352	дело здесь	4	5
353	автора и	5	5
354	слова в	2	5
355	бы и	2	5
356	всяком случае	6	5
357	он сам	2	5
358	по его	4	5
359	в слове	5	5
360	от его	2	5
361	во втором	4	5
362	не могла	2	5
363	себя и	2	5
364	отсюда и	2	5
365	во многих	2	5
366	видеть в	2	5
367	то в	4	5
368	на первом	2	5
369	включая и	3	5
370	мы имеем	5	5
371	человека в	3	5
372	к миру	2	5
373	перед лицом	4	5
374	в акте	2	5
375	одну из	3	4
376	в каждом	4	4
377	в известном	2	4
378	в тарасе	3	4
379	о себе	4	4
380	на которой	2	4
381	я не	3	4
382	о которой	2	4
383	одной и	2	4
384	в отдельности	2	4
385	картине мира	2	4
386	в контексте	3	4
387	дело с	3	4
388	к этой	2	4
389	представляется нам	2	4
390	что касается	5	4
391	со своим	2	4
392	тарасе бульбе	3	4
393	что во	2	4
394	о своей	2	4
395	и далее	2	4
396	о которых	2	4
397	не так	2	4
398	при анализе	2	4
399	самим собой	3	4
400	который в	4	4
401	однако и	3	4
402	не случайно	13	4
403	оно не	2	4
404	что между	2	4
405	только не	3	4
406	внимание на	4	4
407	один и	2	4
408	в действительности	2	4
409	свою жизнь	4	4
410	если в	3	4
411	втором случае	2	4
412	и тем	3	4
413	в борьбе	2	4
414	картина мира	5	4
415	о его	3	4
416	и той	2	4
417	из своих	2	4
418	в культуре	2	4
419	обратимся к	2	4
420	не должно	3	4
421	по себе	6	4
422	в организации	3	4
423	себя момент	2	3
424	лицо его	2	3
425	при всей	2	3
426	которого он	2	3
427	в точке	2	3
428	она не	3	3
429	в полной	3	3
430	т.е в	2	3
431	о смерти	4	3
432	не о	2	3
433	жизни здесь	2	3
434	в новую	2	3
435	ни к	3	3
436	ближе к	2	3
437	напомним что	6	3
438	и того	4	3
439	указывает на	3	3
440	со стороны	12	3
441	не всегда	4	3
442	в одно	2	3
443	на уровне	2	3
444	ко второму	4	3
445	к первому	2	3
446	говорит и	3	3
447	в литературу	2	3
448	имеет место	3	3
449	и конечно	2	3
450	ключ к	4	3
451	в прошлом	2	3
452	которая в	2	3
453	самый момент	2	3
454	похож на	2	3
455	к одному	2	3
456	в силу	2	3
457	его из	2	3
458	в следующем	2	3
459	от своего	3	3
460	углом зрения	2	3
461	а с	2	3
462	а для	3	3
463	не будет	3	3
464	о своих	3	3
465	все три	3	3
466	том чтобы	2	3
467	со своей	8	3
468	в глаза	2	3
469	на две	3	3
470	всегда и	2	3
471	и может	2	3
472	с этого	2	3
473	могла бы	3	3
474	жизни но	4	3
475	не есть	6	3
476	приводит к	5	3
477	не для	2	3
478	этих двух	2	3
479	а и	4	2
480	внутренней свободы	2	2
481	с самим	3	2
482	тем в	2	2
483	от своей	2	2
484	в заключительной	4	2
485	без исключения	3	2
486	главного героя	2	2
487	внутреннюю свободу	2	2
488	известном смысле	2	2
489	я уже	2	2
490	смысл этой	2	2
491	бы быть	2	2
492	о своем	4	2
493	связывается с	3	2
494	и я	3	2
495	на смену	5	2
496	в церковь	2	2
497	соответствии с	3	2
498	к числу	4	2
499	то ли	2	2
500	в глубине	3	2
501	полноте и	2	2
502	за исключением	2	2
503	было сказано	2	2
504	способность к	2	2
505	восходящая к	4	2
506	на свою	3	2
507	с иными	2	2
508	речь идет	3	2
509	человеческой жизни	2	2
510	свободы но	2	2
511	грань между	2	2
512	в готовом	2	2
513	в состав	2	2
514	этих моментов	2	2
515	до этого	2	2
516	хотя в	2	2
517	себе самому	2	2
518	и оказывается	2	2
519	здесь явственно	2	2
520	не от	2	2
521	не тот	2	2
522	нам кажется	3	2
523	лицевая сторона	2	2
524	это по	3	2
525	в итоге	4	2
526	мог бы	3	2
527	совпадает с	4	2
528	дурака и	2	2
529	после чего	2	2
530	является по	2	2
531	художественной литературы	2	2
532	или к	2	2
533	и внутренне	2	2
534	без учета	2	2
535	из уст	2	2
536	тот кто	2	2
537	этом он	2	2
538	гораздо более	3	2
539	не должен	2	2
540	здесь выступает	2	2
541	только к	2	2
542	но лишь	2	2
543	или точнее	2	2
544	приобщается к	2	2
545	за пределами	2	2
546	на почве	3	2
547	целого в	3	2
548	дома и	2	2
549	в сторону	2	2
550	сам по	2	2
551	не более	2	2
552	его части	2	2
553	указание на	3	2
554	в конечном	5	2
555	но зато	2	2
556	миропорядка и	3	2
557	себе самом	2	2
558	и свою	2	2
559	сегодня в	2	2
560	этой роли	2	2
561	этого момента	2	2
562	конечном счете	5	2
563	этом что	2	2
564	а о	2	2
565	произведения но	2	2
566	из существеннейших	2	2
567	который как	2	2
568	но без	2	2
569	полной мере	3	2
570	не с	3	2
571	из наиболее	3	2
572	и является	3	2
573	с новыми	3	2
574	что при	2	2
575	и внешней	3	2
576	однако не	2	2
