N	2gram	Tiupa_Disk	Vladivir
103	и о	4	11
104	при этом	22	11
105	все это	2	11
106	в данном	9	11
107	хотя бы	3	11
108	в которой	2	11
109	более или	2	11
110	тому же	5	11
111	такого рода	11	10
112	о нем	3	10
113	в ней	2	10
114	в качестве	45	10
115	в истории	5	10
116	еще не	20	10
117	но не	17	10
118	в самом	4	10
119	отнюдь не	11	10
120	с точки	3	10
121	это не	5	9
122	но как	2	9
123	о чем	4	9
124	а с	8	9
125	в целом	5	9
126	в начале	2	9
127	с этим	3	9
128	и сам	2	9
129	что касается	2	9
130	с другой	14	9
131	именно в	5	9
132	же время	9	9
133	отношения к	2	9
134	свое время	3	8
135	отношение к	6	8
136	не столько	3	8
137	в чем	2	8
138	себя в	8	8
139	как бы	9	8
140	из этих	3	8
141	и он	2	8
142	должно быть	2	8
143	тем что	4	8
144	с этой	2	8
145	в этих	4	8
146	как в	16	8
147	когда он	3	8
148	со стороны	17	8
149	к его	5	7
150	в свое	3	7
151	на его	4	7
152	за пределы	2	7
153	но все	2	7
154	в одном	5	7
155	и есть	2	7
156	в нашем	2	7
157	в них	6	7
158	данном случае	6	6
159	на себя	2	6
160	в отличие	13	6
161	к своему	2	6
162	в виду	2	6
163	отличие от	13	6
164	что на	3	6
165	не говоря	2	6
166	здесь в	4	6
167	можно говорить	2	6
168	свидетельствует о	2	6
169	по своему	3	6
170	другой стороны	5	6
171	указать на	3	6
172	на него	2	6
173	мысли и	2	6
174	и наконец	2	6
175	мы не	2	6
176	не с	4	6
177	в жизни	2	6
178	той же	2	6
179	по своей	15	6
180	он сам	2	6
181	поскольку в	2	6
182	в период	2	6
183	но она	3	5
184	понятие о	3	5
185	вопрос о	2	5
186	друг друга	2	5
187	и прежде	2	5
188	и тем	2	5
189	в их	5	5
190	в частности	18	5
191	для своего	3	5
192	с самого	2	5
193	заметить что	2	5
194	и без	2	5
195	один из	3	5
196	место в	2	5
197	что с	2	5
198	и до	2	5
199	как нечто	2	5
200	говоря уже	2	5
201	того и	2	5
202	однако и	2	5
203	в области	3	5
204	сводится к	7	5
205	мы имеем	4	5
206	только то	2	5
207	во всех	6	5
208	по преимуществу	2	5
209	жизни в	4	5
210	но уже	3	5
211	далеко не	10	5
212	в свою	3	5
213	из них	6	5
214	со своей	2	5
215	и весьма	2	5
216	не к	3	5
217	не о	2	4
218	перед нами	4	4
219	тем самым	6	4
220	истории в	2	4
221	не могут	2	4
222	крайней мере	3	4
223	в тех	2	4
224	вплоть до	2	4
225	но для	2	4
226	в науке	2	4
227	котором он	2	4
228	оба они	2	4
229	как к	2	4
230	это и	2	4
231	он всегда	2	4
232	он мог	3	4
233	что даже	2	4
234	одной из	4	4
235	уже о	2	4
236	одной стороны	12	4
237	не то	2	4
238	и во	2	4
239	себя и	2	4
240	в сущности	3	4
241	но зато	2	4
242	или не	2	4
243	с ней	3	4
244	лишь в	4	4
245	ни к	11	4
246	в особенности	5	4
247	этом отношении	4	4
248	не на	3	4
249	по крайней	3	4
250	нас в	2	4
251	с одной	12	4
252	заключается в	3	4
253	том чтобы	2	4
254	всей своей	2	4
255	их в	2	4
256	я в	2	4
257	на этом	3	4
258	пока еще	7	4
259	ему в	3	4
260	же самое	2	4
261	по своим	4	4
262	в книге	2	3
263	так сказать	3	3
264	в первую	3	3
265	ни о	2	3
266	указывает на	2	3
267	время и	2	3
268	не имеют	2	3
269	и ее	5	3
270	не как	5	3
271	в другом	5	3
272	свою очередь	3	3
273	в силу	5	3
274	к такому	2	3
275	он ни	2	3
276	роль в	10	3
277	было сказано	2	3
278	которая и	2	3
279	жизни а	2	3
280	точка зрения	3	3
281	самом деле	2	3
282	так например	2	3
283	для понимания	2	3
284	которая в	3	3
285	человеческой жизни	2	3
286	не нужно	2	3
287	что не	4	3
288	и др	3	3
289	самого начала	2	3
290	первую очередь	3	3
291	интерес к	2	3
292	том числе	3	3
293	не столь	2	3
294	произведения как	2	3
295	одно и	2	3
296	в литературе	2	3
297	это в	4	3
298	дело не	3	3
299	в противоположность	6	3
300	с их	3	3
301	отличается от	3	3
302	является не	2	3
303	я и	3	3
304	одним из	2	3
305	себе не	4	3
306	не могло	2	3
307	в мире	9	3
308	всей его	2	3
309	строго говоря	3	3
310	на почве	3	3
311	в какой	2	3
312	будто бы	3	3
313	оно не	2	3
314	в которых	5	3
315	и относительно	2	3
316	а по	2	3
317	ранний период	2	3
318	в сторону	4	3
319	человек не	2	3
320	в новом	2	3
321	только о	2	3
322	как будто	3	3
323	быть и	2	3
324	человека в	6	2
325	к одному	2	2
326	в действительности	3	2
327	не подлежит	2	2
328	слова не	3	2
329	не является	5	2
330	к себе	2	2
331	с той	3	2
332	во мне	4	2
333	к чему	2	2
334	не всегда	2	2
335	или о	2	2
336	в одно	2	2
337	в эпоху	5	2
338	в момент	2	2
339	объекта и	3	2
340	своего времени	2	2
341	что ни	3	2
342	стремится к	3	2
343	как уже	5	2
344	в произведении	3	2
345	стороны и	3	2
346	может и	4	2
347	не приходится	2	2
348	для всех	2	2
349	на том	2	2
350	они не	2	2
351	и само	2	2
352	времени в	3	2
353	мира и	3	2
354	одного из	5	2
355	известного рода	5	2
356	с позиций	5	2
357	однако в	3	2
358	в ее	4	2
359	о ней	2	2
360	той или	6	2
361	было в	4	2
362	и может	3	2
363	должна быть	2	2
364	известной степени	3	2
365	например в	4	2
366	этом случае	3	2
367	в основе	11	2
368	если в	2	2
369	особого рода	3	2
370	они были	2	2
371	и должно	2	2
372	подход к	4	2
373	хотя в	3	2
374	его как	3	2
375	о котором	2	2
376	с ее	3	2
377	а о	2	2
378	чем у	2	2
379	дело с	2	2
380	бы это	2	2
381	как не	3	2
382	в меру	2	2
383	чем не	3	2
384	одновременно с	2	2
385	к той	4	2
386	или на	3	2
387	в г	2	2
388	имеет свою	3	2
389	точке зрения	2	2
390	речи в	2	2
391	поэтому в	2	2
392	как весьма	2	2
393	то с	2	2
394	этом в	2	2
395	кто из	2	2
396	в русской	4	2
397	возможна только	2	2
398	должны быть	3	2
399	обратить внимание	2	2
400	личности в	3	2
401	настоящего времени	2	2
402	внимание на	5	2
403	в той	2	2
404	можно назвать	2	2
405	тем кто	2	2
406	к числу	2	2
407	и того	6	2
408	говорить о	3	2
409	на рубеже	2	2
410	жизни но	2	2
411	в себя	7	2
