N	2gram	Vinokur_Ku	TeoriaLi
270	к жизни	2	2
271	мы в	3	2
272	что и	5	2
273	в данный	2	2
274	в случае	2	2
275	с ними	6	2
276	в противном	2	2
277	то ни	2	2
278	заключается в	3	2
279	данный момент	3	2
280	не просто	7	2
281	все это	10	2
282	только о	3	2
283	что они	5	2
284	как будто	2	2
285	в первом	3	2
286	в большинстве	3	2
287	знания о	2	2
288	по большей	2	2
289	ними и	2	2
290	я не	5	2
291	xix века	5	2
292	большей части	2	2
293	на основе	2	2
294	тем же	2	2
295	в системе	3	2
