N	2gram	Tiupa_Hudo	Istorich
314	будто бы	6	7
315	ключ к	2	7
316	со своим	5	7
317	по его	4	7
318	как на	2	7
319	между тем	14	7
320	вот тебе	2	7
321	ее и	2	7
322	приходит в	2	7
323	самом деле	6	7
324	не столько	4	7
325	на них	2	7
326	страх перед	2	7
327	не по	2	7
328	для него	15	7
329	он все	2	6
330	именно так	2	6
331	с той	2	6
332	для того	3	6
333	нет ничего	4	6
334	в море	2	6
335	самое что	2	6
336	ничем не	3	6
337	характерно что	4	6
338	дело с	2	6
339	между ними	2	6
340	этой связи	5	6
341	что все	3	6
342	в роли	3	6
343	и уже	3	6
344	от себя	3	6
345	той же	3	6
346	заметить что	2	6
347	не могла	4	6
348	сам он	3	6
349	то в	6	6
350	но тем	2	6
351	сводится к	7	6
352	жить в	3	6
353	они и	2	6
354	к жизни	6	6
355	мы читаем	2	6
356	только о	2	6
357	и тогда	2	6
358	этих двух	2	6
359	не случайно	14	6
360	все его	3	6
361	же и	3	6
362	от героя	2	5
363	в саду	2	5
364	такого рода	4	5
365	это уже	2	5
366	тоже не	2	5
367	видит в	3	5
368	проникнуть в	3	5
369	никак не	3	5
370	или не	3	5
371	это было	2	5
372	только для	4	5
373	в своих	4	5
374	соответствии с	2	5
375	это время	2	5
376	по своей	5	5
377	по своему	3	5
378	эти слова	3	5
379	но при	3	5
380	это в	4	5
381	бы в	2	5
382	к концу	2	5
383	с ее	7	5
384	не означает	2	5
385	мы узнаем	5	5
386	о котором	2	5
387	несмотря на	7	5
388	о природе	3	5
389	она может	2	5
390	или с	2	5
391	от своего	2	5
392	они были	2	5
393	как уже	3	5
394	этом он	2	5
395	не могло	2	5
396	за ней	2	5
397	со своей	3	5
398	в сторону	2	5
399	или иначе	3	5
400	никого не	3	5
401	да и	5	5
402	момент когда	3	5
403	могла бы	2	5
404	в лице	3	5
405	как о	3	5
406	в таком	3	5
407	обратимся к	2	5
408	можно назвать	2	5
409	но когда	2	5
410	и стала	2	5
411	ответить на	2	4
412	все время	2	4
413	все они	2	4
414	он уже	4	4
415	в тот	3	4
416	быть только	2	4
417	ни с	2	4
418	столь же	6	4
419	себя и	4	4
420	во второй	7	4
421	на столе	2	4
422	особенно в	3	4
423	в результате	2	4
424	нельзя было	2	4
425	перед собой	2	4
426	слова в	2	4
427	как раз	7	4
428	перед ним	2	4
429	он сам	3	4
430	что было	3	4
431	по ночам	2	4
432	для нее	6	4
433	человека и	4	4
434	а его	3	4
435	на месте	2	4
436	так или	3	4
437	говорится в	2	4
438	принадлежит к	2	4
439	который в	2	4
440	в литературе	3	4
441	содержит в	2	4
442	на тех	3	4
443	в свои	2	4
444	мысль о	2	4
445	вместе со	2	4
446	нас в	2	4
447	тот момент	3	4
448	в городе	7	4
449	путь к	2	4
450	отнюдь не	4	4
451	с точки	5	4
452	от нее	2	4
453	все в	2	4
454	в действительности	5	4
455	в ответ	3	4
456	не раз	2	4
457	матери и	2	4
458	еще и	2	4
459	с матерью	2	4
460	когда в	4	4
461	о его	2	4
462	дело в	2	4
463	он ее	2	4
464	ни к	2	4
465	по ходу	2	4
466	в самом	7	4
467	они в	2	4
468	не могу	3	4
469	по своим	2	4
470	и поэтому	2	3
471	он будет	3	3
472	своей жизни	6	3
473	противоречие с	4	3
474	в такой	2	3
475	речь идет	3	3
476	и дело	3	3
477	при всей	3	3
478	д с	2	3
479	в предыдущей	3	3
480	так сказать	3	3
481	и быть	4	3
482	н я	2	3
483	о них	4	3
484	о себе	3	3
485	ему не	3	3
486	чтобы не	3	3
487	героя не	4	3
488	долгое время	2	3
489	казалось бы	12	3
490	была бы	3	3
491	и было	2	3
492	вот он	3	3
493	я теперь	2	3
494	о двух	4	3
495	что даже	2	3
496	должно быть	2	3
497	на одном	2	3
498	они все	2	3
499	в землю	2	3
500	него в	2	3
501	было так	2	3
502	где как	2	3
503	в противоречие	2	3
504	человек в	3	3
505	не мотивировано	2	3
506	всякий раз	4	3
507	к другому	5	3
508	как его	3	3
509	в системе	2	3
510	своего мужа	3	3
511	об одном	3	3
512	как к	4	3
513	которого она	2	3
514	в тексте	8	3
515	что можно	2	3
516	только тем	2	3
517	то ни	2	3
518	в последней	2	3
519	за этими	3	3
520	каждого из	3	3
521	все равно	2	3
522	только не	3	3
523	внимание на	3	3
524	которая была	2	3
525	раз и	2	3
526	но еще	3	3
527	один и	2	3
528	встрече с	3	3
529	при котором	2	3
530	души в	2	3
531	который был	2	3
532	такая же	2	3
533	едва ли	6	3
534	и каждый	2	3
535	тем как	2	3
536	как нам	3	3
537	один человек	2	3
538	жизнью и	3	3
539	это своего	2	3
540	что когда	2	3
541	говорит в	2	3
542	бы на	2	3
543	бы не	3	3
544	о герое	2	3
545	как кажется	2	3
546	при встрече	2	3
547	и ушел	2	3
548	не о	3	2
549	не стал	2	2
550	а и	2	2
551	в полном	2	2
552	для всего	3	2
553	наконец в	2	2
554	в ходе	4	2
555	легко заметить	2	2
556	о человеке	2	2
557	друг от	2	2
558	вот и	3	2
559	характер в	2	2
560	у его	2	2
561	и думает	2	2
562	у себя	3	2
563	человека а	2	2
564	все было	3	2
565	к двум	2	2
566	этом и	2	2
567	в центре	4	2
568	действующие лица	2	2
569	лишь в	5	2
570	рассказы и	3	2
571	с другим	2	2
572	явно не	2	2
573	отказ от	2	2
574	напомним что	3	2
575	героя на	2	2
576	дело здесь	2	2
577	в нашем	2	2
578	и остается	2	2
579	он от	2	2
580	с мужем	2	2
581	наше внимание	3	2
582	вместо того	2	2
583	не зная	2	2
584	т п	10	2
585	согласиться с	3	2
586	одновременно и	5	2
587	жизнь в	3	2
588	на себе	3	2
589	в ужасе	2	2
590	без другого	2	2
591	выступает в	2	2
592	на ее	3	2
593	к той	3	2
594	в сущности	2	2
595	как например	2	2
596	с такими	2	2
597	же это	2	2
598	человек с	2	2
599	то чтобы	2	2
600	со всей	2	2
601	начнем с	2	2
602	жизнь и	2	2
603	в мире	10	2
604	говорили о	2	2
605	в конечном	5	2
606	и ты	2	2
607	же из	2	2
608	более чем	2	2
609	с какой	3	2
610	способность к	2	2
611	о своей	3	2
612	всего мира	2	2
613	людей а	2	2
614	другого человека	2	2
615	может и	3	2
616	участие в	3	2
617	ли в	2	2
618	героя как	2	2
619	с женой	3	2
620	с такой	3	2
621	отсюда и	2	2
622	характер и	3	2
623	что ей	2	2
624	другого и	2	2
625	в данной	2	2
626	и потом	2	2
627	было ни	2	2
628	и героем	2	2
629	в самой	2	2
630	от друга	2	2
631	пока еще	3	2
632	и мне	3	2
633	мы с	3	2
634	по-видимому не	2	2
635	и ему	5	2
636	отметим что	2	2
637	у всех	3	2
638	на примере	2	2
639	не более	3	2
640	зная что	2	2
641	не следует	2	2
642	у вас	3	2
643	и об	3	2
644	да не	2	2
645	в рамках	2	2
646	от лица	2	2
647	оно было	2	2
648	жизни так	4	2
649	того или	4	2
650	только потому	2	2
651	и тех	3	2
652	она говорит	2	2
653	на свой	3	2
654	то о	2	2
655	место в	3	2
656	тогда в	2	2
657	а порой	2	2
658	мышления и	3	2
659	в город	2	2
660	жизни на	4	2
661	по мнению	6	2
662	уже говорилось	3	2
663	на свете	2	2
664	не нужно	3	2
665	случае если	2	2
666	а о	2	2
667	как по	2	2
668	нет и	2	2
669	всей своей	2	2
670	не должно	2	2
671	какая же	2	2
672	других и	2	2
673	тебе и	2	2
674	говорить о	4	2
675	чем же	2	2
