N	2gram	Losev_Dial	Problemy
148	здесь не	2	8
149	несмотря на	2	8
150	сознание и	4	8
151	а что	6	8
152	с ними	3	8
153	не на	7	8
154	должна быть	11	8
155	и от	4	8
156	что это	20	8
157	все время	4	8
158	и он	3	8
159	с их	4	8
160	он есть	7	8
161	был бы	2	8
162	в результате	7	8
163	о том	11	8
164	и у	3	8
165	и так	2	8
166	из них	4	8
167	же и	2	8
168	не о	6	7
169	вопрос о	9	7
170	были бы	2	7
171	и следовательно	2	7
172	от него	2	7
173	в этих	3	7
174	в их	2	7
175	в виде	11	7
176	от себя	5	7
177	в виду	12	7
178	в процессе	2	7
179	все его	2	7
180	только на	8	7
181	мира и	3	7
182	себя как	3	7
183	что все	16	7
184	то ни	4	7
185	что они	2	7
186	и ее	8	7
187	все равно	5	7
188	например в	3	7
189	бы то	3	7
190	сказать что	7	7
191	в жизни	4	7
192	что она	13	7
193	отличается от	9	7
194	т д	38	7
195	сама по	11	7
196	во всех	2	7
197	если же	8	7
198	но на	2	7
199	не было	6	7
200	в себя	4	7
201	как он	4	6
202	знает что	2	6
203	отличие от	2	6
204	по существу	2	6
205	не менее	11	6
206	и этим	3	6
207	себя в	3	6
208	и во	3	6
209	и здесь	3	6
210	на них	2	6
211	но зато	2	6
212	одна из	4	6
213	для этого	3	6
214	как же	9	6
215	и нет	9	6
216	с этим	4	6
217	во всем	5	6
218	зависимости от	4	6
219	кроме того	8	6
220	превращается в	6	6
221	и вот	13	6
222	но ведь	2	6
223	но для	3	6
224	друг друга	3	6
225	и пр	16	6
226	и только	6	6
227	в этой	3	6
228	на то	5	6
229	он может	2	6
230	в своих	3	6
231	в другой	2	6
232	на этом	3	6
233	жизни и	8	6
234	конечно не	6	6
235	что было	2	6
236	в основе	6	6
237	как на	6	6
238	не мог	3	6
239	отношения к	4	6
240	вы думаете	2	5
241	нисколько не	4	5
242	и то	7	5
243	или иной	4	5
244	крайней мере	10	5
245	есть и	14	5
246	ведь это	2	5
247	бы его	2	5
248	самосознания в	2	5
249	была бы	5	5
250	со всеми	2	5
251	по своему	2	5
252	с тем	4	5
253	но так	2	5
254	тому что	5	5
255	они не	3	5
256	на себя	3	5
257	в чем	11	5
258	в зависимости	3	5
259	мы не	11	5
260	той или	3	5
261	того и	2	5
262	в ее	5	5
263	его как	6	5
264	та же	5	5
265	совершенно не	6	5
266	между собою	3	5
267	по крайней	10	5
268	нет и	5	5
269	ни на	5	5
270	подобно тому	5	5
271	я бы	3	5
272	тому же	2	5
273	мир и	6	5
274	именно в	5	5
275	когда он	3	5
276	да что	2	5
277	не могу	2	5
278	тому как	5	5
279	тотчас же	3	5
280	сам по	6	5
281	я и	2	5
282	быть и	7	5
283	в ней	4	5
284	вместе с	3	5
285	и понимания	2	4
286	тем не	10	4
287	нет ни	5	4
288	тому чтобы	3	4
289	ибо и	3	4
290	от того	9	4
291	и прежде	6	4
292	у вас	2	4
293	он должен	3	4
294	это как	3	4
295	из которых	4	4
296	не то	3	4
297	но только	7	4
298	а то	2	4
299	тоже не	2	4
300	не значит	5	4
301	на себе	4	4
302	почему же	3	4
303	даже и	9	4
304	и без	4	4
305	что оно	9	4
306	ли будет	2	4
307	то это	9	4
308	на котором	2	4
309	находится в	2	4
310	связи с	3	4
311	мир в	3	4
312	в первом	2	4
313	уже и	3	4
314	всего этого	2	4
315	одно и	6	4
316	совпадает с	2	4
317	время как	6	4
318	то в	5	4
319	что с	2	4
320	то и	5	4
321	в особом	2	4
322	всех этих	3	4
323	самосознания и	2	4
324	это было	5	4
325	с ее	10	4
326	от другого	2	4
327	его внутренней	2	4
328	в свете	3	4
329	своего собственного	2	4
330	конечно и	2	4
331	только что	7	4
332	что если	5	4
333	об этом	8	4
334	этом отношении	2	4
335	если оно	4	4
336	с этой	7	4
337	жизнь и	9	4
338	только так	2	4
339	сами по	3	4
340	вообще не	3	4
341	также и	6	4
342	что такое	25	4
343	все что	3	4
344	само по	8	4
345	и если	5	4
346	оно не	7	4
347	не есть	95	4
348	ни один	2	4
349	если не	3	4
350	все в	3	4
351	личности в	9	4
352	есть конечно	3	4
353	перестает быть	2	4
354	мы и	4	4
355	данном случае	3	3
356	чтобы не	4	3
357	следовательно и	2	3
358	или другого	3	3
359	бытия в	2	3
360	или к	2	3
361	о чем	2	3
362	есть только	13	3
363	человека и	2	3
364	сам не	2	3
365	есть нечто	26	3
366	к чему	2	3
367	этого не	2	3
368	же он	2	3
369	мы знаем	3	3
370	что даже	2	3
371	как я	2	3
372	ко второму	2	3
373	именно как	3	3
374	что этот	3	3
375	и само	3	3
376	так в	2	3
377	что на	3	3
378	меня и	2	3
379	тут не	4	3
380	и та	4	3
381	всего в	2	3
382	вы и	2	3
383	и по	2	3
384	же в	2	3
385	е в	4	3
386	можно сказать	5	3
387	должны быть	7	3
388	говорят что	3	3
389	ее в	3	3
390	того как	2	3
391	мы видим	4	3
392	и вообще	7	3
393	есть то	9	3
394	и мы	6	3
395	одной из	3	3
396	того или	6	3
397	как например	2	3
398	в данном	6	3
399	только то	2	3
400	из этих	5	3
401	себе а	2	3
402	говорить о	13	3
403	то время	6	3
404	мог бы	2	3
405	по преимуществу	2	3
406	и больше	5	3
407	и уже	5	3
408	который не	2	3
409	и всякое	2	3
410	выйти за	3	3
411	как целое	3	3
412	и при	4	3
413	она в	3	3
414	и есть	24	3
415	у нас	7	3
416	себе не	3	3
417	себе что	2	3
418	что его	5	3
419	в чисто	2	3
420	но они	3	3
421	что тут	8	3
422	мы можем	3	3
423	есть в	4	3
424	вы не	9	3
425	в смысле	4	3
426	если мы	5	3
427	же вы	7	3
428	как таковой	6	3
429	все еще	2	3
430	жизнь в	2	3
431	но что	11	3
432	только не	10	3
433	говорит о	5	3
434	в один	2	3
435	и делает	2	3
436	в таком	15	3
437	нового времени	2	3
438	врывается в	2	3
439	однако не	2	3
440	без всякого	2	3
441	и сами	2	3
442	чем в	2	3
443	еще и	2	2
444	ибо все	2	2
445	где есть	2	2
446	в силах	2	2
447	также не	3	2
448	что их	2	2
449	и об	2	2
450	его на	3	2
451	и сама	6	2
452	утверждение в	2	2
453	не потому	2	2
454	этой точки	4	2
455	но она	4	2
456	у человека	2	2
457	к этому	3	2
458	он дает	2	2
459	или же	3	2
460	во всякой	2	2
461	и эти	2	2
462	не всегда	3	2
463	от своего	2	2
464	тогда когда	9	2
465	по которому	3	2
466	может и	3	2
467	и ни	3	2
468	и вне	3	2
469	быть в	4	2
470	нем не	2	2
471	одно из	8	2
472	самое слово	2	2
473	надо было	4	2
474	в особенности	9	2
475	для такого	2	2
476	от этого	5	2
477	и тех	2	2
478	лучшем случае	2	2
479	она была	3	2
480	это уже	2	2
481	заметить что	2	2
482	в лучшем	2	2
483	же самый	2	2
484	же тут	4	2
485	с которой	2	2
486	же мы	5	2
487	и идеи	2	2
488	и души	2	2
489	отнюдь не	16	2
490	и совершенно	2	2
491	и говорить	3	2
492	вот это	3	2
493	тогда и	2	2
494	действительно не	2	2
495	тем или	3	2
496	же как	4	2
497	когда она	4	2
498	же она	3	2
499	же это	4	2
500	вы сами	2	2
501	случае не	4	2
502	в противоположность	3	2
503	ну а	3	2
504	будет все	2	2
505	себя но	2	2
506	е не	4	2
507	или не	10	2
508	независимо от	3	2
509	я уже	9	2
510	сознания но	2	2
511	бы к	2	2
512	но даже	4	2
513	бы быть	2	2
514	не нужно	2	2
515	мыслить и	4	2
516	в этот	3	2
517	но лишь	2	2
518	было в	2	2
519	стало быть	23	2
520	если я	2	2
521	целый ряд	3	2
522	одна и	3	2
523	при условии	5	2
524	что здесь	3	2
525	известно что	4	2
526	иной раз	3	2
527	из нее	2	2
528	я с	2	2
529	для того	4	2
530	живое и	2	2
531	в истории	7	2
532	иметь в	3	2
533	в условиях	2	2
534	а именно	7	2
535	для нас	2	2
536	от одного	2	2
537	все остальное	4	2
538	она и	3	2
539	с одной	4	2
540	только его	2	2
541	а вера	2	2
542	и события	3	2
543	условии что	2	2
544	не имеет	18	2
545	и является	2	2
546	всей его	2	2
547	прежде чем	2	2
548	что для	5	2
549	и они	3	2
550	ничем не	7	2
551	только и	3	2
552	вы говорите	2	2
553	чтобы она	3	2
554	как с	2	2
555	себя то	2	2
556	не мир	3	2
557	тело и	5	2
558	как все	3	2
559	но я	2	2
560	только он	2	2
561	во что	5	2
562	и она	4	2
563	мир как	8	2
564	я хочу	2	2
565	от нее	3	2
566	только как	7	2
567	из этого	3	2
568	этого он	2	2
569	быть или	2	2
570	говорите что	3	2
571	чудо и	4	2
572	предмет в	2	2
573	быть не	3	2
574	но оно	2	2
575	меня в	2	2
576	и становится	2	2
577	и тут	5	2
578	уже сама	2	2
579	и сознание	3	2
