N	2gram	Vinokur_Vv	Mirosoze
164	в разных	7	4
165	а с	2	4
166	по своему	5	4
167	в чем	4	4
168	по сравнению	4	4
169	только с	4	4
170	тому что	2	4
171	в центре	4	4
172	себе и	2	4
173	могут быть	6	4
174	тогда когда	4	4
175	для них	2	4
176	в начале	3	4
177	и до	2	4
178	все эти	3	4
179	и тогда	3	4
180	что они	2	4
181	в истории	9	4
182	вряд ли	3	4
183	лежит в	2	4
184	с ней	2	4
185	и даже	6	4
186	все равно	2	4
187	мы не	2	4
188	отношению к	4	4
189	ни с	2	4
190	культуры в	5	4
191	в той	10	4
192	в своих	2	4
193	и что	6	4
194	будто бы	2	4
195	и сама	2	3
196	о чем	4	3
197	романов достоевского	2	3
198	науки и	5	3
199	одним из	5	3
200	и тем	5	3
201	раньше чем	3	3
202	все же	9	3
203	не бывает	2	3
204	одной и	2	3
205	мы должны	2	3
206	это уже	2	3
207	на том	3	3
208	что же	3	3
209	даже и	4	3
210	между тем	10	3
211	в виду	5	3
212	что оно	2	3
213	же как	3	3
214	стоит в	2	3
215	хотя и	5	3
216	литературы и	2	3
217	и то	7	3
218	истории и	4	3
219	не до	2	3
220	то это	3	3
221	к этому	3	3
222	об этом	6	3
223	в этот	2	3
224	в значительной	3	3
225	что нет	2	3
226	но также	16	3
227	и той	3	3
228	него в	2	3
229	но ведь	4	3
230	из него	2	3
231	лишь как	2	3
232	во всех	2	3
233	не с	3	3
234	на этот	6	3
235	своему значению	2	3
236	на почве	5	3
237	не вполне	4	3
238	входит в	3	3
239	в одном	4	3
240	тому как	2	3
241	ближе к	2	3
242	всяком случае	5	3
243	и должно	2	3
244	сравнению с	4	3
245	но с	5	3
246	учение о	2	3
247	в каком	3	2
248	все более	4	2
249	самой идеи	2	2
250	или иной	3	2
251	его к	2	2
252	нисколько не	3	2
253	есть только	2	2
254	отношений между	3	2
255	за собой	3	2
256	этого не	2	2
257	а как	5	2
258	и других	3	2
259	такого рода	3	2
260	он мог	3	2
261	и был	2	2
262	к своему	2	2
263	после этого	2	2
264	самом деле	7	2
265	с русским	2	2
266	быть в	5	2
267	проблемы и	2	2
268	смысле этого	9	2
269	когда говорил	2	2
270	не менее	9	2
271	наук и	4	2
272	она была	2	2
273	того же	3	2
274	и без	2	2
275	а потому	5	2
276	и сам	3	2
277	между ними	3	2
278	не столько	2	2
279	есть еще	3	2
280	вот почему	3	2
281	своей природе	3	2
282	связи с	3	2
283	в основании	3	2
284	в сущности	3	2
285	е в	4	2
286	и ее	4	2
287	этого слова	2	2
288	в который	2	2
289	с которыми	2	2
290	не могли	2	2
291	в прошлом	2	2
292	что если	2	2
293	когда мы	2	2
294	начале xix	2	2
295	культуры не	3	2
296	с их	5	2
297	этом отношении	4	2
298	находятся в	2	2
299	подобно тому	2	2
300	смысле в	2	2
301	ни к	2	2
302	в какой	6	2
303	вообще не	3	2
304	с другой	8	2
305	что такое	12	2
306	находит себе	3	2
307	истории в	2	2
308	народа как	2	2
309	во втором	2	2
310	жизни как	2	2
311	и именно	13	2
312	том смысле	2	2
313	он и	2	2
314	что мы	2	2
315	от которых	2	2
316	по себе	11	2
317	к какому	2	2
318	в идеале	2	2
319	сам по	2	2
320	и уже	3	2
