N	2gram	Bakhtin_sl	StatiiOP
235	того или	2	5
236	в духе	3	5
237	всех этих	8	5
238	не как	4	5
239	к ней	2	5
240	целый ряд	2	5
241	не могло	3	5
242	с одной	7	5
243	на протяжении	3	5
244	вообще не	4	5
245	столь же	2	5
246	в мировой	2	5
247	уже не	5	5
248	оно не	12	5
249	мировой литературе	2	5
250	конечно не	7	5
251	и только	2	5
252	в слове	11	5
253	без всякого	2	5
254	не могут	7	4
255	от его	4	4
256	одна из	6	4
257	в форме	3	4
258	на этом	4	4
259	нисколько не	3	4
260	то есть	46	4
261	что оно	4	4
262	и у	2	4
263	и эти	2	4
264	по своей	2	4
265	как у	2	4
266	в романе	64	4
267	не знает	3	4
268	которые в	4	4
269	но как	2	4
270	только с	3	4
271	они не	3	4
272	которые были	2	4
273	и те	3	4
274	в процессе	14	4
275	в поэзии	4	4
276	поэзии и	4	4
277	мы видим	2	4
278	в связи	2	4
279	в первом	3	4
280	случае не	2	4
281	этого слова	2	4
282	на язык	2	4
283	как мы	15	4
284	да и	2	4
285	для этого	4	4
286	за пределы	6	4
287	значительной степени	6	4
288	в чисто	4	4
289	бы и	6	4
290	борьба с	5	4
291	в значительной	6	4
292	в свете	3	4
293	что как	2	4
294	все они	9	4
295	как о	2	4
296	и их	6	4
297	и другие	3	4
298	а именно	2	4
299	и речи	4	4
300	xviii века	3	4
301	связанные с	7	4
302	языка не	4	4
303	с которым	4	4
304	чем он	2	4
305	а на	3	4
306	языка в	21	4
307	в смысле	7	4
308	или в	10	4
309	в таком	5	4
310	в основе	8	4
311	или иначе	2	4
312	связана с	2	4
313	чем в	3	4
314	перед нами	7	3
315	конечно в	2	3
316	ему не	2	3
317	в плане	11	3
318	или иной	13	3
319	в драме	2	3
320	его же	4	3
321	от него	5	3
322	и наконец	9	3
323	в других	4	3
324	связанных с	4	3
325	как к	5	3
326	слово в	18	3
327	тогда когда	2	3
328	и других	5	3
329	но именно	5	3
330	в одно	2	3
331	к своему	11	3
332	а вовсе	4	3
333	и вся	2	3
334	или менее	5	3
335	его от	2	3
336	на котором	3	3
337	образом в	4	3
338	поэтического языка	4	3
339	лучшем случае	3	3
340	она не	8	3
341	на том	2	3
342	и как	3	3
343	даже и	4	3
344	так в	2	3
345	не могла	2	3
346	действительно не	2	3
347	на них	2	3
348	смысле слова	2	3
349	языка но	7	3
350	здесь не	6	3
351	но эта	2	3
352	и самый	2	3
353	себя и	2	3
354	и ее	3	3
355	а иногда	3	3
356	эти слова	4	3
357	этом случае	4	3
358	не были	3	3
359	них и	3	3
360	известном смысле	2	3
361	все время	4	3
362	в сознании	3	3
363	но эти	3	3
364	и до	2	3
365	х годов	2	3
366	именно такое	2	3
367	от этого	2	3
368	однако и	2	3
369	бы ни	3	3
370	особенно в	3	3
371	борьбы с	3	3
372	которая не	3	3
373	и которые	2	3
374	слова с	3	3
375	в чужую	2	3
376	несколько слов	2	3
377	свое выражение	3	3
378	наконец в	5	3
379	со всеми	3	3
380	не значит	2	3
381	поэтического слова	11	3
382	слова в	19	3
383	в свою	4	3
384	произведения и	2	3
385	в лучшем	3	3
386	может не	9	3
387	эпохи и	2	3
388	в один	2	3
389	более или	5	3
390	как его	5	3
391	отношения к	3	3
392	сам в	2	3
393	к своей	2	3
394	тем и	3	3
395	с помощью	5	3
396	в системе	2	3
397	стиля и	7	2
398	не должно	3	2
399	в иных	2	2
400	ни о	2	2
401	для всех	2	2
402	в нее	3	2
403	нуждается в	3	2
404	те или	4	2
405	евгении онегине	3	2
406	без всяких	2	2
407	от необходимости	2	2
408	всем его	2	2
409	взаимоотношения между	2	2
410	них как	2	2
411	языке но	2	2
412	к такому	2	2
413	и язык	3	2
414	ни были	3	2
415	выражение в	4	2
416	которого он	3	2
417	свою очередь	3	2
418	у них	2	2
419	и при	2	2
420	поэзии но	2	2
421	отличие от	13	2
422	в поэтическом	8	2
423	г г	2	2
424	по своему	2	2
425	мы видели	3	2
426	для понимания	3	2
427	и оно	2	2
428	от подлинной	2	2
429	художественного изображения	11	2
430	и среди	2	2
431	и она	2	2
432	борьбу с	2	2
433	в сочетании	2	2
434	жизнь в	2	2
435	на себе	2	2
436	все его	4	2
437	мнение о	2	2
438	ту же	5	2
439	говорит и	2	2
440	в роман	22	2
441	к слову	2	2
442	от других	2	2
443	роман на	2	2
444	между собой	3	2
445	из которого	2	2
446	не требует	3	2
447	с языком	4	2
448	для них	2	2
449	в разных	3	2
450	поэта в	2	2
451	как слово	3	2
452	и этим	3	2
453	в зависимости	4	2
454	той или	13	2
455	одновременно и	5	2
456	этих формах	3	2
457	и может	4	2
458	на материале	2	2
459	из самых	2	2
460	бы только	2	2
461	и иные	2	2
462	бы быть	2	2
463	но уже	2	2
464	и от	5	2
465	явление в	2	2
466	укладывается в	2	2
467	в контексте	5	2
468	из романа	2	2
469	произведения как	3	2
470	не должны	3	2
471	так сказать	11	2
472	как более	2	2
473	с каким	2	2
474	и эта	2	2
475	с ней	2	2
476	по преимуществу	5	2
477	и стиля	2	2
478	поэтому и	7	2
479	из своих	2	2
480	с ее	6	2
481	исторического романа	2	2
482	дело с	4	2
483	п но	2	2
484	в евгении	3	2
485	на возможность	2	2
486	зависимости от	4	2
487	и той	2	2
488	языка на	3	2
489	принципиальное и	2	2
490	жизни в	2	2
491	ни было	2	2
492	слова как	8	2
493	язык в	9	2
494	слову в	2	2
495	героев и	2	2
496	самого же	2	2
497	в известной	3	2
498	работы и	2	2
499	в пределах	27	2
500	в отличие	12	2
501	в свой	3	2
502	языка это	2	2
503	значение в	2	2
504	далеко не	7	2
505	язык и	17	2
506	он может	3	2
507	языка с	2	2
508	не умеет	2	2
509	в последние	2	2
510	входит в	8	2
511	на нем	2	2
512	зрения на	9	2
513	этот язык	3	2
514	которые являются	2	2
515	а между	2	2
516	где нет	2	2
517	те же	3	2
518	произведения в	2	2
519	роль в	4	2
520	с одним	3	2
521	смысл его	2	2
522	только о	2	2
523	именно на	3	2
524	жизни но	2	2
525	не укладывается	2	2
526	по своим	6	2
527	другом случае	3	2
528	слов о	4	2
529	быть и	6	2
530	на все	3	2
531	мы и	2	2
