N	2gram	Vinokur_St	Formalny
179	и к	5	8
180	в сторону	2	8
181	для того	15	8
182	и речи	3	8
183	ясно что	10	8
184	том что	49	7
185	в себе	3	7
186	в одной	3	7
187	как к	3	7
188	что именно	2	7
189	или менее	2	7
190	более или	2	7
191	даже и	2	7
192	во втором	5	7
193	в сущности	2	7
194	не на	3	7
195	сказать что	9	7
196	говорит в	3	7
197	к этому	4	7
198	того или	4	7
199	применении к	3	7
200	и только	3	7
201	в применении	3	7
202	в какой	4	7
203	и более	4	7
204	но все	9	7
205	сами по	2	7
206	столь же	5	7
207	из них	11	7
208	в той	9	7
209	же и	4	7
210	от этого	2	7
211	данном случае	7	6
212	тем самым	2	6
213	в которой	13	6
214	и лишь	2	6
215	в конце	5	6
216	отношение к	3	6
217	в россии	7	6
218	и тем	3	6
219	в частности	6	6
220	и это	4	6
221	тому что	8	6
222	в этих	5	6
223	его не	3	6
224	смысле этого	2	6
225	нисколько не	3	6
226	он был	5	6
227	этого слова	2	6
228	должны быть	4	6
229	ее в	2	6
230	своей статье	4	6
231	к его	2	6
232	из этих	7	6
233	при таком	2	6
234	особенно в	2	6
235	за пределы	2	6
236	к истории	2	6
237	отличается от	2	6
238	кроме того	3	6
239	в статье	9	6
240	от его	2	6
241	но для	3	6
242	такой же	6	6
243	не по	5	6
244	например в	8	6
245	о том	30	6
246	их в	2	6
247	уже в	3	6
248	только не	2	6
249	литературная критика	2	6
250	той же	5	6
251	даже в	5	5
252	должен был	5	5
253	ни была	2	5
254	могло бы	3	5
255	случае в	4	5
256	должно было	5	5
257	что оно	4	5
258	о языке	2	5
259	или же	3	5
260	к которому	4	5
261	в виду	6	5
262	на все	2	5
263	а как	5	5
264	одной из	4	5
265	так например	12	5
266	не так	2	5
267	без всякой	3	5
268	не приходится	5	5
269	не могла	2	5
270	то это	3	5
271	в такой	2	5
272	что не	3	5
273	в значительной	2	5
274	и самый	2	5
275	и по	6	5
276	даже не	5	5
277	можно сказать	2	5
278	хотя и	4	5
279	бы и	4	5
280	да и	4	5
281	и то	6	5
282	если в	2	5
283	в эпоху	3	5
284	значительной степени	3	5
285	то в	3	5
286	не столько	6	5
287	как например	2	5
288	борьба с	2	5
289	в эту	3	5
290	с этой	5	5
291	для нас	7	5
292	к нему	2	5
293	ни на	3	5
294	не имеет	5	5
295	в котором	11	5
296	в отношении	11	5
297	этом смысле	2	5
298	еще в	3	5
299	и что	8	5
300	как на	10	5
301	вопрос о	9	5
302	а на	4	4
303	наконец в	2	4
304	одним из	2	4
305	конце концов	2	4
306	он должен	2	4
307	как он	3	4
308	но именно	3	4
309	п в	4	4
310	должна была	6	4
311	в романе	4	4
312	себе в	2	4
313	не являются	3	4
314	в основу	5	4
315	никаких оснований	2	4
316	идет о	3	4
317	того же	4	4
318	ведь если	2	4
319	самого начала	3	4
320	нужно было	2	4
321	и во	3	4
322	и тогда	2	4
323	с самого	4	4
324	в литературном	3	4
325	научной работы	4	4
326	не значит	3	4
327	истории и	2	4
328	а к	2	4
329	ближайшим образом	2	4
330	однако и	2	4
331	тем не	4	4
332	на него	3	4
333	целый ряд	3	4
334	превращается в	2	4
335	нигде не	2	4
336	в таком	4	4
337	и другие	3	4
338	и о	4	4
339	это положение	2	4
340	отношении к	3	4
341	но если	5	4
342	не к	2	4
343	думать что	2	4
344	что для	4	4
345	что такое	2	4
346	или иначе	3	4
347	этот вопрос	6	4
348	им в	2	4
349	совпадает с	3	4
350	не для	3	4
351	или иное	3	4
352	в некоторых	3	4
353	что было	3	4
354	е как	2	4
355	является не	4	4
356	это время	3	4
357	все в	2	4
358	чем он	3	4
359	который был	2	3
360	том как	4	3
361	в каком	4	3
362	есть только	2	3
363	зрения их	2	3
364	об эволюции	2	3
365	ни были	2	3
366	этой работы	2	3
367	не всегда	2	3
368	в году	3	3
369	так что	8	3
370	так называемым	2	3
371	нас не	3	3
372	том смысле	4	3
373	в развитии	2	3
374	убедиться в	2	3
375	к сожалению	4	3
376	из истории	3	3
377	со всеми	2	3
378	вопроса о	3	3
379	что о	3	3
380	материал для	6	3
381	так или	3	3
382	она была	2	3
383	в чисто	2	3
384	что на	3	3
385	предисловии к	2	3
386	только тем	2	3
387	же касается	3	3
388	на его	2	3
389	нуждается в	2	3
390	ни одного	4	3
391	не была	2	3
392	числе и	2	3
393	к своему	3	3
394	было в	2	3
395	в качестве	7	3
396	е в	3	3
397	тот же	2	3
398	и иные	2	3
399	вряд ли	8	3
400	кажется что	5	3
401	в сознании	2	3
402	статье о	3	3
403	тем более	4	3
404	дело в	9	3
405	образом не	2	3
406	в это	3	3
407	это было	2	3
408	в данной	2	3
409	борьбы с	3	3
410	дело с	2	3
411	во второй	10	3
412	то или	3	3
413	каждого из	3	3
414	том числе	3	3
415	что как	3	3
416	бы не	2	3
417	иногда и	2	3
418	в чем	4	3
419	в форме	2	3
420	не должен	2	3
421	на нее	3	3
422	вытекает из	2	3
423	вообще не	5	3
424	поэтому в	4	3
425	на то	5	3
426	если это	3	3
427	в предисловии	3	3
428	и очень	5	3
429	в которых	5	3
430	значение для	2	3
431	таком положении	2	3
432	места в	3	3
433	в одном	7	3
434	а именно	3	3
435	но что	2	3
436	внимание на	5	3
437	можно назвать	3	3
438	эпохи и	3	3
439	с их	2	3
440	что эта	5	3
441	не просто	2	3
442	ничего общего	3	3
443	что при	3	3
444	но они	3	3
445	и именно	2	3
446	не дает	2	3
447	но он	5	3
448	конечно это	2	2
449	смысле что	2	2
450	значения как	2	2
451	из того	2	2
452	той мере	2	2
453	о чем	4	2
454	в тех	5	2
455	по истории	2	2
456	или с	2	2
457	в другом	5	2
458	на произведение	2	2
459	евгения онегина	6	2
460	совершенно неправильно	2	2
461	с историей	2	2
462	не потому	3	2
463	с нею	3	2
464	были бы	2	2
465	ни одной	2	2
466	и вся	2	2
467	и глубокая	2	2
468	в виде	3	2
469	при помощи	4	2
470	что ни	2	2
471	не знает	2	2
472	а с	6	2
473	ведь и	3	2
474	в м	2	2
475	в руках	2	2
476	только потому	2	2
477	и эти	2	2
478	общего с	3	2
479	только с	4	2
480	мере в	3	2
481	о мире	2	2
482	были не	2	2
483	только к	2	2
484	что этот	3	2
485	а если	2	2
486	и без	4	2
487	мы имеем	2	2
488	уже о	6	2
489	не говоря	2	2
490	естественно что	2	2
491	значит что	3	2
492	по этому	5	2
493	разница между	3	2
494	тем или	3	2
495	отметить что	4	2
496	заключается в	5	2
497	эпохи в	3	2
498	нужно сказать	6	2
499	говоря уже	2	2
500	эпохи как	3	2
501	а иногда	2	2
502	никто не	4	2
503	в двух	4	2
504	этом случае	3	2
505	из его	3	2
506	в первой	12	2
507	научного изучения	4	2
508	говорят что	2	2
509	нет никакого	3	2
510	представление о	5	2
511	нет никаких	2	2
512	в историческую	2	2
513	него самого	2	2
514	же это	3	2
515	из этой	2	2
516	это в	4	2
517	можно было	14	2
518	что она	5	2
519	своей статьи	4	2
520	в наши	2	2
521	дело не	4	2
522	из нее	3	2
523	чтобы сделать	2	2
524	таким путем	2	2
525	который как	2	2
526	здесь дело	2	2
527	и вполне	4	2
528	и нужно	3	2
529	времени и	4	2
530	но только	2	2
531	свое выражение	2	2
532	как известно	2	2
533	ко времени	2	2
534	связан с	3	2
535	на этот	5	2
536	работы в	3	2
537	ни для	2	2
538	ни с	3	2
539	и так	3	2
540	конечно и	5	2
541	на тему	2	2
542	в стихах	2	2
543	во многом	3	2
544	языка не	2	2
545	выражение в	2	2
546	допустим что	2	2
547	где нет	2	2
548	их и	2	2
549	этих двух	4	2
550	иметь в	2	2
551	времени не	5	2
552	что мы	5	2
553	это можно	3	2
554	несмотря на	4	2
555	само собою	2	2
556	говорит о	5	2
557	это объясняется	2	2
558	иначе и	2	2
559	но с	7	2
560	пишет в	2	2
561	е с	3	2
562	эти вопросы	3	2
563	одним и	2	2
564	его собственной	3	2
565	принципов и	2	2
566	чем в	3	2
