N	2gram	Propp_Morf	Formalny
322	или нет	2	2
323	их на	2	2
324	в другом	2	2
325	но есть	3	2
326	если она	2	2
327	форма в	3	2
328	ни одной	2	2
329	можно будет	3	2
330	в виде	3	2
331	при помощи	12	2
332	что ни	2	2
333	не знает	2	2
334	а с	2	2
335	эти функции	2	2
336	к вопросу	2	2
337	но так	2	2
338	формах в	2	2
339	это уже	3	2
340	является результатом	2	2
341	и становятся	2	2
342	что этот	2	2
343	а если	4	2
344	или вообще	2	2
345	создает новый	3	2
346	мы имеем	19	2
347	однако в	2	2
348	значит что	4	2
349	здесь же	3	2
350	с теми	4	2
351	к другой	2	2
352	сюда же	5	2
353	никто не	4	2
354	этом случае	10	2
355	из его	2	2
356	который в	2	2
357	к началу	4	2
358	или не	3	2
359	в круг	2	2
360	в собственном	3	2
361	можно было	4	2
362	что она	2	2
363	себя в	2	2
364	в наши	2	2
365	дело не	2	2
366	лишь на	2	2
367	может существовать	3	2
368	прежде чем	5	2
369	героя и	3	2
370	нами в	4	2
371	что его	4	2
372	действующих лиц	22	2
373	ни к	2	2
374	те элементы	2	2
375	так если	3	2
376	или просто	2	2
377	на этот	2	2
378	очень много	2	2
379	далеко не	5	2
380	особое место	2	2
381	чтобы овладеть	2	2
382	на нем	3	2
383	собственном смысле	3	2
384	имеем в	8	2
385	же они	2	2
386	том случае	3	2
387	что мы	2	2
388	это можно	2	2
389	несмотря на	4	2
390	начинается с	5	2
391	этого нет	2	2
392	чем это	2	2
393	и есть	3	2
394	но с	2	2
395	момент в	2	2
396	чем в	2	2
