N	2gram	Tiupa_Vved	Myshleni
342	сознания в	4	7
343	но они	3	7
344	в обоих	3	7
345	мере в	2	7
346	его с	2	7
347	восприятия и	2	7
348	этом и	2	7
349	и понимания	3	6
350	бы мы	2	6
351	заключает в	4	6
352	роль в	2	6
353	начиная с	3	6
354	применительно к	2	6
355	на другой	2	6
356	для обозначения	2	6
357	бы и	4	6
358	или даже	2	6
359	которые могут	2	6
360	точек зрения	2	6
361	могло бы	4	6
362	уже не	7	6
363	и который	2	6
364	как его	2	6
365	еще и	2	6
366	слов в	2	6
367	но так	2	6
368	ли не	2	6
369	и о	4	6
370	раз и	2	6
371	одна из	5	6
372	в детской	3	6
373	тех же	2	6
374	всей своей	4	6
375	имеем дело	5	6
376	нам о	2	5
377	слова но	2	5
378	по аналогии	4	5
379	у нее	4	5
380	все они	2	5
381	всей его	2	5
382	как у	3	5
383	ближе к	3	5
384	о которой	4	5
385	ситуации и	4	5
386	в него	2	5
387	в контексте	4	5
388	для них	3	5
389	эти слова	2	5
390	себя в	4	5
391	к ним	4	5
392	ведет к	2	5
393	он является	2	5
394	в данной	2	5
395	заметить что	2	5
396	аналогии с	2	5
397	человеческого сознания	2	5
398	в ряду	2	5
399	той мере	2	5
400	оказывается в	3	5
401	может служить	4	5
402	когда в	2	5
403	значительной степени	2	5
404	вернуться к	2	5
405	дело не	2	5
406	на протяжении	2	5
407	не просто	2	5
408	однако не	2	5
409	и вот	3	4
410	для которого	4	4
411	к ее	3	4
412	так например	2	4
413	детская речь	2	4
414	мы узнаем	2	4
415	с того	3	4
416	однако в	9	4
417	исходя из	4	4
418	или не	3	4
419	на нее	2	4
420	так сказать	2	4
421	до этого	2	4
422	в центре	4	4
423	этот раз	3	4
424	строго говоря	2	4
425	из него	2	4
426	и после	2	4
427	к одной	2	4
428	не подлежит	2	4
429	но при	7	4
430	хотя в	2	4
431	она в	2	4
432	постановка вопроса	2	4
433	не к	4	4
434	она может	2	4
435	как о	2	4
436	всеми своими	2	4
437	не могу	2	4
438	а именно	3	4
439	тому или	2	4
440	как для	3	4
441	к которой	2	4
442	не до	3	4
443	однако и	3	4
444	или иному	2	4
445	к данному	2	4
446	то он	2	4
447	до предела	2	4
448	в следующей	2	4
449	как будто	6	4
450	в приведенном	2	4
451	в ответ	2	4
452	и вся	3	4
453	от этих	2	4
454	в наиболее	3	4
455	ему в	2	4
456	здесь не	2	4
457	жизни и	8	4
458	начинается с	2	4
459	не было	5	4
460	и сами	2	4
461	не входит	2	3
462	которой не	2	3
463	здесь как	2	3
464	к своему	2	3
465	в заключительной	2	3
466	могут служить	3	3
467	при таком	2	3
468	в настоящем	2	3
469	и затем	2	3
470	в случаях	2	3
471	соответствии с	8	3
472	из которой	2	3
473	тогда как	16	3
474	в речь	2	3
475	а к	3	3
476	если она	2	3
477	что касается	5	3
478	на фоне	3	3
479	он и	2	3
480	в изложении	3	3
481	в соответствии	8	3
482	и внутренне	2	3
483	а для	2	3
484	по природе	2	3
485	и само	2	3
486	которых в	2	3
487	при отсутствии	3	3
488	именно к	2	3
489	не сумел	2	3
490	появляется в	2	3
491	и чужого	2	3
492	это всегда	2	3
493	далеко не	5	3
494	от них	2	3
495	возникает и	2	3
496	сводится к	6	3
497	детского сознания	4	3
498	в период	2	3
499	подобного рода	3	3
500	форма речи	2	3
501	да и	3	3
502	согласно которой	2	3
503	могла бы	3	3
504	но также	2	3
505	и оно	2	3
506	бы не	3	3
507	всего на	2	3
508	но именно	3	3
509	сути дела	4	3
510	или иначе	2	3
511	по своим	3	3
512	стало быть	10	3
513	же время	4	3
514	быть не	4	3
515	мира и	5	3
516	этих случаях	2	3
517	своей жизни	3	2
518	а во	2	2
519	столько в	2	2
520	без исключения	2	2
521	детьми и	4	2
522	между детьми	4	2
523	еще до	2	2
524	не имели	2	2
525	границы между	2	2
526	к структуре	2	2
527	этом направлении	2	2
528	частности в	2	2
529	ни к	3	2
530	мертвых душ	4	2
531	определенного рода	2	2
532	быть следует	2	2
533	в категориях	2	2
534	его собственной	2	2
535	в художественной	2	2
536	вплоть до	2	2
537	по сути	5	2
538	не всегда	2	2
539	этого не	2	2
540	а то	2	2
541	из трех	2	2
542	и конец	2	2
543	которое в	4	2
544	в состав	5	2
545	не предполагает	2	2
546	восприятия в	2	2
547	исключительно в	3	2
548	особенно в	3	2
549	приобретает в	2	2
550	первых двух	3	2
551	и действия	2	2
552	рода в	2	2
553	не два	2	2
554	вследствие этого	5	2
555	не следует	3	2
556	в мире	9	2
557	которое не	2	2
558	во времени	2	2
559	следует отнести	2	2
560	с самим	2	2
561	мысль о	2	2
562	и последующих	2	2
563	его сознании	2	2
564	каждого из	2	2
565	всех его	2	2
566	не должен	2	2
567	и предполагает	2	2
568	в предыдущих	3	2
569	и через	2	2
570	к себе	2	2
571	в принципе	3	2
572	при которой	3	2
573	на себя	5	2
574	котором он	2	2
575	нет ничего	2	2
576	с языком	2	2
577	но она	2	2
578	действия но	2	2
579	говоря это	2	2
580	можно назвать	2	2
581	заключительной главе	2	2
582	бывает в	2	2
