N	2gram	Losev_Vlad	Literetu
154	в связи	9	5
155	мы с	4	5
156	место в	2	5
157	хотя бы	5	5
158	в россии	7	5
159	общего дела	2	5
160	мы не	2	5
161	тем не	8	5
162	как у	3	5
163	том чтобы	4	5
164	но уже	3	5
165	в нашем	5	5
166	и если	8	5
167	и к	10	5
168	личности с	2	5
169	к жизни	2	5
170	владимира соловьева	4	5
171	не к	2	5
172	в свою	3	4
173	себе и	2	4
174	для нас	9	4
175	как к	4	4
176	от своего	2	4
177	к своему	4	4
178	только на	3	4
179	в г	2	4
180	с тем	4	4
181	для своего	2	4
182	и все	8	4
183	на его	7	4
184	в них	5	4
185	годов в	2	4
186	хотя и	9	4
187	как мы	17	4
188	во всяком	8	4
189	бы то	2	4
190	одной из	2	4
191	тех же	3	4
192	то это	4	4
193	но это	6	4
194	за пределы	3	4
195	к этому	11	4
196	во второй	3	4
197	и вот	5	4
198	для того	4	4
199	совершенно не	2	4
200	что его	8	4
201	ни к	2	4
202	то он	7	4
203	него не	4	4
204	можно сказать	10	4
205	на то	7	4
206	этом в	2	4
207	под названием	5	4
208	а по	3	4
209	на этом	3	4
210	не могу	2	4
211	ко всему	4	4
212	не вполне	3	4
213	свидетельствует о	3	4
214	вл соловьева	278	4
215	вовсе не	8	4
216	из этого	6	4
217	и что	11	4
218	то ни	2	4
219	таким образом	6	4
220	и есть	2	4
221	не мог	10	4
222	отношения к	4	4
223	о которой	3	4
224	ничего не	4	3
225	и потому	8	3
226	в москве	13	3
227	для его	2	3
228	так же	4	3
229	но как	6	3
230	о чем	6	3
231	по себе	3	3
232	тех пор	2	3
233	в отношении	5	3
234	именно так	2	3
235	не раз	5	3
236	еще на	3	3
237	отношение к	7	3
238	и а	2	3
239	было сказано	2	3
240	нам представляется	3	3
241	том же	4	3
242	этого не	2	3
243	своей жизни	5	3
244	но по	2	3
245	а с	5	3
246	о нем	9	3
247	и о	6	3
248	как уже	2	3
249	но только	3	3
250	времени в	2	3
251	из трех	3	3
252	что же	11	3
253	а к	24	3
254	того чтобы	4	3
255	и до	4	3
256	все эти	6	3
257	всю ночь	2	3
258	жизни по	2	3
259	он был	20	3
260	в истории	4	3
261	во время	4	3
262	свою очередь	2	3
263	всех своих	2	3
264	из его	6	3
265	и т	3	3
266	и еще	3	3
267	тот же	7	3
268	же году	2	3
269	да и	6	3
270	еще один	2	3
271	и от	6	3
272	взгляд на	4	3
273	во многих	2	3
274	его личности	2	3
275	дело в	7	3
276	с ней	3	3
277	о своем	3	3
278	мысли и	5	3
279	в этот	5	3
280	мы сами	3	3
281	если бы	2	3
282	и вполне	4	3
283	также и	13	3
284	в особенности	4	3
285	в этих	5	3
286	себе не	2	3
287	не по	2	3
288	отношении к	2	3
289	не могло	2	3
290	что для	5	3
291	ни с	6	3
292	а за	3	3
293	не имеет	2	3
294	всей своей	2	3
295	а то	2	3
296	он говорит	2	3
297	в чем	4	3
298	что такое	3	3
299	он в	4	3
300	когда он	6	3
301	не есть	4	3
302	если не	4	3
303	со своей	5	3
304	всяком случае	8	3
305	жизни с	2	3
306	все что	2	3
307	здесь не	6	3
308	поскольку в	3	3
309	с ним	10	3
310	мы и	4	3
311	в годы	2	3
312	он все	2	2
313	свое время	7	2
314	начиная с	3	2
315	у достоевского	2	2
316	для меня	8	2
317	в будущем	2	2
318	а вот	3	2
319	не любил	3	2
320	и сама	2	2
321	от него	3	2
322	для нее	3	2
323	как было	2	2
324	что вы	2	2
325	и притом	5	2
326	не был	6	2
327	и у	4	2
328	я должен	2	2
329	он же	2	2
330	во мне	2	2
331	а он	2	2
332	это и	2	2
333	и всегда	4	2
334	полемика с	2	2
335	у них	2	2
336	и при	2	2
337	то для	2	2
338	своего времени	2	2
339	на вопрос	2	2
340	его не	2	2
341	в свое	6	2
342	к его	5	2
343	отношением к	2	2
344	так например	3	2
345	бы на	2	2
346	собственно говоря	4	2
347	что касается	6	2
348	в сравнении	2	2
349	к нему	6	2
350	за то	2	2
351	она не	3	2
352	в общем	4	2
353	и м	3	2
354	но мы	3	2
355	ему в	4	2
356	от всякой	2	2
357	даже и	12	2
358	и без	2	2
359	пока не	2	2
360	что на	2	2
361	богом и	2	2
362	в полной	3	2
363	ответ на	2	2
364	же касается	8	2
365	с которой	2	2
366	жизнь и	3	2
367	в эти	14	2
368	по этому	3	2
369	в русском	2	2
370	всей жизни	4	2
371	для них	2	2
372	людей в	2	2
373	с ними	2	2
374	и весьма	2	2
375	то как	2	2
376	и самого	2	2
377	и по	10	2
378	в нас	4	2
379	дело не	3	2
380	что они	4	2
381	всю жизнь	4	2
382	уже и	4	2
383	этом не	3	2
384	все мое	2	2
385	эту тему	2	2
386	здесь мы	4	2
387	сказать что	14	2
388	по поводу	15	2
389	кажется что	3	2
390	никак не	6	2
391	он как	4	2
392	и мы	6	2
393	произведения как	2	2
394	к которой	2	2
395	им в	3	2
396	в результате	6	2
397	время в	4	2
398	из этих	5	2
399	так сказать	2	2
400	не знаю	2	2
401	тем более	4	2
402	на это	2	2
403	в это	6	2
404	борьба с	2	2
405	к концу	7	2
406	этом и	2	2
407	до тех	2	2
408	сравнении с	2	2
409	пор пока	2	2
410	второй половине	3	2
411	в первый	2	2
412	что к	3	2
413	в статье	2	2
414	он писал	5	2
415	него в	4	2
416	но даже	3	2
417	одновременно с	2	2
418	например с	2	2
419	к той	2	2
420	как известно	2	2
421	нет и	2	2
422	что у	4	2
423	для вас	2	2
424	в котором	10	2
425	что сам	3	2
426	еще более	3	2
427	если это	2	2
428	пока еще	2	2
429	со своими	4	2
430	со своим	5	2
431	он пишет	5	2
432	на первом	4	2
433	чтобы он	3	2
434	только не	2	2
435	году и	2	2
436	раз и	4	2
437	в той	2	2
438	и теперь	4	2
439	и который	2	2
440	впрочем не	5	2
441	в таком	2	2
442	на слово	2	2
443	на эту	3	2
444	и хотя	3	2
445	во всем	4	2
446	с какой	2	2
447	к своей	2	2
448	на первый	4	2
449	мы имеем	2	2
450	но он	7	2
451	но зато	2	2
