N	2gram	Berdyaev_M	Problema
106	в каком	2	19
107	но если	4	19
108	то в	2	19
109	если бы	5	19
110	это значит	3	19
111	он не	34	19
112	с ним	5	19
113	уже в	6	19
114	самом деле	2	19
115	в них	5	19
116	это есть	4	19
117	как в	9	19
118	жизни и	6	19
119	не будет	3	18
120	того чтобы	4	18
121	в ее	3	18
122	в этих	6	18
123	не было	25	18
124	не существует	5	18
125	в ней	23	18
126	и здесь	6	17
127	это и	7	17
128	совсем не	3	17
129	что они	4	17
130	во всех	3	17
131	к тому	6	16
132	для этого	3	16
133	что она	5	16
134	будто бы	3	16
135	он и	2	16
136	в чем	3	15
137	и более	2	15
138	у него	38	15
139	что не	3	15
140	с этим	4	15
141	в той	3	15
142	не что	4	14
143	не так	6	14
144	что все	5	14
145	за пределы	5	14
146	людей и	5	14
147	иное как	4	14
148	все равно	3	14
149	что иное	4	14
150	сих пор	5	14
151	нас в	3	14
152	в котором	9	14
153	нас не	2	14
154	до сих	5	14
155	в их	4	13
156	бы и	8	13
157	тому что	2	13
158	же и	2	13
159	учение о	3	13
160	в которой	8	12
161	в самой	8	12
162	для них	3	12
163	что это	5	12
164	в начале	2	12
165	на земле	7	12
166	время как	2	12
167	он сам	11	12
168	и можно	3	12
169	то время	2	12
170	не о	2	11
171	оказывается что	2	11
172	и во	5	11
173	и самого	2	11
174	в истории	2	11
175	вообще не	2	11
176	не могут	6	11
177	и у	3	11
178	и тогда	2	11
179	жизни в	3	11
180	и их	3	11
181	к нему	8	11
182	и сама	2	10
183	не имеют	2	10
184	все еще	2	10
185	один из	9	10
186	быть и	2	10
187	все время	3	10
188	отличается от	2	10
189	ни с	4	10
190	что у	3	10
191	и всякий	2	10
192	он в	4	10
193	относится к	2	10
194	бы не	4	10
195	на том	3	10
196	есть то	2	10
197	но он	17	10
198	вопрос о	7	9
199	человеческой жизни	4	9
200	тогда когда	2	9
201	в трагедии	3	9
202	которые в	2	9
203	она не	9	9
204	был бы	11	9
205	то он	3	9
206	в своих	4	9
207	с собой	5	9
208	не был	8	9
209	но эта	2	9
210	нет и	6	9
211	в которых	5	9
212	того как	3	9
213	литературы и	2	9
214	бы в	3	9
215	с ней	3	9
216	жизнь и	5	9
217	в жизни	7	9
218	самостоятельное значение	2	9
219	и уж	2	9
220	как он	4	8
221	от этого	4	8
222	и по	4	8
223	никто не	3	8
224	для него	28	8
225	если в	2	8
226	не все	3	8
227	и нет	3	8
228	с этой	4	8
229	себе и	4	8
230	входит в	3	8
231	еще в	4	8
232	идея и	3	8
233	только с	3	8
234	и самый	2	8
235	он был	18	8
236	и он	21	8
237	и этот	4	8
238	которые не	2	8
239	не значит	2	8
240	но для	2	8
241	во всем	5	8
242	конечно не	3	8
243	и поэтому	3	7
244	друг друга	12	7
245	она есть	3	7
246	говорят о	2	7
247	в основе	4	7
248	в эпоху	2	7
249	же не	2	7
250	его как	2	7
251	с самим	5	7
252	в значительной	2	7
253	чем не	3	7
254	еще более	3	7
255	в такой	4	7
256	оно не	3	7
257	все в	7	7
258	из себя	2	7
259	человека но	5	7
260	жизни а	3	7
261	себе в	3	7
262	мира и	6	7
263	к другому	4	7
264	по преимуществу	4	7
265	на этот	2	7
266	не как	4	6
267	этой трагедии	2	6
268	идеи и	2	6
269	людей в	3	6
270	по своей	4	6
271	ни к	2	6
272	когда он	3	6
273	есть уже	8	6
274	том смысле	2	6
275	если он	7	6
276	не знает	12	6
277	но с	2	6
278	до конца	16	6
279	чтобы не	4	6
280	и всегда	3	6
281	и слишком	2	6
282	самого себя	6	6
283	есть и	6	6
284	с которой	2	6
285	могут быть	2	6
286	но когда	3	6
287	с его	6	6
288	но она	3	6
289	и той	2	6
290	образ и	7	6
291	особенно в	3	6
292	к ней	6	6
293	в него	3	6
294	мы еще	4	6
295	прежде чем	2	6
296	от всякого	2	6
297	к своему	2	6
298	не к	6	6
299	даже до	2	6
300	есть прежде	4	6
301	жизнь в	4	6
302	есть также	4	6
303	не мог	6	6
304	отношения к	6	6
305	его на	4	5
306	человека и	19	5
307	отношение к	9	5
308	бы его	2	5
309	он должен	4	5
310	тот кто	5	5
311	к самому	2	5
312	ли он	2	5
313	только один	3	5
314	ведь не	2	5
315	о себе	3	5
316	и тот	2	5
317	лишь в	8	5
318	нет ни	3	5
319	от его	3	5
320	из самых	9	5
321	все что	5	5
322	как то	2	5
323	тому как	2	5
324	которой он	2	5
325	я не	4	5
326	доходит до	6	5
327	между тем	2	5
328	же о	2	5
329	от того	4	5
330	ведь это	2	5
331	во многих	2	5
332	его не	5	5
333	о нем	2	5
334	у достоевского	75	5
335	и когда	2	5
336	не знал	7	5
337	к этому	3	5
338	и еще	3	5
339	должно быть	5	5
340	себя в	6	5
341	в этот	2	5
342	в свете	3	5
343	мира в	2	5
344	человека в	26	5
345	одним из	2	5
346	человека из	2	5
347	они не	4	5
348	подобно тому	2	5
349	которая не	2	5
350	человеческого духа	31	5
351	чего же	2	5
352	не для	2	5
353	в каждом	4	5
354	или к	4	5
355	не знали	2	4
356	от него	4	4
357	в духе	6	4
358	у человека	6	4
359	должен быть	4	4
360	не хочет	3	4
361	людей не	2	4
362	а как	2	4
363	у них	4	4
364	одно из	3	4
365	переходит в	23	4
366	и она	5	4
367	с такой	2	4
368	от человека	4	4
369	себя и	6	4
370	бы он	2	4
371	человека а	3	4
372	другим и	2	4
373	и часто	2	4
374	верит в	2	4
375	со своим	2	4
376	свободы и	13	4
377	прийти к	3	4
378	что без	2	4
379	данте и	2	4
380	но к	2	4
381	друг к	6	4
382	духа и	6	4
383	от нее	5	4
384	и никогда	4	4
385	на какой	2	4
386	той же	3	4
387	момент в	5	4
388	и всю	2	4
389	который и	2	4
390	не потому	2	4
391	но на	2	4
392	этот путь	3	4
393	и каждый	2	4
394	нет в	5	4
395	в каком-то	2	4
396	это все	2	4
397	и за	2	4
398	xix века	4	4
399	тем как	2	4
400	к этой	3	4
401	и вместе	4	4
402	и те	4	4
403	в разных	3	4
404	в сущности	2	4
405	нельзя было	3	4
406	и менее	2	4
407	в мир	3	4
408	с их	2	4
409	там и	6	4
410	любви к	14	4
411	л толстой	2	4
412	если нет	9	4
413	любви и	3	4
414	перед собой	2	4
415	к другу	6	4
416	мы увидим	4	4
417	и самое	3	4
418	ничего кроме	2	4
419	человек и	7	4
420	этот мир	2	4
421	не быть	2	4
422	в свою	5	4
423	страдания и	5	4
424	в русской	4	4
425	на путях	4	4
426	с которым	2	4
427	мог бы	5	4
428	образа и	2	4
429	как ее	2	3
430	как люди	2	3
431	ее и	2	3
432	ничего подобного	3	3
433	для человека	5	3
434	как человек	2	3
435	от своего	2	3
436	зла и	15	3
437	в более	4	3
438	в свои	2	3
439	нет никаких	2	3
440	и та	2	3
441	в образе	4	3
442	сравнению с	2	3
443	не стал	2	3
444	должна быть	7	3
445	как для	2	3
446	отношений между	2	3
447	по сравнению	3	3
448	его с	4	3
449	и люди	2	3
450	и страдания	3	3
451	что нет	2	3
452	не хотел	5	3
453	мысль о	2	3
454	и нужно	2	3
455	после того	2	3
456	думать что	4	3
457	был в	4	3
458	человеческого сознания	3	3
459	это был	2	3
460	революции в	2	3
461	остается на	2	3
462	и должно	3	3
463	и других	2	3
464	чем в	3	3
465	этого необходимо	2	3
466	в идиоте	3	3
467	его к	2	3
468	в европе	2	3
469	же есть	4	3
470	и человека	5	3
471	то все	2	3
472	в человека	4	3
473	он хочет	4	3
474	в атмосфере	3	3
475	человека это	2	3
476	может ли	2	3
477	в россии	2	3
478	одной и	2	3
479	жизни это	4	3
480	не сам	2	3
481	мы видим	4	3
482	отношение между	2	3
483	не будут	2	3
484	эти слова	2	3
485	жизни то	2	3
486	всего что	2	3
487	и мы	2	3
488	т е	5	3
489	говорит что	3	3
490	а к	2	3
491	учению о	2	3
492	но этот	3	3
493	потому и	2	3
494	еще до	2	3
495	должен был	4	3
496	кто не	2	3
497	а для	2	3
498	мысли и	2	3
499	самим собою	2	3
500	в самых	2	3
501	новых и	2	3
502	мир и	3	3
503	в мысли	2	3
504	истории в	2	3
505	совсем иное	2	3
506	на этом	5	3
507	и именно	2	3
508	любовь и	4	3
509	может не	3	3
510	к какому	2	3
511	в середине	4	3
512	я и	3	3
513	что было	2	3
514	место в	4	3
515	есть та	2	3
516	духа который	2	3
517	стоит на	2	2
518	л толстого	3	2
519	и возможно	2	2
520	его до	2	2
521	тому чтобы	2	2
522	она может	2	2
523	о своей	2	2
524	приходит к	2	2
525	с другим	3	2
526	и любовь	2	2
527	же можно	2	2
528	что за	2	2
529	в момент	3	2
530	но у	2	2
531	они были	2	2
532	мысли о	3	2
533	страданий и	2	2
534	природы в	5	2
535	у кого	2	2
536	можно и	2	2
537	ни одного	2	2
538	о великом	6	2
539	сам он	2	2
540	человеческого общества	3	2
541	в романах	2	2
542	уже нет	3	2
543	бога в	2	2
544	на два	2	2
545	к учению	2	2
546	всякого человека	2	2
547	и эта	3	2
548	есть выражение	2	2
549	в которые	2	2
550	бы это	2	2
551	в новых	2	2
552	и вот	7	2
553	человека то	2	2
554	братьях карамазовых	5	2
555	он уже	8	2
556	как у	2	2
557	за его	2	2
558	от всех	2	2
559	на одной	2	2
560	за собой	2	2
561	к свободе	5	2
562	и окончательное	2	2
563	на почве	3	2
564	со своей	2	2
565	роль в	2	2
566	же что	2	2
567	и жизнь	3	2
568	и насилия	2	2
569	свободу и	8	2
570	который так	4	2
571	в глубине	10	2
572	такой степени	2	2
573	этого вопроса	3	2
574	который был	4	2
575	понять его	2	2
576	добра и	8	2
577	по отношению	4	2
578	духа в	5	2
579	на все	3	2
580	есть ли	2	2
581	нем не	2	2
582	человеческая жизнь	2	2
583	они и	3	2
584	все его	3	2
585	в картине	2	2
586	то нет	4	2
587	преступления и	4	2
588	из подполья	11	2
589	ивана карамазова	10	2
590	и я	5	2
591	людей на	2	2
592	в обычном	2	2
593	нет у	6	2
594	ее как	2	2
595	небо и	4	2
596	что человек	5	2
597	и там	10	2
598	также в	2	2
599	к самым	2	2
600	в бесах	8	2
601	и бунт	5	2
602	но также	2	2
603	не означает	2	2
604	отношению к	4	2
605	в братьях	5	2
606	лишь как	3	2
607	из людей	4	2
608	что есть	7	2
609	человека к	10	2
610	он считает	2	2
611	человека с	2	2
612	него не	3	2
613	к новому	2	2
614	человек в	12	2
615	жизни не	2	2
616	должны быть	3	2
617	был не	2	2
618	революции и	5	2
619	ко всему	2	2
620	и свободу	3	2
621	человек не	17	2
622	него и	3	2
623	бы ни	2	2
624	только одно	3	2
625	своих героев	2	2
626	достоевского все	5	2
627	его во	2	2
