N	2gram	Losev_Vlad	RusskieA
306	в себе	5	2
307	от него	3	2
308	на эту	3	2
309	и вообще	12	2
310	само собой	2	2
311	но даже	3	2
312	в конце	22	2
313	отношение к	7	2
314	судя по	2	2
315	и наконец	2	2
316	вера в	4	2
317	можно судить	8	2
318	одним из	3	2
319	а он	2	2
320	и тем	2	2
321	года на	3	2
322	и всегда	4	2
323	между ними	2	2
324	в московской	2	2
325	новым годом	2	2
326	в частности	4	2
327	и за	3	2
328	более подробно	2	2
329	на основании	3	2
330	в момент	2	2
331	его от	2	2
332	образом в	2	2
333	этого времени	3	2
334	но мы	3	2
335	к этой	4	2
336	труд о	2	2
337	ко всему	4	2
338	он пишет	5	2
339	в более	3	2
340	а мы	3	2
341	и без	2	2
342	ответ на	2	2
343	он так	2	2
344	между прочим	18	2
345	очень много	2	2
346	не говорится	2	2
347	москве и	3	2
348	здесь в	2	2
349	не были	2	2
350	поэзии и	2	2
351	под влиянием	6	2
352	в дальнейшем	10	2
353	можно сказать	10	2
354	по возвращении	5	2
355	для него	16	2
356	этому времени	3	2
357	на ту	2	2
358	с его	15	2
359	некоторое время	3	2
360	и и	8	2
361	сказать что	14	2
362	на всю	2	2
363	пока еще	2	2
364	он не	13	2
365	что если	3	2
366	когда мы	2	2
367	с г	2	2
368	другой стороны	3	2
369	и он	7	2
370	в начале	7	2
371	тем более	4	2
372	и н	4	2
373	дело в	7	2
374	его как	2	2
375	особенно в	2	2
376	было не	2	2
377	этом и	2	2
378	и даже	23	2
379	этом отношении	2	2
380	с этой	4	2
381	совершенно не	2	2
382	как у	3	2
383	полностью в	2	2
384	с и	4	2
385	нас в	2	2
386	не могло	2	2
387	например с	2	2
388	н г	5	2
389	как известно	2	2
390	о своих	2	2
391	в жизни	4	2
392	ни с	6	2
393	можно считать	3	2
394	и так	3	2
395	в чем	4	2
396	что такое	3	2
397	если это	2	2
398	в церковь	2	2
399	а через	2	2
400	был в	5	2
401	и если	8	2
402	но на	3	2
403	на что	2	2
404	но что	5	2
405	был не	3	2
406	года в	9	2
407	была не	3	2
408	по себе	3	2
409	и действительно	3	2
410	раз и	4	2
411	и теперь	4	2
412	и затем	2	2
413	от нее	3	2
414	из этого	6	2
415	и особенно	6	2
416	у него	28	2
417	только одно	4	2
418	в москву	3	2
419	в нашем	5	2
420	но эта	2	2
421	о которой	3	2
