N	2gram	Vinokur_Ku	Analitik
201	и более	3	6
202	так или	3	6
203	есть в	6	6
204	на этом	4	6
205	из которых	3	6
206	из них	4	6
207	уже в	5	6
208	соответствии с	5	6
209	вовсе не	18	6
210	в широком	2	5
211	и потому	6	5
212	не могут	5	5
213	не как	2	5
214	но как	2	5
215	совершенно не	4	5
216	так что	5	5
217	самом деле	17	5
218	в искусстве	2	5
219	а с	3	5
220	может служить	4	5
221	не так	2	5
222	в общем	4	5
223	во втором	2	5
224	а а	4	5
225	в них	10	5
226	речь идет	4	5
227	с той	2	5
228	и по	4	5
229	все эти	17	5
230	на примере	3	5
231	в первом	3	5
232	этом случае	4	5
233	тот же	7	5
234	я не	5	5
235	и здесь	8	5
236	да и	5	5
237	с их	3	5
238	одно из	3	5
239	к этому	4	5
240	и он	4	5
241	по пути	2	5
242	в особенности	6	5
243	как о	2	5
244	для того	23	5
245	и их	2	5
246	в этих	5	5
247	тем что	9	5
248	еще и	7	5
249	ни в	3	5
250	в котором	4	5
251	в слове	3	5
252	будто бы	3	5
253	что мы	6	5
254	к жизни	2	5
255	в противовес	3	5
256	в отношении	2	4
257	его к	5	4
258	в области	15	4
259	в каждом	3	4
260	отношение к	2	4
261	как к	2	4
262	и а	2	4
263	одним из	2	4
264	были бы	2	4
265	как у	2	4
266	а именно	4	4
267	в действительности	2	4
268	была бы	5	4
269	о нем	2	4
270	и о	3	4
271	более того	2	4
272	указывает на	2	4
273	или меньшей	2	4
274	и что	11	4
275	на себе	10	4
276	потому что	40	4
277	свидетельствует о	3	4
278	нам не	5	4
279	состоит не	2	4
280	так в	2	4
281	в чем	2	4
282	в известном	2	4
283	что же	11	4
284	с ними	6	4
285	того чтобы	25	4
286	и тогда	4	4
287	то ни	2	4
288	и т	62	4
289	бы и	6	4
290	каждом из	2	4
291	сказать что	5	4
292	и от	2	4
293	с этим	6	4
294	это по	2	4
295	но это	4	4
296	однако и	2	4
297	для данного	2	4
298	не все	4	4
299	что она	5	4
300	бы в	8	4
301	в которой	7	4
302	отличается от	2	4
303	об этом	4	4
304	не должно	2	4
305	ее в	2	4
306	между ними	2	4
307	в своих	2	4
308	и если	4	4
309	могли бы	4	4
310	этом смысле	8	4
311	в устах	3	4
312	большей или	2	4
313	не было	6	4
314	или даже	2	4
315	это и	6	4
316	и есть	3	4
317	на основе	2	4
318	в собственном	2	4
319	на самом	3	3
320	вопрос о	11	3
321	в таких	7	3
322	очевидно что	4	3
323	которые в	2	3
324	идет о	3	3
325	мы должны	2	3
326	слова как	5	3
327	в состоянии	2	3
328	здесь как	3	3
329	и далее	3	3
330	не был	2	3
331	втором случае	2	3
332	может иметь	3	3
333	в виду	7	3
334	к своему	2	3
335	т п	39	3
336	всего в	2	3
337	в такой	2	3
338	себе в	3	3
339	ведь и	2	3
340	с тем	5	3
341	может и	2	3
342	к этой	3	3
343	речи и	8	3
344	гораздо более	6	3
345	тех пор	2	3
346	своей собственной	3	3
347	в ней	6	3
348	уже о	2	3
349	не говоря	3	3
350	только к	2	3
351	языка и	16	3
352	что все	6	3
353	в зависимости	7	3
354	в тех	4	3
355	заключается в	3	3
356	связи с	8	3
357	в связи	4	3
358	что они	5	3
359	как нельзя	2	3
360	для этого	6	3
361	никак не	5	3
362	например в	5	3
363	тех же	2	3
364	так как	16	3
365	так сказать	5	3
366	можно было	14	3
367	дело в	2	3
368	должно быть	6	3
369	всех этих	4	3
370	о котором	4	3
371	это было	2	3
372	речи в	7	3
373	борьбы с	2	3
374	себя самого	2	3
375	зависимости от	9	3
376	и может	3	3
377	только для	3	3
378	в речи	5	3
379	с этой	4	3
380	понимать как	2	3
381	смысл и	5	3
382	за рамки	3	3
383	в какой	7	3
384	сами по	2	3
385	на этот	4	3
386	они не	4	3
387	есть лишь	3	3
388	также и	7	3
389	а то	2	3
390	что у	3	3
391	на то	6	3
392	когда он	4	3
393	оно не	5	3
394	и с	11	3
395	противном случае	2	3
396	на почве	2	3
397	если не	4	3
398	тогда когда	7	3
399	в противном	2	3
400	слова в	7	3
401	после чего	2	3
402	как на	4	3
403	быть не	2	3
404	но с	2	3
405	и без	2	3
406	мы могли	2	3
407	но он	2	3
408	смысла и	2	3
409	этих случаях	2	3
410	все более	2	2
411	к одному	2	2
412	в большинстве	3	2
413	о которых	2	2
414	слова не	2	2
415	так же	8	2
416	той мере	6	2
417	для нас	6	2
418	не имеют	3	2
419	на эту	2	2
420	этого рода	6	2
421	еще раз	2	2
422	такова что	2	2
423	к себе	4	2
424	сколь бы	2	2
425	в собственно	2	2
426	и должно	2	2
427	обе эти	4	2
428	вообще и	2	2
429	к которому	3	2
430	в следующем	2	2
431	и эти	3	2
432	что именно	2	2
433	это только	5	2
434	доказывает что	2	2
435	том же	3	2
436	в одно	2	2
437	и при	3	2
438	это как	2	2
439	когда мы	3	2
440	зрения в	2	2
441	или менее	3	2
442	же касается	4	2
443	особенности же	2	2
444	быть в	2	2
445	в разных	2	2
446	образом в	3	2
447	так например	3	2
448	любви к	2	2
449	иными словами	10	2
450	на месте	2	2
451	как я	2	2
452	то она	2	2
453	тому что	3	2
454	не приходится	2	2
455	на этой	4	2
456	следует что	6	2
457	а только	10	2
458	она есть	2	2
459	другое дело	2	2
460	выход из	2	2
461	более или	3	2
462	жизнь в	2	2
463	широком смысле	5	2
464	тех случаях	2	2
465	что этот	2	2
466	этой точки	4	2
467	между прочим	4	2
468	науки о	3	2
469	смысле этого	5	2
470	на все	3	2
471	с языком	2	2
472	там где	7	2
473	еще одно	3	2
474	что даже	2	2
475	что с	2	2
476	и дело	2	2
477	говоря уже	2	2
478	здесь мы	2	2
479	который по	2	2
480	слов и	2	2
481	уже и	3	2
482	для обозначения	2	2
483	по существу	9	2
484	но зато	2	2
485	под этим	2	2
486	что это	11	2
487	т е	54	2
488	во многих	3	2
489	интересно что	2	2
490	то и	4	2
491	утверждать что	2	2
492	я уже	2	2
493	время в	2	2
494	не знаю	2	2
495	таких случаях	3	2
496	но дело	2	2
497	а на	3	2
498	на это	3	2
499	язык есть	7	2
500	мы можем	2	2
501	исходит из	2	2
502	в статье	3	2
503	языка на	2	2
504	и вот	4	2
505	но ведь	3	2
506	у нас	19	2
507	все равно	4	2
508	е о	2	2
509	сих пор	5	2
510	но если	2	2
511	случаях когда	2	2
512	а все	2	2
513	том и	3	2
514	не имеет	6	2
515	вообще не	2	2
516	в самой	6	2
517	в данный	2	2
518	к ним	2	2
519	языка в	14	2
520	этот вопрос	7	2
521	что между	2	2
522	так ли	2	2
523	здесь совершенно	2	2
524	учение о	4	2
525	не для	2	2
526	как об	2	2
527	данного рода	2	2
528	данный момент	3	2
529	не просто	7	2
530	и только	2	2
531	и сами	2	2
532	в форме	3	2
533	и становится	3	2
534	до сих	5	2
535	языковых стилей	2	2
536	тем же	2	2
537	в системе	3	2
