N	2gram	Bakhtin_sl	Dialekti
461	ли он	4	2
462	всех своих	2	2
463	исторического развития	2	2
464	несколько слов	2	2
465	за его	2	2
466	только два	2	2
467	слово и	5	2
468	в духе	3	2
469	в чисто	4	2
470	как более	2	2
471	дело в	2	2
472	бы быть	2	2
473	и до	2	2
474	всегда в	3	2
475	и слово	4	2
476	собственном смысле	2	2
477	пор не	2	2
478	слова и	21	2
479	оно требует	2	2
480	в условиях	3	2
481	самого же	2	2
482	наконец в	5	2
483	и кроме	2	2
484	не видят	2	2
485	жизни но	2	2
486	такое понимание	2	2
487	есть свой	2	2
488	лишь тогда	2	2
489	новое время	2	2
490	где нет	2	2
491	есть как	3	2
492	на своем	5	2
493	в других	4	2
494	из него	4	2
495	и остается	3	2
496	чем в	3	2
497	в широком	3	2
498	ему не	2	2
499	на предмет	4	2
500	которые в	4	2
501	то есть	46	2
502	все то	2	2
503	слово в	18	2
504	не остается	2	2
505	и вся	2	2
506	связано с	3	2
507	и проч	4	2
508	как таковые	3	2
509	его от	2	2
510	на котором	3	2
511	слово слово	2	2
512	образом в	4	2
513	для понимания	3	2
514	нем и	5	2
515	на том	2	2
516	от этой	3	2
517	с другом	2	2
518	всем его	2	2
519	в лучшем	3	2
520	широком смысле	3	2
521	которые были	2	2
522	одного из	2	2
523	разной степени	2	2
524	между ними	2	2
525	смысле слова	2	2
526	не предполагает	3	2
527	не были	3	2
528	там где	10	2
529	и мир	9	2
530	и самый	2	2
531	вне ее	2	2
532	мы сказали	6	2
533	это возможно	2	2
534	самое слово	2	2
535	и становления	3	2
536	и между	2	2
537	с этими	3	2
538	существенно и	2	2
539	как оно	3	2
540	в целом	3	2
541	мировоззрения и	2	2
542	с ней	2	2
543	перестает быть	2	2
544	новые и	2	2
545	мы увидим	2	2
546	связана с	2	2
547	и всякое	2	2
548	человека в	5	2
549	жизни в	2	2
550	его и	5	2
551	друг с	2	2
552	конечно и	3	2
553	не должно	3	2
554	свой предмет	3	2
555	а между	2	2
556	человек в	6	2
557	в другой	2	2
558	мы наблюдаем	2	2
559	себя то	3	2
560	слова о	2	2
561	с которым	4	2
562	уже сказали	3	2
563	эпохи и	2	2
564	мы все	2	2
565	именно на	3	2
566	вокруг себя	2	2
567	и сам	4	2
568	как его	5	2
569	но оно	5	2
570	мира в	2	2
571	чем он	2	2
572	в системе	2	2
