N	2gram	Nazirov_Tv	slovoVRo
147	связан с	4	6
148	именно в	6	6
149	в свою	8	6
150	подхода к	3	6
151	по себе	2	6
152	в одном	3	6
153	между тем	2	6
154	слова не	2	5
155	в каждом	4	5
156	а как	2	5
157	героя в	4	5
158	только на	2	5
159	не знает	2	5
160	стремится к	3	5
161	не менее	8	5
162	отношению к	3	5
163	а затем	5	5
164	мы не	3	5
165	и по	5	5
166	хотя и	5	5
167	особенно в	3	5
168	в данном	2	5
169	по отношению	3	5
170	не является	3	5
171	его и	2	5
172	и более	2	5
173	на протяжении	3	5
174	в дальнейшем	7	5
175	о том	9	5
176	той же	4	5
177	уже в	5	5
178	в быту	2	5
179	или даже	2	5
180	и сам	5	5
181	но он	3	5
182	вместе с	4	5
183	так же	6	4
184	что и	3	4
185	в виду	3	4
186	что он	11	4
187	том же	3	4
188	однако в	3	4
189	свою очередь	2	4
190	в виде	4	4
191	влияние на	3	4
192	в частности	4	4
193	от других	2	4
194	того что	3	4
195	в чем	4	4
196	что оно	2	4
197	не столько	4	4
198	же как	3	4
199	одной из	7	4
200	но эти	3	4
201	но это	10	4
202	его как	2	4
203	дело не	3	4
204	в которой	5	4
205	и как	5	4
206	если бы	4	4
207	с этой	4	4
208	со всеми	3	4
209	и о	2	4
210	в известной	4	4
211	к тому	2	4
212	эти слова	3	4
213	в литературе	4	4
214	значение в	2	4
215	в бытовой	6	4
216	его романах	3	4
217	из них	4	4
218	в себя	3	4
219	как раз	2	4
220	данном случае	2	3
221	нуждается в	2	3
222	в духе	6	3
223	но она	2	3
224	не был	4	3
225	но эта	3	3
226	которого он	2	3
227	в одно	2	3
228	xviii века	2	3
229	как это	2	3
230	людей и	2	3
231	в такой	2	3
232	в свете	3	3
233	тому что	2	3
234	только с	3	3
235	на том	2	3
236	и без	2	3
237	между собой	2	3
238	переходит в	2	3
239	и до	2	3
240	было бы	2	3
241	в первом	3	3
242	к этому	4	3
243	с каким	2	3
244	не все	2	3
245	дело в	4	3
246	действительности в	2	3
247	эта идея	2	3
248	на него	2	3
249	xx века	3	3
250	но уже	2	3
251	во второй	3	3
252	тем что	2	3
253	в связи	2	3
254	жизни в	9	3
255	и другие	4	3
256	такой же	4	3
257	не есть	2	3
258	в этой	7	3
259	потому что	10	3
260	и это	2	3
261	из себя	2	3
262	в диалоге	2	3
263	личности и	2	3
264	в устах	2	3
265	в стороне	2	3
266	связана с	2	3
267	и тем	2	3
268	на самом	3	2
269	и отчасти	3	2
270	в таких	2	2
271	из всех	5	2
272	и у	3	2
273	и есть	2	2
274	есть не	2	2
275	это и	4	2
276	он еще	2	2
277	просто не	3	2
278	это как	4	2
279	так что	4	2
280	как уже	2	2
281	в один	3	2
282	самого начала	3	2
283	в прямом	2	2
284	а с	4	2
285	то что	9	2
286	х годов	3	2
287	что все	4	2
288	одного из	3	2
289	и среди	2	2
290	с самого	3	2
291	мы наблюдаем	2	2
292	жизнь в	2	2
293	связь с	3	2
294	в образе	4	2
295	у пушкина	5	2
296	и та	2	2
297	в известном	2	2
298	себя как	2	2
299	что не	5	2
300	место в	6	2
301	для них	2	2
302	однако этот	4	2
303	в ее	3	2
304	мы видим	3	2
305	протяжении всего	2	2
306	только как	2	2
307	что они	3	2
308	был бы	3	2
309	во всей	2	2
310	для анализа	2	2
311	в двух	2	2
312	для автора	4	2
313	проникает в	2	2
314	вокруг себя	2	2
315	известном смысле	2	2
316	то в	2	2
317	и что	2	2
318	время в	3	2
319	человеческой личности	5	2
320	мировоззрения и	2	2
321	что она	5	2
322	русский роман	3	2
323	не нужно	2	2
324	та же	4	2
325	но этот	2	2
326	он был	2	2
327	важную роль	2	2
328	автора в	2	2
329	к одному	2	2
330	мира в	2	2
331	об этом	4	2
332	в новых	2	2
333	человека как	2	2
334	в жизни	3	2
335	тем не	2	2
336	у нас	2	2
337	как единый	2	2
338	другом в	2	2
339	как у	3	2
340	и со	2	2
341	героев и	4	2
342	ни к	2	2
343	к ней	3	2
344	образ человека	2	2
345	как известно	3	2
346	культуры и	2	2
347	от всех	2	2
348	что для	3	2
349	столь же	2	2
350	в котором	8	2
351	в своих	8	2
352	в сфере	2	2
353	этом романе	2	2
354	приводит к	4	2
355	в начале	2	2
356	время он	2	2
357	в направлении	2	2
358	уже говорили	2	2
359	что как	2	2
360	и только	2	2
361	жизни но	2	2
362	не к	2	2
363	не значит	2	2
364	ибо в	2	2
