N	2gram	Bakhtin_fo	DiskursI
126	одно из	3	6
127	именно в	5	6
128	времени в	14	6
129	здесь не	5	6
130	и может	2	6
131	в сущности	5	6
132	в истории	6	6
133	в ее	6	6
134	имеет место	6	6
135	и то	5	6
136	одна из	3	6
137	в эпоху	5	6
138	то в	2	6
139	в строгом	2	6
140	дело в	3	6
141	во всех	13	6
142	в особенности	15	6
143	героя и	7	6
144	времени и	10	6
145	в которых	4	6
146	с точки	9	6
147	и того	7	6
148	ничего не	9	5
149	к себе	8	5
150	в другом	2	5
151	в виду	5	5
152	в их	9	5
153	и потому	4	5
154	того что	5	5
155	к ним	3	5
156	в прошлом	3	5
157	стороны и	2	5
158	для своего	2	5
159	мира и	6	5
160	во втором	2	5
161	один из	5	5
162	здесь в	6	5
163	в ряду	2	5
164	было в	2	5
165	принадлежит к	4	5
166	сказать что	4	5
167	но она	2	5
168	из этих	5	5
169	так сказать	14	5
170	не обязательно	2	5
171	с ее	7	5
172	в значительной	3	5
173	одного и	6	5
174	но они	3	5
175	на протяжении	3	5
176	в свою	2	5
177	в литературе	17	5
178	строго говоря	2	5
179	оно не	3	5
180	на этом	2	5
181	в той	5	5
182	как раз	13	5
183	же самое	2	5
184	не к	2	5
185	в ней	4	5
186	тем что	4	5
187	не о	2	4
188	до конца	5	4
189	не могут	4	4
190	одну из	2	4
191	и прежде	4	4
192	у них	4	4
193	и др	13	4
194	неотделимо от	2	4
195	по своему	3	4
196	как это	2	4
197	и это	5	4
198	более того	4	4
199	только на	3	4
200	человеческой жизни	9	4
201	частной жизни	24	4
202	его на	3	4
203	что не	3	4
204	к жизни	2	4
205	между двумя	6	4
206	можно назвать	2	4
207	и до	7	4
208	и во	13	4
209	того и	3	4
210	что они	3	4
211	указать на	2	4
212	должны быть	2	4
213	во всяком	5	4
214	мы имеем	2	4
215	существенную роль	3	4
216	в результате	6	4
217	по преимуществу	4	4
218	в данной	2	4
219	связи с	14	4
220	опирается на	2	4
221	есть в	3	4
222	в жизни	6	4
223	в самом	9	4
224	и к	4	4
225	по себе	3	4
226	не для	3	4
227	к другому	2	4
228	точка зрения	4	4
229	или в	3	4
230	и есть	3	4
231	с ним	5	4
232	еще и	3	3
233	вопрос о	2	3
234	идет о	2	3
235	в полном	2	3
236	вплоть до	3	3
237	виду что	2	3
238	в форме	5	3
239	весьма существенную	2	3
240	здесь как	3	3
241	в одно	3	3
242	мире и	3	3
243	но оно	2	3
244	как на	2	3
245	стремится к	2	3
246	характер и	8	3
247	значение для	3	3
248	она не	2	3
249	они не	4	3
250	об этом	3	3
251	и было	4	3
252	в романе	40	3
253	своей собственной	3	3
254	ему в	3	3
255	что на	3	3
256	на себя	2	3
257	между собой	5	3
258	и он	3	3
259	числе и	4	3
260	все эти	12	3
261	было бы	2	3
262	мы не	4	3
263	романного жанра	2	3
264	том числе	7	3
265	как мы	19	3
266	себе самому	7	3
267	в литературу	3	3
268	да и	4	3
269	одно и	4	3
270	событий и	3	3
271	не столь	2	3
272	и от	3	3
273	или не	2	3
274	с этим	11	3
275	в начале	3	3
276	по аналогии	2	3
277	особенно в	3	3
278	с их	2	3
279	хотя бы	2	3
280	в которой	3	3
281	к ней	2	3
282	и по	5	3
283	на первый	2	3
284	и наконец	6	3
285	как у	2	3
286	прошлым и	2	3
287	автора и	4	3
288	чем не	5	3
289	образ человека	7	3
290	и более	3	3
291	с человеком	2	3
292	но все	6	3
293	отношения к	7	3
294	не имеет	5	3
295	речи в	2	3
296	их в	6	3
297	входит в	3	3
298	на почве	2	3
299	уже в	5	3
300	и иные	2	3
301	жизни и	12	3
302	место в	4	3
303	и сам	2	3
304	момент в	2	3
305	в большинстве	3	3
306	жизни но	7	3
307	слова и	4	3
308	жизненный путь	8	3
309	в главе	3	3
310	жизни не	3	3
311	однако не	2	3
312	тем же	3	3
313	вместе с	9	3
314	в широком	3	2
315	в отношении	5	2
316	как можно	3	2
317	его к	2	2
318	мы должны	2	2
319	для всех	3	2
320	вступает в	2	2
321	этого момента	2	2
322	не имеют	4	2
323	они были	4	2
324	в классическом	3	2
325	каждый из	2	2
326	а потом	2	2
327	в каждом	2	2
328	все то	2	2
329	принадлежит не	2	2
330	друг друга	3	2
331	за счет	2	2
332	есть не	4	2
333	сами по	2	2
334	литературы в	3	2
335	быть и	4	2
336	мыслится как	2	2
337	здесь это	3	2
338	он всегда	2	2
339	и вне	3	2
340	в основном	12	2
341	к своему	2	2
342	во времени	6	2
343	самом деле	2	2
344	с природой	2	2
345	этом мире	7	2
346	в чем	3	2
347	и пространства	4	2
348	всего в	4	2
349	что даже	2	2
350	не являются	3	2
351	по существу	17	2
352	мы видели	2	2
353	в него	2	2
354	и тех	2	2
355	с самого	3	2
356	а только	2	2
357	жизнь в	2	2
358	те же	5	2
359	случая и	3	2
360	было и	4	2
361	разного рода	2	2
362	в различных	2	2
363	самим собой	2	2
364	характер в	2	2
365	так в	2	2
366	углом зрения	2	2
367	большинстве случаев	2	2
368	не могло	5	2
369	о своей	2	2
370	самого начала	3	2
371	в историческом	2	2
372	здесь также	2	2
373	себя и	6	2
374	все это	10	2
375	этого слова	2	2
376	и они	4	2
377	же как	2	2
378	в честь	2	2
379	отсюда и	3	2
380	вовсе не	20	2
381	и вообще	3	2
382	не могли	3	2
383	до нас	6	2
384	тех же	2	2
385	с другими	3	2
386	его с	2	2
387	время в	7	2
388	мира по	2	2
389	необходимо чтобы	2	2
390	тем более	4	2
391	бытия и	2	2
392	должно быть	6	2
393	в новое	4	2
394	это было	2	2
395	к концу	3	2
396	жизненного пути	9	2
397	мы можем	2	2
398	как их	2	2
399	целый ряд	2	2
400	если бы	6	2
401	герой в	2	2
402	и точность	2	2
403	связаны с	3	2
404	которой нет	2	2
405	своими корнями	2	2
406	для того	12	2
407	и их	11	2
408	с этой	3	2
409	как его	3	2
410	в последнем	3	2
411	героев и	5	2
412	себе и	4	2
413	одновременно с	2	2
414	нас в	3	2
415	на фоне	3	2
416	сюжета и	2	2
417	стадии развития	2	2
418	не был	2	2
419	и должно	2	2
420	у него	8	2
421	ни с	3	2
422	значение в	5	2
423	событие в	2	2
424	всей его	2	2
425	ее в	2	2
426	в самой	3	2
427	романа в	7	2
428	ни один	2	2
429	человек в	5	2
430	еще более	7	2
431	под углом	2	2
432	время и	4	2
433	и с	10	2
434	жизни как	2	2
435	но для	2	2
436	личности и	2	2
437	но на	4	2
438	романа и	4	2
439	со своей	3	2
440	влияния на	2	2
441	определяется не	2	2
442	времени но	2	2
443	он сам	2	2
444	в некоторых	4	2
445	что было	6	2
446	является не	2	2
447	и только	3	2
448	в плоскости	2	2
449	одних и	2	2
450	во всем	3	2
451	в нашем	3	2
452	а как	3	2
453	на основе	5	2
454	он ни	2	2
455	с помощью	5	2
