N	2gram	Bakhtin_fo	Mirosoze
185	в человеческой	2	5
186	одно из	3	5
187	с этим	11	5
188	этот процесс	5	5
189	по преимуществу	4	5
190	момент в	2	5
191	с самим	6	5
192	и как	12	5
193	мы увидим	2	5
194	еще не	8	5
195	его и	2	5
196	сих пор	4	5
197	на протяжении	3	5
198	до сих	4	5
199	той же	2	5
200	как человек	4	4
201	по отношению	3	4
202	в каждом	2	4
203	к себе	8	4
204	лишь один	2	4
205	быть лишь	2	4
206	он должен	2	4
207	так что	4	4
208	есть в	3	4
209	в разных	6	4
210	к другому	2	4
211	по своему	3	4
212	они были	4	4
213	в чем	3	4
214	в него	2	4
215	одна и	2	4
216	по сравнению	3	4
217	и этим	2	4
218	в центре	2	4
219	место в	4	4
220	и тот	2	4
221	себе и	4	4
222	человеческой жизни	9	4
223	могут быть	7	4
224	тогда когда	2	4
225	для них	3	4
226	в начале	3	4
227	на землю	2	4
228	мы видим	4	4
229	и до	7	4
230	все эти	12	4
231	мир в	6	4
232	что они	3	4
233	в истории	6	4
234	никто не	2	4
235	от природы	3	4
236	его с	2	4
237	значит что	2	4
238	лежит в	2	4
239	плоти и	2	4
240	нем нет	2	4
241	и даже	5	4
242	и по	5	4
243	что было	6	4
244	ни в	9	4
245	и их	11	4
246	и только	3	4
247	особенно в	3	4
248	мы не	4	4
249	отношению к	5	4
250	нас в	3	4
251	время как	5	4
252	ни с	3	4
253	мы еще	5	4
254	еще более	7	4
255	в эпоху	5	4
256	но на	4	4
257	самого человека	3	4
258	в той	5	4
259	то время	4	4
260	ведь это	2	3
261	жизни не	3	3
262	о чем	4	3
263	и поэтому	2	3
264	для себя	8	3
265	но она	2	3
266	в трагедии	3	3
267	мире и	3	3
268	все же	12	3
269	мы должны	2	3
270	все его	7	3
271	в уста	2	3
272	в виду	5	3
273	ту же	4	3
274	и та	2	3
275	же как	2	3
276	и самый	3	3
277	протяжении всего	2	3
278	это значит	3	3
279	принадлежит к	4	3
280	хотя и	5	3
281	и то	5	3
282	у данте	3	3
283	бытия и	2	3
284	и эта	2	3
285	и еще	3	3
286	к этому	5	3
287	конечно не	7	3
288	об этом	3	3
289	в этот	5	3
290	в значительной	3	3
291	находится в	3	3
292	и самое	5	3
293	от всех	2	3
294	для нас	2	3
295	со всеми	4	3
296	чем не	5	3
297	в пределах	8	3
298	лишь как	3	3
299	во всех	13	3
300	мир и	2	3
301	только один	2	3
302	на почве	2	3
303	входит в	3	3
304	но для	2	3
305	их и	3	3
306	в одном	10	3
307	со своей	3	3
308	роль в	12	3
309	но когда	2	3
310	человеческого образа	3	3
311	и должно	2	3
312	сравнению с	3	3
313	не быть	3	3
314	не о	2	2
315	в каком	2	2
316	все более	2	2
317	как можно	3	2
318	или иной	4	2
319	еще вернемся	3	2
320	его к	2	2
321	не имеют	4	2
322	есть только	2	2
323	оказывается что	2	2
324	для восприятия	2	2
325	и каждый	2	2
326	а как	3	2
327	и других	5	2
328	жизни поэтому	4	2
329	были в	2	2
330	и характер	3	2
331	центре его	2	2
332	к своему	2	2
333	после этого	2	2
334	самом деле	2	2
335	своей жизни	6	2
336	была бы	2	2
337	его от	3	2
338	он так	2	2
339	которые в	2	2
340	друг за	2	2
341	свет и	2	2
342	того же	9	2
343	весь мир	3	2
344	по природе	2	2
345	под знаком	3	2
346	своей собственной	3	2
347	большую роль	4	2
348	ему в	3	2
349	разного рода	2	2
350	и своеобразный	2	2
351	и сам	2	2
352	между ними	5	2
353	не столько	2	2
354	с которой	2	2
355	жизни она	2	2
356	к жизни	2	2
357	о своей	2	2
358	не были	4	2
359	связи с	14	2
360	связаны с	3	2
361	в сущности	5	2
362	и ее	4	2
363	во время	7	2
364	во всей	3	2
365	этого слова	2	2
366	и они	4	2
367	нем все	2	2
368	много в	2	2
369	правда в	2	2
370	а мы	2	2
371	их в	6	2
372	между двумя	6	2
373	в вечности	2	2
374	самим собою	5	2
375	в романах	2	2
376	не могли	3	2
377	имел в	2	2
378	в прошлом	3	2
379	когда мы	2	2
380	бы он	2	2
381	то в	2	2
382	более и	2	2
383	происходит в	2	2
384	с их	2	2
385	это было	2	2
386	к будущему	3	2
387	он ни	2	2
388	этом отношении	5	2
389	в глаза	3	2
390	целый ряд	2	2
391	природе своей	2	2
392	мира в	6	2
393	жизни то	2	2
394	только для	2	2
395	ее в	2	2
396	этот мир	2	2
397	ни к	3	2
398	но они	3	2
399	с человеком	2	2
400	уже на	3	2
401	этими двумя	3	2
402	так называемый	2	2
403	вообще не	4	2
404	с другой	4	2
405	прежде чем	3	2
406	их не	2	2
407	на одной	2	2
408	ни один	2	2
409	но к	2	2
410	в смысле	5	2
411	традицией и	2	2
412	которой он	3	2
413	не оставляет	6	2
414	во втором	2	2
415	жизни как	2	2
416	добродетели и	2	2
417	если не	3	2
418	характерно для	2	2
419	что мы	2	2
420	по себе	3	2
421	же что	3	2
422	момент его	2	2
423	над ними	2	2
424	нем не	3	2
425	и уже	4	2
426	и весь	2	2
427	но эта	5	2
428	исторического процесса	2	2
429	мир на	2	2
