N	2gram	Tiupa_Vved	Formalny
261	или в	3	4
262	и во	2	4
263	имеет место	6	4
264	одна из	5	4
265	он является	2	4
266	могла бы	3	4
267	тех же	2	4
268	но при	7	4
269	а к	3	4
270	однако и	3	4
271	тем не	3	4
272	не утрачивая	2	4
273	на него	3	4
274	едва ли	4	4
275	целый ряд	2	4
276	в таком	2	4
277	и о	4	4
278	на протяжении	2	4
279	не к	4	4
280	подобно тому	3	4
281	что для	2	4
282	что такое	23	4
283	зависит от	3	4
284	установкой на	2	4
285	или иначе	2	4
286	значения и	2	4
287	в художественной	2	4
288	вместо того	2	4
289	это время	2	4
290	мы и	2	4
291	все они	2	3
292	перед нами	13	3
293	к одному	2	3
294	или иной	5	3
295	бытия в	3	3
296	том как	4	3
297	исследовательской работы	2	3
298	противном случае	2	3
299	начала и	2	3
300	это только	3	3
301	не всегда	2	3
302	в году	2	3
303	в современной	7	3
304	вследствие этого	5	3
305	связано с	3	3
306	от них	2	3
307	она была	2	3
308	состоит в	23	3
309	или точнее	2	3
310	точка зрения	3	3
311	что на	4	3
312	дело обстоит	2	3
313	же касается	2	3
314	на его	2	3
315	и через	2	3
316	этом не	2	3
317	к своему	2	3
318	было в	2	3
319	в качестве	18	3
320	никак не	2	3
321	в сознании	5	3
322	быть только	2	3
323	тем более	3	3
324	в данной	2	3
325	дело с	4	3
326	не сводится	7	3
327	каждого из	2	3
328	на первый	3	3
329	мира в	8	3
330	художественного целого	2	3
331	бы не	3	3
332	сознания в	4	3
333	в чем	2	3
334	с установкой	2	3
335	в контексте	4	3
336	не должен	2	3
337	не с	4	3
338	на нее	2	3
339	том чтобы	2	3
340	на то	3	3
341	к одной	2	3
342	в которых	2	3
343	сливаются в	2	3
344	в одном	5	3
345	а именно	3	3
346	чтобы стать	3	3
347	со своей	4	3
348	внимание на	4	3
349	можно назвать	2	3
350	с их	2	3
351	в противном	2	3
352	не просто	2	3
353	в противовес	4	3
354	же самое	2	3
355	но они	3	3
356	но он	2	3
357	человека в	2	2
358	во времени	2	2
359	той мере	2	2
360	о чем	4	2
361	от их	2	2
362	важно не	2	2
363	в другом	2	2
364	именно эта	2	2
365	если она	2	2
366	другого человека	2	2
367	и вся	3	2
368	друг от	2	2
369	и этоса	2	2
370	не знает	2	2
371	а с	4	2
372	к ним	4	2
373	но так	2	2
374	мере в	2	2
375	в точке	4	2
376	это уже	2	2
377	ему в	2	2
378	и само	2	2
379	мира и	5	2
380	мы имеем	8	2
381	однако в	9	2
382	в следующей	2	2
383	восприятия в	2	2
384	в силу	2	2
385	с ними	2	2
386	у тургенева	2	2
387	события но	2	2
388	о ней	4	2
389	заключается в	2	2
390	не роман	2	2
391	как для	3	2
392	который в	5	2
393	но она	2	2
394	или не	3	2
395	глубоко и	2	2
396	в строгом	2	2
397	можно было	2	2
398	что она	2	2
399	себя в	4	2
400	дело не	2	2
401	в этот	3	2
402	той или	5	2
403	принадлежат к	4	2
404	и вот	3	2
405	в речи	3	2
406	героя и	5	2
407	времени и	7	2
408	говорят о	2	2
409	как у	3	2
410	действующих лиц	2	2
411	а для	2	2
412	ни к	3	2
413	было и	2	2
414	все равно	2	2
415	как известно	2	2
416	на этот	2	2
417	ни с	2	2
418	далеко не	5	2
419	всей его	2	2
420	в принципе	3	2
421	строго говоря	2	2
422	от друга	2	2
423	жизни не	2	2
424	что мы	2	2
425	несмотря на	2	2
426	начинается с	2	2
427	все что	3	2
428	в ряду	2	2
429	и того	3	2
430	из него	2	2
431	и есть	2	2
432	и событие	3	2
433	его собственной	2	2
