N	2gram	Nazirov_Tv	RusskieA
261	на эту	4	2
262	перед нами	3	2
263	в духе	6	2
264	с другим	3	2
265	не дают	2	2
266	в конце	5	2
267	и наконец	3	2
268	кто же	2	2
269	одним из	6	2
270	из гроба	2	2
271	и тем	2	2
272	а как	2	2
273	в частности	4	2
274	е а	3	2
275	в момент	5	2
276	самом деле	4	2
277	т п	4	2
278	в один	3	2
279	не так	5	2
280	быть назван	2	2
281	в него	2	2
282	только с	3	2
283	в ту	4	2
284	мы наблюдаем	2	2
285	людей и	2	2
286	точка зрения	2	2
287	ту же	4	2
288	и без	2	2
289	характер в	2	2
290	вот почему	3	2
291	мы видим	3	2
292	и когда	2	2
293	этой связи	2	2
294	в дальнейшем	7	2
295	в двух	2	2
296	можно сказать	2	2
297	значение в	2	2
298	который в	4	2
299	для него	9	2
300	с его	12	2
301	сказать что	3	2
302	это еще	2	2
303	он не	10	2
304	на ней	2	2
305	другой стороны	2	2
306	значит что	3	2
307	и он	4	2
308	в начале	2	2
309	дело в	4	2
310	в каждом	4	2
311	его как	2	2
312	собой в	2	2
313	особенно в	3	2
314	время не	2	2
315	и даже	8	2
316	не противоречит	2	2
317	не является	3	2
318	как по	2	2
319	с этой	4	2
320	как у	3	2
321	не означает	4	2
322	н г	2	2
323	через него	2	2
324	как известно	3	2
325	о своих	2	2
326	в жизни	3	2
327	не случайно	6	2
328	в чем	4	2
329	во что	2	2
330	гроба и	2	2
331	не значит	2	2
332	и если	3	2
333	если он	4	2
334	года в	7	2
335	по себе	2	2
336	в стороне	2	2
337	особое значение	2	2
338	у него	11	2
339	от людей	2	2
340	это означало	3	2
341	но эта	3	2
342	о которой	2	2
