N	2gram	Bakhtin_fo	Marksizm
206	в разрезе	4	6
207	лишь как	3	6
208	с одной	5	6
209	смысле слова	4	6
210	между ними	5	6
211	входит в	3	6
212	уже не	5	6
213	в корне	2	6
214	в той	5	6
215	не к	2	6
216	тем же	3	6
217	этом отношении	5	5
218	значения в	2	5
219	о чем	4	5
220	в конце	11	5
221	и у	8	5
222	понятно что	4	5
223	для других	7	5
224	в виду	5	5
225	точку зрения	3	5
226	и вот	2	5
227	то в	2	5
228	в особенности	15	5
229	от этого	4	5
230	вне его	2	5
231	или в	3	5
232	в более	2	5
233	дело идет	2	5
234	той или	3	5
235	был бы	3	5
236	громадное значение	5	5
237	хотя и	5	5
238	да и	4	5
239	себя в	2	5
240	этой проблемы	2	5
241	необходимо чтобы	2	5
242	тем более	4	5
243	должно быть	6	5
244	менее всего	2	5
245	ее в	2	5
246	по преимуществу	4	5
247	жизни в	11	5
248	в условиях	8	5
249	она не	2	5
250	формы и	4	5
251	но не	9	5
252	значение в	5	5
253	и является	2	5
254	для себя	8	5
255	еще более	7	5
256	в одном	10	5
257	связи между	2	5
258	этих форм	5	5
259	как на	2	5
260	вместе с	9	5
261	следовательно и	3	4
262	не могут	4	4
263	его к	2	4
264	в одной	2	4
265	как он	4	4
266	что здесь	2	4
267	и прежде	4	4
268	влияние на	6	4
269	к своему	2	4
270	так что	4	4
271	и к	4	4
272	стремится к	2	4
273	что все	4	4
274	можно сказать	2	4
275	он ни	2	4
276	в определенном	3	4
277	и вне	3	4
278	и он	3	4
279	в них	11	4
280	между двумя	6	4
281	можно назвать	2	4
282	и до	7	4
283	он был	2	4
284	что они	3	4
285	нет и	4	4
286	во всей	3	4
287	нашей точки	3	4
288	и то	5	4
289	стороны и	2	4
290	нет ничего	4	4
291	в которой	3	4
292	нем нет	2	4
293	и тот	2	4
294	целый ряд	2	4
295	же и	2	4
296	со всеми	4	4
297	не знает	4	4
298	но все	6	4
299	автора и	4	4
300	но к	2	4
301	но для	2	4
302	места в	2	4
303	из них	8	4
304	как она	3	4
305	уже в	5	4
306	подхода к	3	4
307	жизни и	12	4
308	в других	9	4
309	и речи	6	4
310	тем что	4	4
311	не о	2	3
312	еще и	3	3
313	все более	2	3
314	между этими	4	3
315	само собой	2	3
316	только и	5	3
317	к себе	8	3
318	должен быть	2	3
319	эпоху возрождения	3	3
320	роль в	12	3
321	в значительной	3	3
322	ведь это	2	3
323	у них	4	3
324	тогда когда	2	3
325	в целом	2	3
326	и та	2	3
327	в какой-то	4	3
328	мы говорили	3	3
329	с тем	5	3
330	как это	2	3
331	они не	4	3
332	все его	7	3
333	потому что	11	3
334	том числе	7	3
335	во втором	2	3
336	так в	2	3
337	все основные	3	3
338	контексте в	2	3
339	ту и	2	3
340	между собой	5	3
341	на них	2	3
342	и др	13	3
343	мы видим	4	3
344	и по	5	3
345	связаны с	3	3
346	не на	4	3
347	есть только	2	3
348	значение и	7	3
349	эти формы	2	3
350	и они	4	3
351	себе самому	7	3
352	имеет место	6	3
353	и вообще	3	3
354	все то	2	3
355	числе и	4	3
356	одно и	4	3
357	оно уже	2	3
358	более и	2	3
359	лежит в	2	3
360	здесь не	5	3
361	с их	2	3
362	этими двумя	3	3
363	поэтому и	4	3
364	в этот	5	3
365	друг с	5	3
366	мы увидим	2	3
367	на первый	2	3
368	мы встречаем	3	3
369	человека в	22	3
370	эпохи возрождения	2	3
371	в последнем	3	3
372	его и	2	3
373	или как	5	3
374	всем этим	4	3
375	ни к	3	3
376	но они	3	3
377	одновременно с	2	3
378	не могло	5	3
379	на протяжении	3	3
380	в дальнейшем	10	3
381	также и	6	3
382	прежде чем	3	3
383	с другом	5	3
384	в которых	4	3
385	здесь нет	3	3
386	однако не	2	3
387	определяется не	2	3
388	резко и	2	3
389	ее целом	2	3
390	к жизни	2	3
391	находится в	3	3
392	нам важно	2	3
393	что было	6	3
394	места для	2	3
395	и есть	3	3
396	и только	3	3
397	а следовательно	4	3
398	первый план	2	3
399	с ним	5	3
400	момент в	2	3
401	слагается из	2	3
402	и других	5	3
403	в широком	3	2
404	он должен	2	2
405	во все	4	2
406	вернемся к	2	2
407	и почти	2	2
408	борьба и	2	2
409	идет о	2	2
410	вступает в	2	2
411	его на	3	2
412	одну из	2	2
413	после этого	2	2
414	и поэтому	2	2
415	каждый из	2	2
416	как их	2	2
417	виду что	2	2
418	этот тип	2	2
419	в философии	2	2
420	с нашей	3	2
421	их к	3	2
422	есть и	4	2
423	сами по	2	2
424	того в	2	2
425	путь в	2	2
426	быть лишь	2	2
427	не без	2	2
428	здесь как	3	2
429	друг от	2	2
430	в частности	11	2
431	зрения не	3	2
432	например у	4	2
433	но по	2	2
434	была бы	2	2
435	всего в	4	2
436	на развитие	5	2
437	не столь	2	2
438	со всех	2	2
439	те моменты	2	2
440	к ним	3	2
441	одна и	2	2
442	в прошлом	3	2
443	и тех	2	2
444	вопросу о	3	2
445	а только	2	2
446	для всех	3	2
447	мы наблюдаем	2	2
448	мира и	6	2
449	широком смысле	3	2
450	форме и	2	2
451	и всей	2	2
452	мы это	2	2
453	лучше всего	2	2
454	не могла	2	2
455	прямо сказать	2	2
456	совсем не	4	2
457	в романе	40	2
458	и принципиально	2	2
459	для них	3	2
460	в разрешении	2	2
461	в разных	6	2
462	же как	2	2
463	они сами	2	2
464	и во	13	2
465	и самый	3	2
466	себя и	6	2
467	это значит	3	2
468	чувствует себя	5	2
469	никто не	2	2
470	принадлежит к	4	2
471	моменты в	2	2
472	данном случае	2	2
473	и иные	2	2
474	отсюда и	3	2
475	иногда очень	3	2
476	этот момент	2	2
477	всего этого	3	2
478	смысла и	2	2
479	например в	7	2
480	на которые	2	2
481	нет в	2	2
482	исторического времени	7	2
483	когда мы	2	2
484	в эпоху	5	2
485	эти особенности	3	2
486	можно только	2	2
487	в литературе	17	2
488	все идеологические	2	2
489	по аналогии	2	2
490	всех этих	9	2
491	словом и	2	2
492	всех сторон	2	2
493	его целом	2	2
494	даже не	2	2
495	это было	2	2
496	в новое	4	2
497	было в	2	2
498	этим определяется	2	2
499	глубокий и	2	2
500	мы еще	5	2
501	от друга	2	2
502	другом и	2	2
503	значение имеет	2	2
504	из нее	2	2
505	по всем	3	2
506	та же	4	2
507	и наконец	6	2
508	героя и	7	2
509	с этой	3	2
510	во время	7	2
511	и другие	6	2
512	эта форма	2	2
513	в чем	3	2
514	опирается на	2	2
515	эти моменты	3	2
516	себе и	4	2
517	принадлежит не	2	2
518	и всего	2	2
519	почти все	4	2
520	есть в	3	2
521	в жизни	6	2
522	его жизни	11	2
523	и так	2	2
524	конечно и	5	2
525	во всем	3	2
526	явлений и	3	2
527	вообще не	4	2
528	за пределами	2	2
529	в самой	3	2
530	их в	6	2
531	оно не	3	2
532	явления и	2	2
533	все в	3	2
534	именно как	4	2
535	что мы	2	2
536	разумеется что	2	2
537	распадается на	2	2
538	нашего анализа	2	2
539	всю эту	2	2
540	друг другу	4	2
541	в плоскости	2	2
542	тому же	2	2
543	жизни но	7	2
544	отношения к	7	2
545	и весь	2	2
546	в совершенно	3	2
547	ту же	4	2
548	мы и	4	2
549	самый момент	2	2
550	но он	4	2
