N	2gram	Bakhtin_sl	Freidism
187	влияние на	3	4
188	по своему	2	4
189	и оно	2	4
190	в котором	2	4
191	связанные с	7	4
192	потому что	2	4
193	именно в	5	4
194	о себе	2	4
195	как с	2	4
196	что оно	4	4
197	выражение в	4	4
198	смысле слова	2	4
199	по себе	4	4
200	из которого	2	4
201	в целом	3	4
202	зависимости от	4	4
203	отметить что	3	4
204	только как	2	4
205	в зависимости	4	4
206	мы и	2	4
207	себя и	2	4
208	войти в	2	4
209	в истории	6	4
210	всех своих	2	4
211	в данном	5	4
212	слова и	21	4
213	и речи	4	4
214	в узком	13	4
215	на язык	2	4
216	конечно в	2	3
217	и то	2	3
218	с этими	3	3
219	и от	5	3
220	в свой	3	3
221	все то	2	3
222	сил в	3	3
223	в сознании	3	3
224	а вовсе	4	3
225	жизни в	2	3
226	нуждается в	3	3
227	в результате	4	3
228	борьба с	5	3
229	и даже	11	3
230	и как	3	3
231	единство и	4	3
232	на все	3	3
233	а как	3	3
234	не остается	2	3
235	одним из	5	3
236	и при	2	3
237	у нас	2	3
238	укладывается в	2	3
239	и со	2	3
240	или как	4	3
241	связано с	3	3
242	всем этим	2	3
243	и той	2	3
244	сих пор	4	3
245	наших дней	2	3
246	в какой	2	3
247	узком смысле	13	3
248	и следовательно	8	3
249	явление в	2	3
250	в самых	2	3
251	значение в	2	3
252	о том	5	3
253	и она	2	3
254	они не	3	3
255	оно может	3	3
256	того же	7	3
257	на почве	6	3
258	все его	4	3
259	собственном смысле	2	3
260	притом в	3	3
261	оно не	12	3
262	остается в	5	3
263	имеет дело	4	3
264	и социальной	2	3
265	приводит к	2	3
266	для всех	2	3
267	и становится	2	3
268	и этим	3	3
269	в одном	4	3
270	в них	11	3
271	только не	2	3
272	уже в	2	3
273	формы и	3	3
274	себя в	14	3
275	сознания в	2	3
276	для них	2	3
277	со всею	5	3
278	мы видим	2	3
279	из него	4	3
280	в условиях	3	3
281	и есть	2	3
282	а следовательно	2	3
283	и сам	4	3
284	случае не	2	3
285	не приходится	2	3
286	них не	2	3
287	социальной группы	2	3
288	до сих	4	3
289	между тем	5	3
290	до последнего	2	2
291	да и	2	2
292	них и	3	2
293	в широком	3	2
294	и связанных	2	2
295	на всю	3	2
296	в отношении	9	2
297	не исчерпывается	3	2
298	следовательно и	4	2
299	о которых	2	2
300	или иной	13	2
301	и между	2	2
302	точками зрения	4	2
303	а также	5	2
304	то в	2	2
305	он их	2	2
306	но эти	3	2
307	дело и	2	2
308	что как	2	2
309	в одной	2	2
310	одним словом	4	2
311	по преимуществу	5	2
312	мировоззрения и	2	2
313	бы и	6	2
314	дело в	2	2
315	должно быть	3	2
316	из важнейших	2	2
317	свой смысл	2	2
318	такого рода	2	2
319	дело не	2	2
320	это было	2	2
321	не как	4	2
322	с различными	6	2
323	его и	5	2
324	отличается от	3	2
325	в отличие	12	2
326	на один	2	2
327	как к	5	2
328	и часто	7	2
329	но их	2	2
330	века в	2	2
331	друг друга	3	2
332	должен быть	3	2
333	однако и	2	2
334	а на	3	2
335	и самое	3	2
336	не пытается	2	2
337	связана с	2	2
338	и тем	3	2
339	все они	9	2
340	или во	2	2
341	в некоторых	3	2
342	в их	6	2
343	в борьбу	2	2
344	ни было	2	2
345	для сознания	2	2
346	но именно	5	2
347	к своему	11	2
348	и другие	3	2
349	а именно	2	2
350	для нас	7	2
351	отличие от	13	2
352	мы говорили	2	2
353	его не	4	2
354	нас в	3	2
355	с одной	7	2
356	работы и	2	2
357	должна быть	3	2
358	а с	2	2
359	здесь оно	3	2
360	образом в	4	2
361	в иные	3	2
362	о нем	6	2
363	для понимания	3	2
364	или вовсе	2	2
365	в прошлом	2	2
366	от этого	2	2
367	в него	9	2
368	в эту	3	2
369	вообще не	4	2
370	также и	5	2
371	не есть	2	2
372	за пределами	3	2
373	с другой	8	2
374	речи и	4	2
375	предмета и	2	2
376	вырождается в	2	2
377	он в	6	2
378	знает только	2	2
379	еще более	7	2
380	и социальных	2	2
381	не укладывается	2	2
382	входит в	8	2
383	но все	2	2
384	а его	2	2
385	речь и	3	2
386	одной стороны	7	2
387	с таким	3	2
388	свое выражение	3	2
389	жизнь в	2	2
390	от других	2	2
391	тогда когда	2	2
392	и их	6	2
393	но как	2	2
394	на них	2	2
395	которых мы	3	2
396	смысл и	3	2
397	жизни но	2	2
398	разложения и	2	2
399	ли он	4	2
400	там где	10	2
401	же как	2	2
402	из этого	3	2
403	не выходит	3	2
404	и во	3	2
405	социальные и	2	2
406	всех областях	4	2
407	для всего	2	2
408	обстоит дело	4	2
409	могли бы	2	2
410	в качестве	4	2
411	только о	2	2
412	в первом	3	2
413	отношения к	3	2
414	как его	5	2
415	без исключения	2	2
416	выходит за	3	2
417	рядом с	7	2
418	мира в	2	2
419	на языке	2	2
420	чем он	2	2
421	заложенные в	2	2
422	художественный образ	3	2
