N	2gram	Tiupa_Anal	TeoriaLi
444	несмотря на	5	2
445	здесь не	2	2
446	и рецептивная	2	2
447	в той	8	2
448	в ритмическом	2	2
449	по бахтину	2	2
450	художественную реальность	2	2
451	что и	5	2
452	в данный	2	2
453	в случае	7	2
454	а затем	3	2
455	и больше	2	2
456	с ними	2	2
457	художественная реальность	9	2
458	о его	5	2
459	к внутреннему	3	2
460	я во	3	2
461	высказывания и	3	2
462	и наоборот	3	2
463	во внутренней	2	2
464	то ни	3	2
465	рода и	2	2
466	себя и	5	2
467	заключается в	2	2
468	в присутствии	3	2
469	ритм манифестирован	2	2
470	данный момент	2	2
471	могут оказаться	2	2
472	и особенно	4	2
473	не просто	2	2
474	все это	2	2
475	субъект и	2	2
476	времени в	4	2
477	как будто	6	2
478	в первом	3	2
479	во внешнем	4	2
480	случае не	2	2
481	я как	2	2
482	ясно говорит	2	2
483	диалогическим углом	2	2
484	из виду	3	2
485	объектной организацией	2	2
486	бы то	3	2
487	который в	3	2
488	с иными	2	2
489	я не	2	2
490	текста наиболее	3	2
491	как система	6	2
492	имеем дело	7	2
493	основе своей	2	2
494	на основе	3	2
495	и неизбыточность	2	2
496	первой части	2	2
