N	2gram	Bakhtin_KF	formyVre
101	и то	2	8
102	если бы	8	8
103	со всеми	2	8
104	отношению к	22	8
105	в жизни	2	8
106	в мире	8	8
107	рядом с	3	8
108	в виду	3	8
109	жизни но	3	8
110	в процессе	2	7
111	в себе	21	7
112	не как	4	7
113	не знает	5	7
114	того что	3	7
115	место в	6	7
116	было бы	8	7
117	себя и	5	7
118	мир в	12	7
119	к этому	2	7
120	этого мира	3	7
121	с ее	2	7
122	к ним	4	7
123	еще более	2	7
124	в себя	8	7
125	все они	2	6
126	лежат в	3	6
127	и ее	2	6
128	но эта	6	6
129	а как	2	6
130	с тем	2	6
131	в качестве	2	6
132	во всей	4	6
133	мы не	3	6
134	пространства и	2	6
135	дан в	2	6
136	нет и	3	6
137	о том	3	6
138	именно в	5	6
139	имеем в	2	6
140	время и	5	6
141	был бы	3	5
142	и ни	3	5
143	эти моменты	3	5
144	от этого	2	5
145	в него	2	5
146	в едином	10	5
147	но здесь	3	5
148	там где	5	5
149	с ними	4	5
150	той или	3	5
151	в этой	2	5
152	отсюда и	3	5
153	хотя бы	5	5
154	бы он	2	5
155	мы имеем	5	5
156	в своей	11	5
157	в это	2	5
158	тем что	3	5
159	чем не	4	5
160	или как	2	5
161	было и	2	5
162	быть только	8	5
163	не имеет	6	5
164	он может	2	5
165	в смысле	6	5
166	места в	4	5
167	и только	7	5
168	как его	4	5
169	его на	2	4
170	от него	3	4
171	по себе	2	4
172	видения и	2	4
173	по отношению	26	4
174	его целом	10	4
175	в другом	3	4
176	и т.д	4	4
177	весь мир	2	4
178	что он	2	4
179	мы здесь	3	4
180	людей и	3	4
181	даны в	2	4
182	в чем	4	4
183	что не	3	4
184	и совершенно	3	4
185	совсем не	2	4
186	войти в	3	4
187	и момент	4	4
188	в корне	3	4
189	быть и	3	4
190	в данном	2	4
191	включает в	2	4
192	и смерти	2	4
193	вследствие этого	2	4
194	себе и	3	4
195	лишь как	3	4
196	где она	2	4
197	всей его	2	4
198	в своих	4	4
199	жизни как	5	4
200	момент в	7	4
201	раз и	2	4
202	это и	3	4
203	а следовательно	3	4
204	во всем	7	4
205	моменты и	3	4
206	вопрос о	2	3
207	в соответствии	2	3
208	его к	2	3
209	вступает в	3	3
210	подхода к	2	3
211	временные отношения	2	3
212	и эти	2	3
213	для которой	3	3
214	нем не	2	3
215	мира как	2	3
216	но конечно	3	3
217	тому что	2	3
218	она не	2	3
219	это уже	2	3
220	ему в	2	3
221	но это	6	3
222	события и	2	3
223	конечно в	2	3
224	других людей	3	3
225	нет в	4	3
226	различия в	2	3
227	место и	2	3
228	бы и	3	3
229	дело в	2	3
230	менее всего	6	3
231	это было	2	3
232	из нее	2	3
233	и здесь	7	3
234	одна и	2	3
235	и весь	4	3
236	бы не	3	3
237	он ни	2	3
238	совершенно не	7	3
239	его и	2	3
240	ни к	2	3
241	что есть	2	3
242	по своему	3	3
243	и оформления	2	3
244	событие в	5	3
245	дело здесь	2	3
246	и время	2	3
247	в свою	3	3
248	если не	2	3
249	момент его	9	3
250	которой он	2	3
251	и видения	2	3
252	человек не	2	3
253	и есть	10	3
254	не быть	3	3
255	ни был	2	3
256	не о	2	2
257	других для	2	2
258	в каком	4	2
259	нигде не	3	2
260	ее и	6	2
261	и принципиально	2	2
262	человек и	2	2
263	в каждом	3	2
264	когда я	3	2
265	смысла и	2	2
266	должен быть	7	2
267	ведь это	2	2
268	пространственные и	2	2
269	чего не	2	2
270	самом деле	3	2
271	может иметь	2	2
272	к нему	12	2
273	необходимый момент	2	2
274	могло бы	4	2
275	мир как	6	2
276	выход из	2	2
277	и смысл	2	2
278	отношении к	2	2
279	и та	3	2
280	и временные	2	2
281	но как	5	2
282	себя как	2	2
283	ее целом	3	2
284	и пр	3	2
285	всех своих	4	2
286	этого слова	2	2
287	котором я	2	2
288	этот момент	7	2
289	в мир	2	2
290	его с	2	2
291	события в	3	2
292	есть именно	2	2
293	как оно	2	2
294	и пространство	4	2
295	бытия и	10	2
296	и эта	2	2
297	его как	5	2
298	себя в	8	2
299	со всем	5	2
300	но этот	2	2
301	и тот	3	2
302	но лишь	7	2
303	если я	2	2
304	причастен и	2	2
305	и может	3	2
306	герой и	2	2
307	вошли в	2	2
308	где он	3	2
309	для нас	4	2
310	нами в	2	2
311	смысл и	6	2
312	этот мир	2	2
313	должна быть	4	2
314	но нет	2	2
315	с человеком	3	2
316	культуры и	5	2
317	миром где	2	2
318	единства и	2	2
319	жизнь как	6	2
320	в единое	2	2
321	из себя	11	2
322	но для	3	2
323	соответствии с	2	2
324	мы говорим	2	2
325	в час	3	2
326	и этим	3	2
327	тогда когда	3	2
328	и она	2	2
329	в действительной	4	2
330	и всех	2	2
331	я не	6	2
332	говорить о	2	2
333	него и	2	2
334	пространство и	2	2
335	всех его	2	2
336	целом и	3	2
337	основе своей	2	2
338	жить и	2	2
339	ясно что	3	2
