N	2gram	Ircho_Kome	VeschiIm
274	затем и	2	2
275	в начале	7	2
276	к этому	8	2
277	это было	5	2
278	же она	2	2
279	человека в	2	2
280	этом отношении	3	2
281	и другие	3	2
282	раз в	2	2
283	одного из	7	2
284	в в	8	2
285	под именем	3	2
286	но они	2	2
287	жизнь и	2	2
288	именно потому	2	2
289	из наиболее	2	2
290	именно в	5	2
291	не вполне	2	2
292	в последние	2	2
293	и к	2	2
294	же когда	2	2
295	о которых	6	2
296	в более	4	2
297	и на	9	2
298	и уже	2	2
299	с собой	2	2
300	является не	2	2
301	как будто	3	2
302	этом смысле	2	2
303	той же	3	2
304	с его	4	2
305	тем же	2	2
