N	2gram	Tiupa_Teor	Problema
199	из которых	2	10
200	но он	4	10
201	человеческой жизни	3	9
202	знака к	5	9
203	здесь мы	2	9
204	в художественном	5	9
205	не вполне	2	9
206	их в	3	9
207	это тоже	2	9
208	известного рода	2	9
209	это было	2	9
210	и другие	2	9
211	в жизни	3	9
212	между собой	3	8
213	и по	3	8
214	никто не	3	8
215	для него	5	8
216	если в	2	8
217	не все	3	8
218	с этой	3	8
219	в силу	4	8
220	входит в	4	8
221	и особенно	2	8
222	для искусства	2	8
223	тем же	2	8
224	к его	3	8
225	для всех	2	8
226	тот или	3	8
227	из этих	3	8
228	и больше	2	8
229	во всей	3	8
230	с ее	4	8
231	ни было	2	8
232	времени и	2	7
233	определенным образом	2	7
234	а с	3	7
235	одной из	2	7
236	а а	5	7
237	в основе	6	7
238	в значительной	2	7
239	в какой	2	7
240	оно не	2	7
241	в случае	2	7
242	даже в	3	7
243	не на	4	7
244	и а	4	7
245	жизни а	2	7
246	была бы	3	7
247	мира и	4	7
248	к другому	2	7
249	о своем	2	7
250	по преимуществу	5	7
251	ее в	2	7
252	и который	2	7
253	не обязательно	3	7
254	в известном	2	6
255	тем или	2	6
256	по своей	8	6
257	ни к	3	6
258	этого слова	4	6
259	имеем в	3	6
260	в порядке	3	6
261	и того	4	6
262	не знает	4	6
263	чтобы не	2	6
264	для меня	2	6
265	не всегда	2	6
266	могут быть	5	6
267	из тех	2	6
268	с его	6	6
269	но она	2	6
270	мышления и	3	6
271	дело не	2	6
272	нового времени	3	6
273	к своему	2	6
274	отношения к	4	6
275	в слове	4	6
276	человека и	2	5
277	отношение к	7	5
278	и прежде	2	5
279	он должен	3	5
280	тот кто	2	5
281	все прочие	3	5
282	одно и	2	5
283	ту или	2	5
284	о себе	2	5
285	сам же	2	5
286	лишь в	10	5
287	для обозначения	2	5
288	есть как	2	5
289	образом и	2	5
290	тому как	3	5
291	я не	2	5
292	сводится к	12	5
293	между тем	5	5
294	что может	2	5
295	том числе	3	5
296	на себя	2	5
297	и весьма	2	5
298	о его	2	5
299	по мысли	3	5
300	в противоположность	3	5
301	себя в	7	5
302	мира в	3	5
303	слова как	3	5
304	одним из	3	5
305	в пределах	5	5
306	подобно тому	3	5
307	с чем	2	4
308	на свою	2	4
309	должен быть	2	4
310	отличие от	7	4
311	во втором	3	4
312	рассматриваться в	3	4
313	числе и	2	4
314	себя и	2	4
315	человеческого я	3	4
316	не могли	2	4
317	теории литературы	2	4
318	таких случаях	2	4
319	всей его	2	4
320	или иную	2	4
321	я в	18	4
322	коем случае	2	4
323	особого рода	7	4
324	в глаза	2	4
325	но на	2	4
326	отношение знака	3	4
327	на котором	2	4
328	xix века	2	4
329	в контексте	3	4
330	говорит и	3	4
331	этой точки	2	4
332	и др	3	4
333	например в	3	4
334	значение знака	2	4
335	с их	2	4
336	в коем	2	4
337	в свою	4	4
338	при всем	2	4
339	в русской	6	4
340	мог бы	3	4
341	человеческих отношений	2	4
342	имеем дело	2	4
343	о ней	3	3
344	одного и	4	3
345	от своего	2	3
346	может и	2	3
347	рассказ о	2	3
348	в душе	9	3
349	времени в	2	3
350	которая в	2	3
351	в отличие	7	3
352	однако все	2	3
353	в первом	2	3
354	известном смысле	2	3
355	и возможность	2	3
356	превращается в	2	3
357	более не	2	3
358	общения людей	3	3
359	художественности и	4	3
360	делает его	2	3
361	столь же	3	3
362	в мировой	2	3
363	представляет собой	13	3
364	о в	2	3
365	я на	3	3
366	со стороны	6	3
367	в романе	3	3
368	для такого	2	3
369	не входит	2	3
370	не столько	7	3
371	с ними	2	3
372	таковы например	2	3
373	жизни то	2	3
374	в первой	6	3
375	и состоит	2	3
376	говорит что	2	3
377	однако если	3	3
378	только лишь	2	3
379	а для	2	3
380	русской литературе	2	3
381	самим собою	2	3
382	всей своей	2	3
383	это отношение	3	3
384	знаков в	2	3
385	речь идет	2	3
386	на этом	2	3
387	произведения искусства	4	3
388	языка в	4	3
389	я и	2	3
390	место в	7	3
391	жизни но	2	3
392	этих двух	2	3
393	ни для	2	3
394	не сама	2	3
395	в системе	2	3
396	я с	5	2
397	между которыми	3	2
398	к действительности	3	2
399	а и	5	2
400	искусства но	4	2
401	и мире	2	2
402	от себя	3	2
403	в момент	3	2
404	его внешней	2	2
405	даже самая	2	2
406	но чтобы	2	2
407	вещами и	2	2
408	о и	2	2
409	в узком	3	2
410	своего рода	11	2
411	виду не	3	2
412	единое целое	2	2
413	к нам	2	2
414	тем в	2	2
415	но во	2	2
416	и вот	3	2
417	в рассказе	2	2
418	каждый такой	2	2
419	но от	2	2
420	от всех	2	2
421	жить и	2	2
422	строго говоря	2	2
423	искусства в	5	2
424	вступает в	2	2
425	жизни как	5	2
426	на почве	5	2
427	со своей	4	2
428	роль в	3	2
429	перед лицом	2	2
430	чем это	2	2
431	на фоне	2	2
432	текст и	3	2
433	однако с	2	2
434	в художественной	3	2
435	не признает	2	2
436	понятие о	3	2
437	существа в	2	2
438	вслед за	3	2
439	по отношению	10	2
440	свою очередь	3	2
441	в произведениях	2	2
442	говоря о	3	2
443	а на	3	2
444	к нашему	2	2
445	право на	2	2
446	для понимания	2	2
447	чем и	2	2
448	что каждый	2	2
449	основе своей	2	2
450	в состав	6	2
451	и некоторые	2	2
452	субъект и	2	2
453	известной степени	3	2
454	обращается к	2	2
455	имеет в	2	2
456	для возникновения	3	2
457	по пути	4	2
458	пушкина что	2	2
459	имеет дело	2	2
460	рода и	2	2
461	в войне	2	2
462	при наличии	2	2
463	либо в	2	2
464	войне и	2	2
465	отношению к	10	2
466	человека к	3	2
467	не с	3	2
468	человека с	3	2
469	не случайно	5	2
470	в роли	3	2
471	слова в	4	2
472	весьма существенно	2	2
473	вопрос что	2	2
474	совпадает с	4	2
475	но их	3	2
476	на основе	2	2
