N	2gram	Propp_Isto	Problema
654	не хватает	2	2
655	человека с	2	2
656	этого дерева	2	2
657	душу а	2	2
658	нет здесь	2	2
659	здесь еще	5	2
660	со своими	3	2
661	в роли	4	2
662	и сейчас	3	2
663	с изображением	2	2
664	с большой	3	2
665	зависит от	4	2
666	человек в	2	2
667	есть на	2	2
668	должны быть	2	2
669	и стал	2	2
670	имеется у	3	2
671	не имели	3	2
672	этого не	2	2
673	то его	2	2
674	землю и	2	2
675	него и	6	2
676	можно проследить	4	2
