N	2gram	Propp_Russ	formyVre
215	и о	4	4
216	как он	2	4
217	как у	2	4
218	в одно	2	4
219	мы здесь	2	4
220	в один	2	4
221	его от	2	4
222	они были	2	4
223	к вопросу	2	4
224	мы наблюдаем	2	4
225	и те	3	4
226	для них	5	4
227	а затем	5	4
228	связаны с	6	4
229	он был	2	4
230	из самых	2	4
231	быть и	3	4
232	в данном	7	4
233	в глаза	3	4
234	у нас	11	4
235	в фольклоре	3	4
236	по всему	2	4
237	или на	11	4
238	и более	3	4
239	этом случае	9	4
240	в своих	3	4
241	по всем	3	4
242	их и	3	4
243	несмотря на	4	4
244	к жизни	3	4
245	природы и	3	4
246	на смерть	2	4
247	во всем	2	4
248	в нашем	2	4
249	все в	2	4
250	чем в	4	4
251	вопрос о	4	3
252	как можно	3	3
253	которые в	2	3
254	его к	3	3
255	в тех	5	3
256	вплоть до	4	3
257	а на	8	3
258	не будем	5	3
259	что здесь	4	3
260	или с	4	3
261	всякого рода	3	3
262	как это	11	3
263	как уже	6	3
264	тому что	4	3
265	она не	4	3
266	в более	2	3
267	далее в	2	3
268	что на	5	3
269	но это	5	3
270	не столько	3	3
271	на землю	2	3
272	же как	5	3
273	сюда же	2	3
274	на этом	6	3
275	силу и	2	3
276	в двух	2	3
277	и так	2	3
278	одна из	12	3
279	но она	3	3
280	нет в	2	3
281	и еще	2	3
282	к ней	4	3
283	в прошлом	2	3
284	из нее	2	3
285	борьбы с	2	3
286	в таких	3	3
287	и здесь	3	3
288	к другу	2	3
289	народа в	2	3
290	мы увидим	8	3
291	в первый	5	3
292	в заключение	2	3
293	на земле	3	3
294	нет но	2	3
295	как на	2	3
296	его и	2	3
297	в течение	7	3
298	нас в	2	3
299	что есть	2	3
300	по своему	2	3
301	через него	2	3
302	можно говорить	2	3
303	их не	2	3
304	в свою	3	3
305	в день	12	3
306	главным образом	5	3
307	находится в	3	3
308	друг к	2	3
309	к другому	2	3
310	не к	3	3
311	данном случае	8	2
312	под землей	3	2
313	начиная с	4	2
314	или даже	3	2
315	ее и	2	2
316	на себя	4	2
317	и поэтому	3	2
318	каждый из	3	2
319	если в	3	2
320	в каждом	2	2
321	виду что	2	2
322	он так	2	2
323	свою очередь	2	2
324	между прочим	2	2
325	он же	4	2
326	вера в	2	2
327	должен быть	2	2
328	того в	3	2
329	после этого	6	2
330	на место	2	2
331	п в	25	2
332	образом в	2	2
333	значит что	2	2
334	от них	4	2
335	в стороне	2	2
336	к нему	3	2
337	бросается в	3	2
338	они и	2	2
339	они становятся	2	2
340	а мы	2	2
341	и непосредственно	2	2
342	его жизнь	2	2
343	в русском	4	2
344	существенного значения	3	2
345	по этому	4	2
346	на них	4	2
347	такие же	4	2
348	и некоторые	3	2
349	и пр	4	2
350	и дело	2	2
351	и всей	2	2
352	связь между	2	2
353	этому вопросу	2	2
354	до того	3	2
355	на другой	2	2
356	этого слова	3	2
357	половине xix	2	2
358	обрядов и	3	2
359	в честь	5	2
360	этого момента	3	2
361	мы видели	3	2
362	или не	2	2
363	тут же	2	2
364	когда мы	2	2
365	то и	4	2
366	его с	4	2
367	ее на	3	2
368	этой же	2	2
369	его как	2	2
370	другой день	2	2
371	животных и	4	2
372	также в	5	2
373	обычно в	2	2
374	в дом	10	2
375	как они	2	2
376	в землю	8	2
377	в xix	13	2
378	как по	2	2
379	для нас	12	2
380	когда они	2	2
381	но если	2	2
382	не можем	5	2
383	ее к	2	2
384	должны были	3	2
385	этот не	2	2
386	за пределами	2	2
387	что у	3	2
388	с собой	4	2
389	этот вопрос	4	2
390	там же	15	2
391	тогда когда	4	2
392	еще в	6	2
393	которые как	2	2
394	он видел	2	2
395	так называемый	2	2
396	и всех	2	2
397	в разные	4	2
398	говорить о	2	2
399	не совсем	6	2
400	как только	2	2
401	день и	2	2
402	и после	2	2
403	представление о	5	2
404	необходимо указать	2	2
405	и сами	2	2
406	части и	2	2
