N	2gram	Bakhtin_fo	Formalny
113	и здесь	2	12
114	к тому	6	12
115	отношению к	5	12
116	и для	12	12
117	оно не	3	12
118	уже не	5	12
119	никогда не	8	11
120	этом отношении	5	11
121	литературы в	3	11
122	в корне	2	11
123	они не	4	11
124	в реальном	2	11
125	в основе	9	11
126	так сказать	14	11
127	в большинстве	3	11
128	но не	9	11
129	слова и	4	11
130	что они	3	11
131	для него	5	11
132	не о	2	10
133	не как	2	10
134	его целом	2	10
135	друг друга	3	10
136	здесь и	3	10
137	и др	13	10
138	формы и	4	10
139	дело идет	2	10
140	мы не	4	10
141	не было	8	10
142	в дальнейшем	10	10
143	по существу	17	10
144	мы видели	2	10
145	с ее	7	10
146	не является	4	10
147	и как	12	10
148	большинстве случаев	2	10
149	раз и	3	10
150	конечно не	7	10
151	он не	6	10
152	на фоне	3	10
153	тем же	3	10
154	быть и	4	9
155	ничего не	9	9
156	совсем не	4	9
157	здесь не	5	9
158	и до	7	9
159	и может	2	9
160	в каждом	2	9
161	менее всего	2	9
162	и даже	5	9
163	у нас	2	9
164	не могло	5	9
165	от всех	2	9
166	еще более	7	9
167	в свою	2	9
168	отношения к	7	9
169	это не	8	8
170	в других	9	8
171	была бы	2	8
172	между собой	5	8
173	до сих	4	8
174	одной стороны	3	8
175	и те	4	8
176	в них	11	8
177	с одной	5	8
178	же как	2	8
179	с этим	11	8
180	в данном	4	8
181	всех этих	9	8
182	сих пор	4	8
183	и должно	2	8
184	и является	2	8
185	всего этого	3	8
186	должен быть	2	8
187	и к	4	8
188	роль в	12	8
189	для того	12	8
190	на литературу	2	8
191	и речи	6	8
192	на основе	5	8
193	ясно что	2	8
194	следовательно и	3	7
195	том что	7	7
196	в себе	7	7
197	в одной	2	7
198	как их	2	7
199	смысла и	2	7
200	его от	3	7
201	стороны и	2	7
202	во втором	2	7
203	не входит	2	7
204	в сущности	5	7
205	не на	4	7
206	значение и	7	7
207	в литературу	3	7
208	сказать что	4	7
209	к этому	5	7
210	время в	7	7
211	в особенности	15	7
212	жизни в	11	7
213	и наконец	6	7
214	и только	3	7
215	и более	3	7
216	но все	6	7
217	сами по	2	7
218	единства и	2	7
219	только и	5	7
220	за счет	2	7
221	из них	8	7
222	в той	5	7
223	мы увидим	2	7
224	же и	2	7
225	от этого	4	7
226	данном случае	2	6
227	в которой	3	6
228	в конце	11	6
229	отношение к	5	6
230	на этом	2	6
231	и других	5	6
232	у них	4	6
233	в частности	11	6
234	так в	2	6
235	его и	2	6
236	и это	5	6
237	в этих	6	6
238	те же	5	6
239	один из	5	6
240	он был	2	6
241	этого слова	2	6
242	должны быть	2	6
243	ее в	2	6
244	его с	2	6
245	из этих	5	6
246	особенно в	3	6
247	кроме того	7	6
248	но для	2	6
249	жизнь и	4	6
250	нет и	4	6
251	например в	7	6
252	о том	4	6
253	по преимуществу	4	6
254	их в	6	6
255	в смысле	5	6
256	уже в	5	6
257	как она	3	6
258	в плоскости	2	6
259	с ним	5	6
260	той же	2	6
261	в широком	3	5
262	ни была	2	5
263	мы должны	2	5
264	время и	4	5
265	все более	2	5
266	виду что	2	5
267	в виду	5	5
268	а как	3	5
269	связь между	2	5
270	в основном	12	5
271	мы уже	17	5
272	отличие от	3	5
273	всего в	4	5
274	очень характерно	2	5
275	характерно что	5	5
276	одной из	3	5
277	в него	2	5
278	с необходимостью	2	5
279	а только	2	5
280	видения и	4	5
281	в отличие	3	5
282	не могла	2	5
283	что не	3	5
284	в значительной	3	5
285	и самый	3	5
286	и по	5	5
287	даже не	2	5
288	можно сказать	2	5
289	хотя и	5	5
290	да и	4	5
291	и то	5	5
292	в эпоху	5	5
293	то в	2	5
294	не столько	2	5
295	в мире	4	5
296	по аналогии	2	5
297	и эта	2	5
298	в роман	6	5
299	борьба с	3	5
300	мы можем	2	5
301	значение в	5	5
302	с этой	3	5
303	в условиях	8	5
304	для нас	2	5
305	не имеет	5	5
306	отчасти и	4	5
307	подхода к	3	5
308	в самой	3	5
309	в котором	8	5
310	в отношении	5	5
311	этом романе	2	5
312	он становится	2	5
313	равно как	4	5
314	правда в	2	5
315	же в	6	5
316	как на	2	5
317	друг другу	4	5
318	в нашем	3	5
319	однако не	2	5
320	вопрос о	2	5
321	последнем счете	3	4
322	и следовательно	5	4
323	наконец в	2	4
324	он должен	2	4
325	как он	4	4
326	оно было	3	4
327	тогда когда	2	4
328	влияние на	6	4
329	в романе	40	4
330	на котором	2	4
331	не являются	3	4
332	они были	4	4
333	в основу	3	4
334	и тех	2	4
335	идет о	2	4
336	между двумя	6	4
337	того же	9	4
338	бы она	2	4
339	здесь в	6	4
340	или в	3	4
341	самого начала	3	4
342	и во	13	4
343	был бы	3	4
344	во всей	3	4
345	с самого	3	4
346	этот процесс	5	4
347	имеет место	6	4
348	одна из	3	4
349	нет в	2	4
350	тех же	2	4
351	более и	2	4
352	место и	3	4
353	она ни	3	4
354	к ней	2	4
355	громадное значение	5	4
356	целый ряд	2	4
357	нам важно	2	4
358	та же	4	4
359	в таком	4	4
360	и другие	6	4
361	в последнем	3	4
362	на протяжении	3	4
363	не к	2	4
364	романа в	7	4
365	и этим	2	4
366	же что	3	4
367	ее целом	2	4
368	не для	3	4
369	к другому	2	4
370	в некоторых	4	4
371	между этими	4	4
372	что было	6	4
373	является не	2	4
374	но эта	5	4
375	это время	8	4
376	все в	3	4
377	исторического процесса	2	4
378	мы и	4	4
379	вполне понятно	4	4
380	все они	4	3
381	во все	4	3
382	быть конечно	2	3
383	каждый из	2	3
384	или иной	4	3
385	новых форм	2	3
386	для всех	3	3
387	какова бы	2	3
388	том как	2	3
389	в каком	2	3
390	одну из	2	3
391	есть только	2	3
392	их к	3	3
393	на один	2	3
394	в европейском	2	3
395	очень важная	4	3
396	вступает в	2	3
397	вследствие этого	4	3
398	так что	4	3
399	со всеми	4	3
400	неотделимо от	2	3
401	но конечно	3	3
402	с другом	5	3
403	в точном	3	3
404	точка зрения	4	3
405	в различных	2	3
406	широком смысле	3	3
407	что на	3	3
408	xviii века	3	3
409	и вне	3	3
410	и своей	2	3
411	и совершенно	3	3
412	смысле слова	4	3
413	мы видим	4	3
414	числе и	4	3
415	на развитие	5	3
416	к своему	2	3
417	было в	2	3
418	в качестве	6	3
419	это значит	3	3
420	тот же	4	3
421	и иные	2	3
422	если они	2	3
423	можно только	2	3
424	время не	2	3
425	лежит в	2	3
426	быть только	4	3
427	тем более	4	3
428	дело в	3	3
429	это то	2	3
430	в новое	4	3
431	этими двумя	3	3
432	всех сторон	2	3
433	в это	5	3
434	это было	2	3
435	поэтому и	4	3
436	в данной	2	3
437	время оно	2	3
438	и тот	2	3
439	друг с	5	3
440	во всем	3	3
441	том числе	7	3
442	на первый	2	3
443	мира в	6	3
444	на материале	3	3
445	в чем	3	3
446	этот образ	2	3
447	в форме	5	3
448	одновременно с	2	3
449	сюжета и	2	3
450	вообще не	4	3
451	где она	2	3
452	явления и	2	3
453	строгом смысле	2	3
454	значения в	2	3
455	в которых	4	3
456	вещей и	7	3
457	видение и	2	3
458	значение для	3	3
459	сказать в	2	3
460	романа и	4	3
461	места в	2	3
462	в одном	10	3
463	и прежде	4	3
464	не боится	2	3
465	со своей	3	3
466	влияния на	2	3
467	внимание на	2	3
468	можно назвать	2	3
469	ту же	4	3
470	с их	2	3
471	же самое	2	3
472	первый план	2	3
473	но оно	2	3
474	но они	3	3
475	часто и	3	3
476	но он	4	3
477	человека в	22	2
478	во времени	6	2
479	и почти	2	2
480	борьба и	2	2
481	в определенном	3	2
482	и принципиально	2	2
483	о чем	4	2
484	эти формы	2	2
485	человека и	15	2
486	этого романа	6	2
487	связанных с	3	2
488	в другом	2	2
489	не был	2	2
490	есть не	4	2
491	того в	2	2
492	форма в	3	2
493	этих форм	5	2
494	ведь это	2	2
495	каково же	2	2
496	не могли	3	2
497	авантюрного романа	4	2
498	с нею	2	2
499	друг от	2	2
500	от различных	2	2
501	и та	2	2
502	совершенно безразлично	2	2
503	в какой-то	4	2
504	не знает	4	2
505	со всех	2	2
506	все стороны	3	2
507	характер и	8	2
508	к ним	3	2
509	происходит в	2	2
510	особенности в	2	2
511	к вопросу	2	2
512	всем этим	4	2
513	и смысл	2	2
514	в более	2	2
515	только к	3	2
516	ему в	3	2
517	мира и	6	2
518	мы имеем	2	2
519	о различных	2	2
520	искусстве и	4	2
521	значит что	2	2
522	этого целого	2	2
523	по этому	2	2
524	здесь же	2	2
525	не касаемся	2	2
526	они сами	2	2
527	его на	3	2
528	слагаются в	2	2
529	за свой	2	2
530	находится в	3	2
531	сюда же	2	2
532	сами же	2	2
533	никто не	2	2
534	моменты в	2	2
535	жизни с	2	2
536	вопрос об	2	2
537	но она	2	2
538	все то	2	2
539	или не	2	2
540	исторического времени	7	2
541	и нет	2	2
542	одно и	4	2
543	с этими	2	2
544	ее к	2	2
545	в строгом	2	2
546	необходимо чтобы	2	2
547	указать на	2	2
548	связаны с	3	2
549	лишь что	2	2
550	себя в	2	2
551	в чистой	2	2
552	из нее	2	2
553	в этот	5	2
554	той или	3	2
555	явления в	2	2
556	прежде чем	3	2
557	и самое	5	2
558	как если	2	2
559	и вот	2	2
560	романе и	7	2
561	на земле	2	2
562	совершенно иной	3	2
563	в философии	2	2
564	героя и	7	2
565	здесь имеет	2	2
566	времени и	10	2
567	как у	2	2
568	ни к	3	2
569	было и	4	2
570	здесь все	2	2
571	лучше всего	2	2
572	содержание романа	2	2
573	связан с	2	2
574	ни с	3	2
575	и так	2	2
576	конечно и	5	2
577	мы еще	5	2
578	далеко не	3	2
579	всей его	2	2
580	автора и	4	2
581	правда не	2	2
582	особое место	2	2
583	их не	2	2
584	бы совершенно	2	2
585	жизни но	7	2
586	строго говоря	2	2
587	от друга	2	2
588	жизни не	3	2
589	только один	2	2
590	имеем в	3	2
591	во многом	2	2
592	выражение в	3	2
593	их и	3	2
594	характерно для	2	2
595	что мы	2	2
596	для других	7	2
597	начинается с	2	2
598	все что	2	2
599	в ряду	2	2
600	и того	7	2
601	иной раз	2	2
602	распадается на	2	2
603	слагается из	2	2
604	и явления	2	2
605	и есть	3	2
606	одних и	2	2
607	дело здесь	2	2
608	и становится	2	2
609	момент в	2	2
610	к реальному	3	2
611	и определяется	2	2
612	чем в	3	2
