N	2gram	Tiupa_Vved	KulturaY
204	и более	5	7
205	есть в	2	7
206	на этот	2	7
207	столь же	3	7
208	в котором	11	7
209	с ним	3	7
210	в одном	5	7
211	внимание на	4	7
212	сводится к	6	7
213	в слове	4	7
214	даже в	3	6
215	перед нами	13	6
216	слов в	2	6
217	данном случае	15	6
218	о них	4	6
219	в себе	15	6
220	роль в	2	6
221	это только	3	6
222	не всегда	2	6
223	этого не	2	6
224	отличие от	11	6
225	на себя	5	6
226	в отличие	11	6
227	не столько	5	6
228	в соответствии	8	6
229	когда в	2	6
230	той или	5	6
231	не на	3	6
232	как будто	6	6
233	по поводу	5	6
234	дело не	2	6
235	мы не	6	6
236	или в	3	6
237	же время	4	6
238	не с	4	6
239	оно не	2	6
240	соответствии с	8	6
241	приводит к	2	6
242	могли бы	3	6
243	в сфере	7	6
244	на основе	2	6
245	никогда не	6	5
246	смысл который	2	5
247	в конечном	2	5
248	к его	5	5
249	и к	2	5
250	а на	4	5
251	к себе	2	5
252	в другом	2	5
253	в конце	3	5
254	и у	2	5
255	здесь как	2	5
256	в современной	7	5
257	имеет смысл	2	5
258	или менее	2	5
259	же касается	2	5
260	по своему	3	5
261	более или	2	5
262	так в	5	5
263	всего лишь	7	5
264	и от	3	5
265	и он	4	5
266	не как	2	5
267	и даже	3	5
268	могло бы	4	5
269	у него	8	5
270	на протяжении	2	5
271	отношение к	5	5
272	то он	2	5
273	о котором	5	5
274	еще более	2	5
275	или иначе	2	5
276	говорить и	2	5
277	и того	3	5
278	точка зрения	3	5
279	и только	2	5
280	быть не	4	5
281	не о	2	4
282	через посредство	2	4
283	все они	2	4
284	к одному	2	4
285	о которых	2	4
286	о чем	4	4
287	собственно и	2	4
288	к которому	2	4
289	а лишь	3	4
290	с языком	2	4
291	точку зрения	2	4
292	связано с	3	4
293	так например	2	4
294	и все	8	4
295	к нему	2	4
296	это уже	2	4
297	мог бы	2	4
298	во втором	4	4
299	одного из	3	4
300	однако в	9	4
301	свидетельствует о	5	4
302	которое в	4	4
303	аналогии с	2	4
304	иначе говоря	8	4
305	здесь мы	2	4
306	эти слова	2	4
307	для обозначения	2	4
308	как известно	2	4
309	могла бы	3	4
310	в году	2	4
311	ли это	2	4
312	однако и	3	4
313	конечном счете	2	4
314	в данной	2	4
315	и по	3	4
316	мы можем	2	4
317	бы не	3	4
318	не к	4	4
319	что для	2	4
320	постановка вопроса	2	4
321	а то	2	4
322	будто бы	3	4
323	и это	2	4
324	но на	2	4
325	в ряду	2	4
326	но он	2	4
327	мы и	2	4
328	подчеркнуть что	5	4
329	не мог	2	4
330	еще один	3	3
331	слова но	2	3
332	том как	4	3
333	наряду с	2	3
334	противном случае	2	3
335	который в	5	3
336	вместо того	2	3
337	от себя	2	3
338	в романе	6	3
339	смысловом отношении	2	3
340	от них	2	3
341	в него	2	3
342	но так	2	3
343	в контексте	4	3
344	на него	3	3
345	она была	2	3
346	к ним	4	3
347	с того	3	3
348	представить себе	2	3
349	на его	2	3
350	в начале	3	3
351	именно к	2	3
352	во время	3	3
353	если в	3	3
354	но она	2	3
355	тогда как	16	3
356	по аналогии	4	3
357	по мере	2	3
358	по своим	3	3
359	так называемой	2	3
360	одним из	5	3
361	как у	3	3
362	не по	4	3
363	она может	2	3
364	быть только	2	3
365	не могло	2	3
366	при отсутствии	3	3
367	для него	5	3
368	что у	4	3
369	все что	3	3
370	заметить что	2	3
371	со своей	4	3
372	раз и	2	3
373	к жизни	2	3
374	с их	2	3
375	в противном	2	3
376	или даже	2	3
377	и сами	2	3
378	в противовес	4	3
379	в ходе	3	2
380	начиная с	3	2
381	надо полагать	2	2
382	в одной	2	2
383	такова что	3	2
384	для которого	4	2
385	и через	2	2
386	нам о	2	2
387	оттого что	2	2
388	у них	3	2
389	в принципе	3	2
390	быть и	2	2
391	друг от	2	2
392	к своему	2	2
393	и составляет	3	2
394	и др	2	2
395	в разных	2	2
396	следует подчеркнуть	5	2
397	речевой практики	2	2
398	указывает на	2	2
399	по природе	2	2
400	которая в	3	2
401	как оно	2	2
402	ответ на	2	2
403	них как	2	2
404	для них	3	2
405	жизни и	8	2
406	было в	2	2
407	без исключения	2	2
408	по большей	4	2
409	могут служить	3	2
410	вслед за	3	2
411	большей части	4	2
412	в особых	2	2
413	одна из	5	2
414	исключительно в	3	2
415	не до	3	2
416	в строгом	2	2
417	у нее	4	2
418	которые не	2	2
419	еще до	2	2
420	имеет место	6	2
421	дело с	4	2
422	как правило	6	2
423	которая не	2	2
424	природе своей	2	2
425	и понимания	3	2
426	должен был	2	2
427	не является	7	2
428	от их	2	2
429	где в	3	2
430	ведет к	2	2
431	но они	3	2
432	не должен	2	2
433	он является	2	2
434	едва ли	4	2
435	в жизни	7	2
436	в литературе	2	2
437	точек зрения	2	2
438	зависит от	3	2
439	человек в	4	2
440	от друга	2	2
441	именно эта	2	2
442	видно что	2	2
443	всякий раз	2	2
444	он и	2	2
445	не можем	2	2
446	тому как	3	2
447	в случае	4	2
448	нас нет	2	2
449	в период	2	2
450	и после	2	2
451	это время	2	2
452	этих случаях	2	2
