N	2gram	Propp_Russ	KulturaY
210	оно не	2	6
211	приводит к	4	6
212	главным образом	5	6
213	что именно	3	6
214	и к	3	5
215	мы должны	3	5
216	а на	8	5
217	не будем	5	5
218	в форме	3	5
219	нам право	2	5
220	но если	2	5
221	в иных	2	5
222	и у	5	5
223	и при	2	5
224	которые можно	2	5
225	так что	4	5
226	по своему	2	5
227	на которых	2	5
228	так в	5	5
229	также что	2	5
230	в двух	2	5
231	интерес к	2	5
232	и от	2	5
233	и еще	2	5
234	всех этих	2	5
235	переход от	3	5
236	как не	2	5
237	кроме того	3	5
238	у него	2	5
239	нас в	2	5
240	очень много	2	5
241	но что	2	5
242	и их	4	5
243	связь между	2	5
244	чем в	4	5
245	его в	9	4
246	о чем	7	4
247	в каждом	2	4
248	сразу же	2	4
249	или же	2	4
250	в виде	10	4
251	связано с	3	4
252	подойти к	2	4
253	увидим что	2	4
254	одно из	6	4
255	так например	7	4
256	и все	4	4
257	к нему	3	4
258	е на	2	4
259	в различных	3	4
260	а а	33	4
261	которое в	2	4
262	же как	5	4
263	на все	3	4
264	здесь мы	3	4
265	для обозначения	2	4
266	как известно	2	4
267	представление о	5	4
268	в году	5	4
269	сюда же	2	4
270	как можно	3	4
271	и по	10	4
272	мы можем	2	4
273	мы увидим	8	4
274	как они	2	4
275	такой же	3	4
276	не к	3	4
277	что для	4	4
278	будто бы	10	4
279	связанные с	5	4
280	и это	2	4
281	из которых	2	4
282	из них	12	4
283	до того	3	4
284	в стороне	2	4
285	не более	2	4
286	он есть	2	4
287	как только	2	4
288	но он	3	4
289	чем можно	2	3
290	следовательно и	2	3
291	в память	2	3
292	и непосредственно	2	3
293	и следовательно	2	3
294	чаще всего	3	3
295	в настоящее	3	3
296	каждый из	3	3
297	в это	4	3
298	во многих	14	3
299	иное как	3	3
300	что здесь	4	3
301	с той	2	3
302	в россии	4	3
303	который в	2	3
304	это на	2	3
305	и другие	24	3
306	том же	6	3
307	так называемая	2	3
308	в одно	2	3
309	можно рассматривать	2	3
310	с таким	2	3
311	на место	2	3
312	образом в	2	3
313	его и	2	3
314	от них	4	3
315	в него	2	3
316	в свете	5	3
317	для этой	3	3
318	случаях когда	2	3
319	к ним	4	3
320	мы наблюдаем	2	3
321	в более	2	3
322	предположить что	5	3
323	тех случаях	2	3
324	ряда других	2	3
325	настоящее время	3	3
326	к слову	3	3
327	большинстве случаев	2	3
328	на них	4	3
329	и под	4	3
330	что от	4	3
331	иметь в	2	3
332	и дело	2	3
333	во время	23	3
334	значение и	2	3
335	из самых	2	3
336	в дальнейшем	2	3
337	значение в	2	3
338	также не	2	3
339	показывает что	9	3
340	если в	3	3
341	но она	3	3
342	тогда как	4	3
343	этой же	2	3
344	по происхождению	3	3
345	то время	3	3
346	из своих	2	3
347	также в	5	3
348	же значение	2	3
349	в первый	5	3
350	так называемой	3	3
351	та же	4	3
352	в других	24	3
353	одним из	2	3
354	как у	2	3
355	в целях	4	3
356	но даже	2	3
357	только с	2	3
358	что есть	2	3
359	на западе	2	3
360	из ряда	2	3
361	почти целиком	2	3
362	так называемое	2	3
363	можно встретить	2	3
364	этой цели	2	3
365	что у	3	3
366	все что	2	3
367	в большинстве	2	3
368	себя внимание	2	3
369	заметить что	3	3
370	и действительно	2	3
371	так чтобы	2	3
372	к жизни	3	3
373	в противном	2	3
374	в некоторых	11	3
375	или даже	3	3
376	таким же	4	3
377	и сами	2	3
378	начиная с	4	2
379	но можно	2	2
380	возможно что	2	2
381	показывают что	3	2
382	только у	2	2
383	с целью	2	2
384	и через	2	2
385	связанных с	2	2
386	в глаза	3	2
387	не что	3	2
388	не был	3	2
389	у них	2	2
390	есть и	2	2
391	но есть	3	2
392	того в	3	2
393	быть и	3	2
394	вся эта	2	2
395	в основном	4	2
396	он должен	2	2
397	можно установить	2	2
398	нас к	5	2
399	можно будет	3	2
400	в москве	4	2
401	что иное	3	2
402	и др	4	2
403	в руки	2	2
404	в разных	3	2
405	такие же	4	2
406	если угодно	2	2
407	он пишет	2	2
408	что этот	4	2
409	далее в	2	2
410	ответ на	2	2
411	и те	3	2
412	них как	2	2
413	на некоторые	2	2
414	в эти	4	2
415	по этому	4	2
416	же не	2	2
417	за счет	2	2
418	к другому	2	2
419	для них	5	2
420	его от	2	2
421	разница между	2	2
422	думать что	3	2
423	находится в	3	2
424	и до	3	2
425	какие же	2	2
426	почему именно	2	2
427	прав когда	2	2
428	ее в	7	2
429	например на	2	2
430	с этого	7	2
431	одна из	12	2
432	на тех	2	2
433	нет в	2	2
434	но эти	3	2
435	с другими	3	2
436	в круг	3	2
437	и н	2	2
438	рассматриваться как	2	2
439	его как	2	2
440	которые не	3	2
441	и там	2	2
442	еще до	2	2
443	от другого	2	2
444	имеет место	3	2
445	борьбы с	2	2
446	как правило	4	2
447	видел в	2	2
448	ее от	2	2
449	к тем	4	2
450	после чего	4	2
451	должен был	3	2
452	по его	2	2
453	не является	2	2
454	отличаются от	2	2
455	ничего общего	3	2
456	когда они	2	2
457	не означает	2	2
458	но они	4	2
459	н а	5	2
460	ко времени	3	2
461	в жизни	2	2
462	и так	2	2
463	этот не	2	2
464	и а	4	2
465	много и	3	2
466	их не	2	2
467	имело место	2	2
468	этому же	3	2
469	на которой	2	2
470	в день	12	2
471	основана на	2	2
472	воспоминания о	2	2
473	видно что	8	2
474	увидим ниже	3	2
475	не можем	5	2
476	их по	3	2
477	тому как	3	2
478	к числу	2	2
479	в период	2	2
480	во всем	2	2
481	из основных	2	2
482	и после	2	2
483	это время	4	2
484	все в	2	2
485	тем и	4	2
