N	2gram	Propp_Russ	Analitik
307	образом в	2	2
308	так например	7	2
309	от них	4	2
310	за руки	7	2
311	в прошлом	2	2
312	тот кто	2	2
313	тому что	4	2
314	на этой	3	2
315	только с	2	2
316	собой и	2	2
317	тех случаях	2	2
318	что этот	4	2
319	между прочим	2	2
320	в одиночку	2	2
321	по этому	4	2
322	на все	3	2
323	и др	4	2
324	там где	3	2
325	что с	2	2
326	и дело	2	2
327	и другими	3	2
328	здесь мы	3	2
329	во всей	2	2
330	для обозначения	2	2
331	по существу	7	2
332	но эта	2	2
333	мы видим	2	2
334	этого момента	3	2
335	с этого	7	2
336	что это	4	2
337	или не	2	2
338	совершенно очевидно	2	2
339	т е	41	2
340	во многих	14	2
341	там и	2	2
342	не будем	5	2
343	то и	4	2
344	церкви и	3	2
345	а на	8	2
346	в окно	2	2
347	при изучении	6	2
348	думать что	3	2
349	мы можем	2	2
350	в глаза	3	2
351	значение в	2	2
352	видел в	2	2
353	на первый	3	2
354	та же	4	2
355	должен был	3	2
356	по домам	6	2
357	судя по	2	2
358	у нас	11	2
359	в течение	7	2
360	не означает	2	2
361	но они	4	2
362	но если	2	2
363	случаях когда	2	2
364	за ним	3	2
365	представления об	2	2
366	не имеет	9	2
367	связаны с	6	2
368	в дальнейшем	2	2
369	в церковь	2	2
370	их в	7	2
371	к ним	4	2
372	что при	2	2
373	этот вопрос	4	2
374	значения и	2	2
375	многих отношениях	2	2
376	и м	22	2
377	не можем	5	2
378	к другому	2	2
379	и п	28	2
380	не просто	3	2
381	к тем	4	2
382	на природу	2	2
383	и сами	2	2
384	в форме	3	2
385	не оставляет	2	2
386	связь между	2	2
