N	2gram	Losev_Prob	Russkaja
158	и по	3	3
159	связи с	8	3
160	еще не	18	3
161	в виде	20	3
162	того что	18	3
163	в качестве	3	3
164	что они	5	3
165	не было	7	3
166	и ни	7	3
167	собой и	3	3
168	и т	13	3
169	что может	4	3
170	мы говорили	5	3
171	тем что	10	3
172	а следовательно	2	3
173	то в	6	3
174	не о	7	2
175	и о	11	2
176	и должно	2	2
177	даже если	4	2
178	и от	3	2
179	чтобы понять	3	2
180	но она	3	2
181	с этим	7	2
182	в таких	5	2
183	мы указали	2	2
184	есть и	4	2
185	тем самым	11	2
186	были бы	2	2
187	или иного	6	2
188	и те	2	2
189	следовательно и	3	2
190	ее в	2	2
191	для себя	9	2
192	тому что	6	2
193	к нему	5	2
194	указывает на	16	2
195	на этой	4	2
196	помнить что	3	2
197	она не	5	2
198	только с	3	2
199	но в	19	2
200	того или	8	2
201	ни в	13	2
202	в котором	5	2
203	что такое	23	2
204	так же	12	2
205	их в	6	2
206	на себя	2	2
207	на почве	2	2
208	сама по	6	2
209	это в	3	2
210	в настоящее	17	2
211	однако отнюдь	2	2
212	ни от	2	2
213	даже и	18	2
214	больше чем	2	2
215	на эту	2	2
216	уже не	9	2
217	не существуют	3	2
218	собой все	2	2
219	этот вопрос	2	2
220	в результате	6	2
221	но для	3	2
222	но даже	3	2
223	с самим	3	2
224	даже не	3	2
225	настоящее время	17	2
226	отличается от	2	2
227	если не	6	2
228	естественно что	2	2
229	в силу	2	2
230	и даже	19	2
231	а не	21	2
232	и тот	2	2
233	для нас	11	2
234	по этому	6	2
235	по себе	20	2
236	мы можем	8	2
237	не можем	2	2
238	нисколько не	3	2
239	точно так	7	2
240	речь идет	2	2
241	место в	2	2
242	бы его	3	2
243	говорили в	2	2
244	в других	5	2
245	и тем	16	2
246	по самому	3	2
247	и является	9	2
248	другом случае	2	2
249	и что	21	2
250	но это	11	2
251	что с	2	2
252	это только	4	2
253	все эти	15	2
254	совершенно не	7	2
255	только для	3	2
256	и наконец	3	2
257	самому своему	2	2
258	и тогда	2	2
259	является не	4	2
260	не просто	30	2
261	в этих	7	2
262	только на	13	2
263	в частности	5	2
264	значительной мере	2	2
265	в таком	18	2
266	и есть	7	2
267	так что	12	2
268	как будто	6	2
269	друг другу	2	2
270	именно на	3	2
271	во многих	4	2
272	должна быть	2	2
273	отношения к	2	2
274	в области	8	2
275	если же	4	2
276	этой борьбы	2	2
277	всем этим	3	2
278	от нас	6	2
279	это есть	10	2
280	с ним	4	2
281	быть и	5	2
282	мы уже	8	2
283	и более	4	2
284	ясно что	7	2
