N	2gram	Tiupa_Lite	Vvedenie
115	этом отношении	5	4
116	еще не	4	4
117	по крайней	2	4
118	отношению к	4	4
119	речь в	2	4
120	в чем	2	4
121	отличие от	6	4
122	в отличие	6	4
123	с одной	9	4
124	к тому	3	4
125	одной из	2	4
126	из наиболее	2	4
127	не имеет	2	4
128	так или	8	4
129	в тексте	9	4
130	даже и	2	4
131	в одном	2	4
132	из них	5	4
133	или иначе	9	4
134	в себе	8	4
135	с точки	4	4
136	крайней мере	2	4
137	в своей	5	4
138	как раз	6	4
139	той же	5	4
140	однако не	2	4
141	так называемых	2	4
142	никогда не	5	3
143	до конца	3	3
144	одна из	8	3
145	в отношении	2	3
146	на нее	2	3
147	или иной	3	3
148	в своем	12	3
149	а также	5	3
150	в начале	4	3
151	для этого	5	3
152	к этому	2	3
153	не как	4	3
154	в другом	3	3
155	в конце	6	3
156	во второй	2	3
157	о литературе	2	3
158	в принципе	7	3
159	в сущности	5	3
160	и вот	2	3
161	в этих	2	3
162	в силу	4	3
163	только на	3	3
164	в частности	18	3
165	как в	5	3
166	такого рода	18	3
167	духовной жизни	4	3
168	не с	2	3
169	со всей	2	3
170	на том	3	3
171	и на	5	3
172	того же	5	3
173	или иных	2	3
174	за собой	2	3
175	в ней	4	3
176	в конечном	9	3
177	на этом	3	3
178	однако в	7	3
179	из которых	3	3
180	то это	2	3
181	по этому	2	3
182	своего рода	22	3
183	нуждается в	3	3
184	от себя	2	3
185	тех или	2	3
186	же как	3	3
187	и того	2	3
188	при этом	23	3
189	он сам	2	3
190	все эти	2	3
191	связи с	7	3
192	и есть	3	3
193	и сам	6	3
194	как будто	2	3
195	в этой	7	3
196	в слове	3	3
197	и других	4	3
198	ничего не	3	2
199	как сказано	2	2
200	у нас	5	2
201	в каждой	2	2
202	из того	3	2
203	во всех	4	2
204	однако с	2	2
205	но как	3	2
206	же это	3	2
207	с чем	3	2
208	для нее	2	2
209	тем более	2	2
210	и ранее	2	2
211	при всей	5	2
212	этой точки	3	2
213	каждый из	4	2
214	время не	2	2
215	в соответствии	2	2
216	как совокупность	3	2
217	сам же	2	2
218	нашего времени	2	2
219	говоря уже	3	2
220	в связи	4	2
221	подобно тому	4	2
222	казалось бы	6	2
223	том же	3	2
224	него в	2	2
225	а с	2	2
226	свою очередь	2	2
227	этого не	2	2
228	в формах	4	2
229	так и	7	2
230	без остатка	3	2
231	к своему	2	2
232	отношении к	2	2
233	от других	2	2
234	и др	4	2
235	не бывает	2	2
236	искусства и	6	2
237	есть лишь	2	2
238	но уже	2	2
239	целом ряде	2	2
240	это уже	2	2
241	на то	2	2
242	о которой	2	2
243	состоит в	18	2
244	а если	2	2
245	в своих	5	2
246	себе и	2	2
247	пока не	2	2
248	в свою	2	2
249	и с	4	2
250	жизни как	3	2
251	не говоря	3	2
252	соответствии с	3	2
253	но это	2	2
254	он и	5	2
255	не столько	8	2
256	от языка	2	2
257	тому как	4	2
258	речь идет	3	2
259	себя в	7	2
260	несмотря на	3	2
261	для них	2	2
262	жизни и	6	2
263	а затем	3	2
264	не было	5	2
265	по тем	2	2
266	нового типа	2	2
267	тогда как	20	2
268	мы не	5	2
269	на рубеже	4	2
270	нами не	2	2
271	должна быть	3	2
272	не мог	3	2
273	из таких	2	2
274	например в	3	2
275	не к	3	2
276	из его	2	2
277	по существу	4	2
278	во втором	3	2
279	но зато	2	2
