N	2gram	Tiupa_Vved	Problemy
139	одним из	5	8
140	и о	4	8
141	того что	7	8
142	здесь не	2	8
143	несмотря на	2	8
144	с ними	2	8
145	не на	3	8
146	должна быть	3	8
147	и от	3	8
148	что это	2	8
149	и он	4	8
150	с их	2	8
151	в результате	5	8
152	о том	7	8
153	и у	2	8
154	не о	2	7
155	в этих	5	7
156	в их	2	7
157	к своему	2	7
158	от себя	2	7
159	точку зрения	2	7
160	в виду	3	7
161	и др	2	7
162	только на	2	7
163	мира и	5	7
164	не входит	2	7
165	героя с	2	7
166	что они	2	7
167	и ее	2	7
168	все равно	2	7
169	например в	2	7
170	в жизни	7	7
171	его с	2	7
172	что она	2	7
173	во всех	2	7
174	на этот	2	7
175	но на	2	7
176	не было	5	7
177	как его	2	7
178	идет о	3	6
179	как он	2	6
180	отличие от	11	6
181	а с	4	6
182	не менее	4	6
183	рассказ в	4	6
184	на его	2	6
185	у тургенева	2	6
186	себя в	4	6
187	и во	2	6
188	во время	3	6
189	и здесь	2	6
190	одна из	5	6
191	для этого	2	6
192	в начале	3	6
193	можно было	2	6
194	и вот	3	6
195	в отличие	11	6
196	и только	2	6
197	в этой	2	6
198	на то	3	6
199	в своих	5	6
200	в которых	2	6
201	и внутренне	2	6
202	жизни и	8	6
203	в основе	6	6
204	на фоне	3	6
205	не мог	2	6
206	в речь	2	6
207	слов в	2	5
208	или иной	5	5
209	к которому	2	5
210	но именно	3	5
211	слова но	2	5
212	здесь мы	2	5
213	по своему	3	5
214	но так	2	5
215	тому что	2	5
216	они не	3	5
217	на себя	5	5
218	в чем	2	5
219	однако в	9	5
220	один из	3	5
221	мы не	6	5
222	той или	5	5
223	рассказчика и	3	5
224	в авторском	2	5
225	те же	2	5
226	но при	7	5
227	обращено к	2	5
228	то есть	13	5
229	мира в	8	5
230	по своим	3	5
231	в речи	3	5
232	совершенно не	2	5
233	на протяжении	2	5
234	с человеком	2	5
235	подобно тому	3	5
236	тому же	6	5
237	не могу	2	5
238	тому как	3	5
239	высшей степени	2	5
240	в высшей	2	5
241	быть и	2	5
242	в ней	5	5
243	вместе с	2	5
244	и понимания	3	4
245	тем не	3	4
246	стороны и	4	4
247	в направлении	2	4
248	и слова	2	4
249	при всей	3	4
250	или менее	2	4
251	мы видели	3	4
252	от них	2	4
253	сознания не	2	4
254	в точке	4	4
255	а то	2	4
256	более или	2	4
257	тоже не	2	4
258	по мере	2	4
259	связи с	2	4
260	в первом	3	4
261	без исключения	2	4
262	эти слова	2	4
263	то и	2	4
264	в литературе	2	4
265	особенно в	3	4
266	появляется в	2	4
267	с ее	3	4
268	автора в	5	4
269	об этом	5	4
270	бы не	3	4
271	этом отношении	7	4
272	времени и	7	4
273	вследствие этого	5	4
274	в рассказе	15	4
275	друг на	2	4
276	то он	2	4
277	в едином	3	4
278	также и	6	4
279	что такое	23	4
280	все что	3	4
281	еще более	2	4
282	установкой на	2	4
283	оно не	2	4
284	не есть	2	4
285	а лишь	3	4
286	еще в	3	4
287	на друга	2	4
288	мы и	2	4
289	данном случае	15	3
290	или даже	2	3
291	во времени	2	3
292	бытия в	3	3
293	о чем	4	3
294	в приведенном	2	3
295	всеми своими	2	3
296	по своей	4	3
297	герой и	3	3
298	этого не	2	3
299	а его	3	3
300	своего рода	20	3
301	могли бы	3	3
302	может служить	4	3
303	и само	2	3
304	так в	5	3
305	что на	4	3
306	между собой	2	3
307	как образ	2	3
308	того чтобы	2	3
309	нести в	2	3
310	именно к	2	3
311	между двумя	5	3
312	и по	3	3
313	же в	3	3
314	можно сказать	6	3
315	еще один	3	3
316	обращается к	2	3
317	в сознании	5	3
318	в данном	22	3
319	из этих	5	3
320	а к	3	3
321	говорить о	5	3
322	мог бы	2	3
323	все они	2	3
324	не является	7	3
325	она в	2	3
326	и есть	2	3
327	у нас	4	3
328	но они	3	3
329	мы можем	2	3
330	не с	4	3
331	он является	2	3
332	на нее	2	3
333	есть в	2	3
334	человек в	4	3
335	о них	4	3
336	сводится к	6	3
337	в таком	2	3
338	нового времени	5	3
339	будто бы	3	3
340	однако не	2	3
341	и сами	2	3
342	в художественной	2	2
343	еще и	2	2
344	мира не	2	2
345	и чужого	2	2
346	указывает на	2	2
347	она может	2	2
348	в ответ	2	2
349	как для	3	2
350	но она	2	2
351	к этому	3	2
352	должны были	3	2
353	с героями	2	2
354	должен быть	3	2
355	не всегда	2	2
356	от своего	2	2
357	здесь как	2	2
358	свою очередь	5	2
359	для героя	2	2
360	друг от	2	2
361	или напротив	3	2
362	а во	2	2
363	в настоящем	2	2
364	своей жизни	3	2
365	же касается	2	2
366	к различным	3	2
367	в особенности	3	2
368	в контексте	4	2
369	она была	2	2
370	это уже	2	2
371	слово это	2	2
372	заметить что	2	2
373	теперь же	2	2
374	по природе	2	2
375	которая в	3	2
376	ответ на	2	2
377	в значительной	2	2
378	отнюдь не	14	2
379	для них	3	2
380	столько в	2	2
381	в аспекте	3	2
382	этот раз	3	2
383	сохраняется и	3	2
384	этих случаях	2	2
385	этом не	2	2
386	к его	5	2
387	без его	2	2
388	в рамках	5	2
389	или не	3	2
390	значительной степени	2	2
391	к которой	2	2
392	ли это	2	2
393	не все	2	2
394	еще до	2	2
395	в этот	3	2
396	было в	2	2
397	стало быть	10	2
398	целый ряд	2	2
399	от друга	2	2
400	или точнее	2	2
401	в качестве	18	2
402	а именно	3	2
403	для нас	4	2
404	не столько	5	2
405	в центре	4	2
406	всех его	2	2
407	было и	2	2
408	не могло	2	2
409	сюжета в	2	2
410	с одной	9	2
411	в какой	4	2
412	всего на	2	2
413	у которого	2	2
414	не имеет	3	2
415	всей своей	4	2
416	за пределами	3	2
417	всей его	2	2
418	не к	4	2
419	в нашем	9	2
420	что для	2	2
421	столь же	3	2
422	пока еще	6	2
423	жизни не	2	2
424	в свою	5	2
425	личной жизни	2	2
426	роль в	2	2
427	в категориях	2	2
428	важно не	2	2
429	и того	3	2
430	ведь эти	2	2
431	из него	2	2
432	начала и	2	2
433	не следует	3	2
434	же самое	2	2
435	быть не	4	2
436	что касается	5	2
437	во втором	4	2
