N	2gram	Vinokur_Ku	Literetu
182	в сущности	11	5
183	в связи	4	5
184	мы с	3	5
185	хотя бы	19	5
186	должно быть	6	5
187	тем не	10	5
188	в силу	16	5
189	как у	2	5
190	не с	4	5
191	том чтобы	9	5
192	но уже	6	5
193	в себя	2	5
194	в нашем	8	5
195	и если	4	5
196	к жизни	2	5
197	быть не	2	5
198	но с	2	5
199	однако не	9	5
200	в свою	4	4
201	очевидно что	4	4
202	себе и	3	4
203	для нас	6	4
204	нуждается в	5	4
205	не является	2	4
206	только для	3	4
207	как к	2	4
208	за собой	2	4
209	не всегда	4	4
210	здесь как	3	4
211	не надо	4	4
212	к своему	2	4
213	в г	3	4
214	с тем	5	4
215	общего с	2	4
216	и все	4	4
217	на том	4	4
218	на его	3	4
219	могли бы	4	4
220	ту же	6	4
221	а потому	6	4
222	могут быть	5	4
223	в них	10	4
224	аналогии с	3	4
225	хотя и	7	4
226	как мы	2	4
227	во всяком	8	4
228	тех же	2	4
229	то это	3	4
230	но это	4	4
231	к этому	4	4
232	сводится к	3	4
233	и вот	4	4
234	для того	23	4
235	совершенно не	4	4
236	что его	2	4
237	в пределах	8	4
238	можно сказать	6	4
239	на то	6	4
240	этом в	2	4
241	приводит к	3	4
242	на этом	4	4
243	в сторону	2	4
244	свое место	2	4
245	свидетельствует о	3	4
246	этой книге	3	4
247	вовсе не	18	4
248	и что	11	4
249	то ни	2	4
250	что было	2	4
251	таким образом	17	4
252	и есть	3	4
253	не мог	2	4
254	отношения к	2	4
255	на самом	3	3
256	вопрос о	11	3
257	в иных	3	3
258	ничего не	6	3
259	в действительности	2	3
260	и потому	6	3
261	в москве	2	3
262	исторической жизни	2	3
263	так же	8	3
264	различие между	2	3
265	но как	2	3
266	о чем	2	3
267	по себе	10	3
268	тех пор	2	3
269	крайней мере	11	3
270	этого рода	6	3
271	в отношении	2	3
272	именно так	2	3
273	не раз	3	3
274	отношение к	2	3
275	и а	2	3
276	за счет	2	3
277	есть не	2	3
278	нет в	2	3
279	в первом	3	3
280	от слова	3	3
281	том же	3	3
282	этого не	5	3
283	т п	39	3
284	а на	3	3
285	например не	2	3
286	а с	3	3
287	себе в	3	3
288	о нем	2	3
289	и о	3	3
290	духовной культуры	2	3
291	они не	4	3
292	но только	5	3
293	что же	11	3
294	речь идет	4	3
295	там где	7	3
296	же как	3	3
297	того чтобы	25	3
298	все эти	17	3
299	и тогда	4	3
300	не на	4	3
301	в истории	3	3
302	свою очередь	4	3
303	должна быть	6	3
304	по большей	2	3
305	и т	62	3
306	и еще	4	3
307	тот же	7	3
308	ее в	2	3
309	да и	5	3
310	еще один	3	3
311	относится к	3	3
312	если в	2	3
313	и от	2	3
314	во многих	3	3
315	есть наиболее	2	3
316	как например	3	3
317	только то	2	3
318	же это	2	3
319	можно было	14	3
320	бы и	6	3
321	не так	2	3
322	дело в	2	3
323	с их	3	3
324	и вовсе	7	3
325	если бы	21	3
326	превращается в	4	3
327	также и	7	3
328	в особенности	6	3
329	был бы	4	3
330	большей части	2	3
331	в этих	5	3
332	все равно	4	3
333	по крайней	11	3
334	речь в	7	3
335	в какой	7	3
336	что для	3	3
337	не имеет	6	3
338	и является	4	3
339	этой цели	2	3
340	а то	2	3
341	в чем	2	3
342	что такое	8	3
343	когда он	4	3
344	не есть	4	3
345	если не	4	3
346	из которых	3	3
347	всяком случае	8	3
348	и того	2	3
349	мы в	3	3
350	здесь не	5	3
351	и уже	2	3
352	говорить о	5	3
353	не просто	7	3
354	после чего	2	3
355	ничего общего	2	3
356	же и	4	3
357	с ним	5	3
358	свое время	4	2
359	перед нами	4	2
360	не для	2	2
361	у достоевского	2	2
362	к свету	2	2
363	если б	2	2
364	мой взгляд	2	2
365	еще раз	2	2
366	который по	2	2
367	такова что	2	2
368	и где	2	2
369	не был	2	2
370	и у	3	2
371	должен быть	8	2
372	роль в	6	2
373	это и	6	2
374	подобного рода	4	2
375	на долю	3	2
376	и при	3	2
377	то для	2	2
378	чтобы в	2	2
379	то она	2	2
380	была бы	5	2
381	льва толстого	2	2
382	своего времени	2	2
383	быть в	2	2
384	в такой	2	2
385	в свое	4	2
386	нужно было	3	2
387	так например	3	2
388	бы на	4	2
389	языка который	3	2
390	что касается	4	2
391	тому что	3	2
392	со словом	3	2
393	в общем	4	2
394	гораздо более	6	2
395	а только	10	2
396	а если	5	2
397	своей собственной	3	2
398	даже и	5	2
399	и без	2	2
400	состоит не	2	2
401	что на	2	2
402	тогда когда	7	2
403	ответ на	2	2
404	же касается	4	2
405	в русском	14	2
406	и говорит	2	2
407	виду не	2	2
408	для них	2	2
409	переходит в	2	2
410	с ними	6	2
411	сюда же	3	2
412	и по	4	2
413	дело не	4	2
414	что они	5	2
415	революции и	2	2
416	и более	3	2
417	этом случае	4	2
418	только как	3	2
419	уже и	3	2
420	может и	2	2
421	так называемых	3	2
422	здесь мы	2	2
423	в значении	2	2
424	сказать что	5	2
425	по поводу	2	2
426	политики в	3	2
427	всего что	2	2
428	никак не	5	2
429	и мы	2	2
430	бы в	8	2
431	в нашей	4	2
432	в результате	8	2
433	время в	2	2
434	из этих	5	2
435	так сказать	5	2
436	не знаю	2	2
437	тем более	2	2
438	однако и	2	2
439	на это	3	2
440	в это	3	2
441	на мой	2	2
442	себя самого	2	2
443	в последнем	2	2
444	иначе говоря	2	2
445	в первый	2	2
446	в статье	3	2
447	для этой	2	2
448	это всего	2	2
449	между собою	3	2
450	в контексте	2	2
451	но даже	3	2
452	быть только	3	2
453	за рамки	3	2
454	в живом	2	2
455	чуть ли	3	2
456	есть в	6	2
457	есть лишь	3	2
458	что у	3	2
459	в котором	4	2
460	слова в	7	2
461	как с	2	2
462	оно не	5	2
463	в большинстве	3	2
464	на почве	2	2
465	и было	3	2
466	которое в	2	2
467	внимание на	5	2
468	в той	6	2
469	языка в	14	2
470	данный момент	3	2
471	но еще	4	2
472	в таком	3	2
473	на эту	2	2
474	в совершенно	2	2
475	целом и	2	2
476	мы имеем	11	2
477	на основе	2	2
478	но он	2	2
479	но зато	2	2
