N	2gram	Potebnia_M	Mirosoze
156	к чему	2	6
157	и более	4	6
158	что у	4	6
159	на то	6	6
160	и здесь	3	6
161	есть прежде	2	6
162	в которых	5	6
163	не к	4	6
164	и если	4	5
165	оно не	7	5
166	природы в	3	5
167	в то	16	5
168	в их	2	5
169	так и	17	5
170	от этого	2	5
171	связано с	2	5
172	мысли о	6	5
173	в более	4	5
174	как у	2	5
175	и вместе	6	5
176	должны быть	3	5
177	и я	3	5
178	до того	5	5
179	сказать что	8	5
180	тот же	2	5
181	во всяком	4	5
182	да и	2	5
183	в человеческой	3	5
184	одно из	6	5
185	и мы	3	5
186	с этим	12	5
187	мысли и	8	5
188	и как	8	5
189	бы в	3	5
190	еще не	9	5
191	из глубины	2	5
192	сих пор	4	5
193	после того	2	5
194	то он	2	5
195	думать что	6	5
196	до сих	4	5
197	той же	6	5
198	способен к	2	4
199	по отношению	12	4
200	как о	3	4
201	в каждом	6	4
202	от того	10	4
203	он должен	2	4
204	не всегда	5	4
205	так что	14	4
206	в такой	2	4
207	есть в	6	4
208	в разных	4	4
209	к другому	3	4
210	а с	4	4
211	по своему	2	4
212	в чем	6	4
213	одна и	2	4
214	тому что	6	4
215	место в	4	4
216	и тот	5	4
217	человеческой жизни	3	4
218	могут быть	6	4
219	тогда когда	20	4
220	в начале	3	4
221	мы видим	3	4
222	и до	2	4
223	и тогда	4	4
224	что они	2	4
225	в истории	2	4
226	себе в	2	4
227	никто не	5	4
228	не все	5	4
229	вряд ли	4	4
230	не от	3	4
231	его с	3	4
232	значит что	2	4
233	сознания и	2	4
234	человека а	2	4
235	оно есть	4	4
236	и даже	3	4
237	и по	5	4
238	стало быть	4	4
239	на деле	8	4
240	ни в	2	4
241	заключает в	10	4
242	и их	4	4
243	и только	5	4
244	все равно	5	4
245	мы не	17	4
246	отношению к	10	4
247	человек может	2	4
248	нас в	3	4
249	от его	2	4
250	время как	3	4
251	мысль что	4	4
252	но на	2	4
253	в той	2	4
254	в своих	2	4
255	и что	13	4
256	то время	7	4
257	в свой	2	3
258	к его	2	3
259	с любовью	2	3
260	жизни не	3	3
261	есть одно	2	3
262	и сама	2	3
263	в состоянии	5	3
264	сознание и	5	3
265	для себя	3	3
266	давно уже	4	3
267	одним из	3	3
268	эта мысль	2	3
269	с которым	3	3
270	и тем	8	3
271	и быть	3	3
272	все же	3	3
273	идеи и	2	3
274	одной и	6	3
275	одно только	3	3
276	мы должны	6	3
277	все его	2	3
278	что же	3	3
279	между тем	19	3
280	что оно	12	3
281	и та	5	3
282	на его	4	3
283	было для	3	3
284	души и	2	3
285	когда в	2	3
286	с себя	2	3
287	эти слова	2	3
288	с таким	3	3
289	хотя и	3	3
290	и то	13	3
291	не принадлежит	2	3
292	значительной степени	2	3
293	а к	4	3
294	на человека	2	3
295	и эта	2	3
296	то это	9	3
297	в душе	17	3
298	к этому	3	3
299	быть назван	3	3
300	конечно не	2	3
301	об этом	4	3
302	мысль о	12	3
303	находится в	5	3
304	и той	4	3
305	я и	3	3
306	и самое	3	3
307	превращается в	3	3
308	а от	2	3
309	для нас	40	3
310	но этот	2	3
311	из него	4	3
312	не с	4	3
313	есть выражение	3	3
314	с другим	2	3
315	он может	2	3
316	только один	3	3
317	входит в	3	3
318	в одном	4	3
319	ко всем	5	3
320	со своей	2	3
321	тому как	6	3
322	всяком случае	3	3
323	нет ни	2	3
324	человека то	2	3
325	и после	2	3
326	душевной жизни	10	2
327	на самом	4	2
328	в каком	8	2
329	все более	2	2
330	как ее	2	2
331	к одному	7	2
332	в действительности	7	2
333	его к	2	2
334	если в	2	2
335	жизни к	2	2
336	есть только	9	2
337	отношений между	2	2
338	не потому	2	2
339	для сознания	5	2
340	со своим	2	2
341	этого не	3	2
342	а как	2	2
343	и других	3	2
344	от своего	2	2
345	света и	2	2
346	к своему	3	2
347	под ним	2	2
348	во многих	3	2
349	самом деле	5	2
350	тем как	4	2
351	была бы	5	2
352	связанная с	3	2
353	смысле этого	9	2
354	нужно было	2	2
355	другого в	2	2
356	от них	4	2
357	может в	2	2
358	только потому	8	2
359	на которую	2	2
360	не менее	9	2
361	же мало	2	2
362	того же	5	2
363	тем самым	11	2
364	могли бы	3	2
365	к самому	2	2
366	и человеческой	2	2
367	ему в	2	2
368	и без	9	2
369	а потому	8	2
370	на той	2	2
371	между ними	4	2
372	не столько	2	2
373	с которой	2	2
374	образа и	6	2
375	есть еще	4	2
376	не были	4	2
377	то не	3	2
378	связи с	6	2
379	или от	4	2
380	в основании	2	2
381	в сущности	3	2
382	во время	4	2
383	столь же	8	2
384	этого слова	14	2
385	их в	3	2
386	между двумя	5	2
387	относится к	6	2
388	есть то	3	2
389	что если	5	2
390	когда мы	4	2
391	себе а	4	2
392	происходит в	2	2
393	бы быть	3	2
394	его как	3	2
395	это было	3	2
396	еще до	3	2
397	этом отношении	2	2
398	переход от	3	2
399	в глаза	2	2
400	которая не	2	2
401	в мысли	3	2
402	целый ряд	2	2
403	и мысли	2	2
404	находятся в	3	2
405	подобно тому	3	2
406	жизни то	2	2
407	только для	3	2
408	ее в	2	2
409	и идеал	2	2
410	почему не	2	2
411	смысле в	3	2
412	и о	6	2
413	мысли не	5	2
414	ли она	4	2
415	в какой	3	2
416	образа в	4	2
417	но нет	2	2
418	уже на	2	2
419	что без	2	2
420	быть не	4	2
421	человека с	2	2
422	к нам	2	2
423	с другой	8	2
424	прежде чем	2	2
425	что такое	2	2
426	в смысле	4	2
427	что я	5	2
428	из себя	3	2
429	если не	6	2
430	том смысле	6	2
431	что мы	16	2
432	по себе	26	2
433	же что	8	2
434	которое было	2	2
435	сам по	9	2
436	что эта	3	2
437	бы ни	6	2
438	существует для	4	2
439	к тем	4	2
440	человека только	2	2
441	есть акт	2	2
442	но эта	3	2
443	такой степени	5	2
444	на свою	2	2
445	все свои	2	2
