N	2gram	Losev_Vesc	EvropaiC
274	на себе	5	2
275	я в	3	2
276	ту же	2	2
277	во втором	2	2
278	в своих	3	2
279	в свою	5	2
280	этот вопрос	6	2
281	о них	4	2
282	что на	2	2
283	одной стороны	3	2
284	но для	2	2
285	но на	2	2
286	между прочим	4	2
287	к такому	2	2
288	на этом	4	2
289	между ними	6	2
290	отнюдь не	8	2
291	если он	3	2
292	на такой	2	2
293	только не	5	2
294	можно ли	7	2
295	что же	17	2
296	так чтобы	4	2
297	совершенно ясно	2	2
298	всяком случае	2	2
299	жизни и	6	2
300	а затем	2	2
301	сводится к	4	2
302	с ними	4	2
303	от нее	2	2
304	во всяком	4	2
305	и уже	2	2
306	на более	2	2
307	говорить о	9	2
308	то с	3	2
309	себя и	8	2
310	и его	4	2
311	в сущности	7	2
312	же время	4	2
313	из предыдущего	2	2
314	и только	11	2
315	а следовательно	4	2
316	с ее	10	2
317	и сам	3	2
318	и более	4	2
319	что эти	2	2
320	в себя	13	2
321	о которой	3	2
322	но с	2	2
323	только один	3	2
324	той же	2	2
325	я не	7	2
326	для всякого	6	2
327	вовсе не	11	2
328	в а	3	2
329	в основе	4	2
330	почти все	2	2
331	тем же	2	2
