N	2gram	Potebnia_M	Mirosoze
108	человека не	2	8
109	за пределы	4	8
110	тем что	15	8
111	для того	8	8
112	что есть	3	8
113	о том	6	8
114	и с	3	8
115	уже в	5	8
116	нем есть	2	7
117	те же	4	7
118	она есть	3	7
119	как он	5	7
120	но если	4	7
121	должен быть	2	7
122	в народе	2	7
123	что все	4	7
124	мог бы	5	7
125	точки зрения	8	7
126	себя и	3	7
127	что она	3	7
128	на этом	3	7
129	что человек	6	7
130	в жизни	5	7
131	не существует	2	7
132	в нашем	2	7
133	все в	2	7
134	от нее	6	7
135	отношения к	2	7
136	во всем	5	7
137	чем в	2	7
138	чтобы не	3	6
139	его в	3	6
140	не как	4	6
141	у человека	2	6
142	на все	5	6
143	увидим что	4	6
144	в ее	2	6
145	и человек	3	6
146	его на	3	6
147	его не	3	6
148	того как	12	6
149	самого себя	4	6
150	и от	5	6
151	что это	5	6
152	к ней	3	6
153	если бы	23	6
154	бы не	11	6
155	с этой	3	6
156	по своей	2	6
157	и более	3	6
158	что у	2	6
159	на то	5	6
160	есть свобода	2	6
161	в которых	2	6
162	и если	6	5
163	есть явление	5	5
164	оно не	4	5
165	природы в	2	5
166	в то	6	5
167	к которому	5	5
168	в их	3	5
169	так и	17	5
170	от этого	2	5
171	человек есть	2	5
172	мысли о	6	5
173	в более	4	5
174	и вместе	5	5
175	не для	2	5
176	должны быть	11	5
177	до того	2	5
178	сказать что	5	5
179	тот же	5	5
180	во всяком	9	5
181	в человеческой	3	5
182	одно из	5	5
183	с этим	11	5
184	к новому	2	5
185	вопроса о	2	5
186	которые не	5	5
187	мысли и	9	5
188	и как	11	5
189	бы в	6	5
190	мы увидим	3	5
191	для этого	2	5
192	еще не	9	5
193	как будто	2	5
194	из глубины	2	5
195	сих пор	5	5
196	после того	3	5
197	то он	2	5
198	думать что	6	5
199	до сих	5	5
200	той же	3	5
201	же есть	2	4
202	по отношению	15	4
203	в каждом	6	4
204	иное как	2	4
205	не что	2	4
206	в пути	2	4
207	не знали	2	4
208	от того	9	4
209	он должен	2	4
210	не всегда	2	4
211	так что	23	4
212	что иное	2	4
213	в такой	2	4
214	духовной жизни	2	4
215	есть в	4	4
216	в разных	2	4
217	к другому	2	4
218	в чем	6	4
219	тому что	4	4
220	к этой	3	4
221	место в	3	4
222	себе и	2	4
223	могут быть	17	4
224	тогда когда	15	4
225	в движении	2	4
226	для них	2	4
227	не была	2	4
228	в начале	2	4
229	мы видим	5	4
230	все эти	3	4
231	и тогда	2	4
232	народа и	2	4
233	что они	6	4
234	в истории	8	4
235	себе в	2	4
236	никто не	3	4
237	не все	3	4
238	вряд ли	2	4
239	не от	4	4
240	его с	3	4
241	народной жизни	2	4
242	сознания и	2	4
243	и даже	4	4
244	и по	8	4
245	стало быть	6	4
246	на деле	6	4
247	ни в	2	4
248	заключает в	6	4
249	и их	6	4
250	и только	6	4
251	народного духа	2	4
252	мы не	17	4
253	отношению к	13	4
254	человек может	2	4
255	нас в	2	4
256	время как	2	4
257	ни с	2	4
258	мысль что	6	4
259	еще более	2	4
260	но на	3	4
261	в своих	4	4
262	и что	13	4
263	то время	3	4
264	на природу	3	4
265	были бы	4	3
266	к этим	2	3
267	в состоянии	5	3
268	и поэтому	2	3
269	должны были	2	3
270	для себя	4	3
271	не достигает	2	3
272	давно уже	2	3
273	одним из	2	3
274	эта мысль	3	3
275	и тем	5	3
276	но она	3	3
277	все же	11	3
278	она может	3	3
279	одной и	4	3
280	людьми и	2	3
281	мы должны	4	3
282	на том	2	3
283	все его	2	3
284	что же	3	3
285	даже и	4	3
286	между тем	7	3
287	в виду	2	3
288	что оно	5	3
289	души и	9	3
290	когда в	3	3
291	движения в	3	3
292	с таким	3	3
293	хотя и	6	3
294	в строении	3	3
295	и то	4	3
296	что свобода	2	3
297	значительной степени	3	3
298	бытия и	3	3
299	то это	8	3
300	в противоположность	2	3
301	в душе	28	3
302	к этому	3	3
303	и самого	2	3
304	что нет	2	3
305	мысль о	8	3
306	находится в	2	3
307	как не	4	3
308	и той	4	3
309	и самое	3	3
310	и человеческого	2	3
311	превращается в	2	3
312	а от	2	3
313	ничего кроме	2	3
314	для нас	29	3
315	из него	3	3
316	во всех	12	3
317	не с	2	3
318	на этот	2	3
319	в самых	2	3
320	с другим	3	3
321	он может	2	3
322	только один	3	3
323	есть всегда	2	3
324	нем самом	6	3
325	их и	2	3
326	в одном	13	3
327	ко всем	4	3
328	тому как	8	3
329	всяком случае	7	3
330	и всегда	3	3
331	себя а	2	3
332	что дух	2	3
333	и должно	2	3
334	но с	3	3
335	что природа	2	2
336	душевной жизни	15	2
337	на самом	2	2
338	в каком	7	2
339	все более	3	2
340	и кто	2	2
341	к одному	3	2
342	в действительности	6	2
343	его к	3	2
344	если в	3	2
345	различие между	2	2
346	не имеют	7	2
347	нисколько не	2	2
348	есть только	16	2
349	отношений между	5	2
350	не потому	2	2
351	человеку но	2	2
352	на что	3	2
353	боль и	3	2
354	то все	6	2
355	нас на	2	2
356	для сознания	2	2
357	этого не	2	2
358	а как	3	2
359	и других	6	2
360	необходимости и	2	2
361	от своего	2	2
362	света и	3	2
363	после этого	2	2
364	во многих	5	2
365	самом деле	2	2
366	тем как	3	2
367	была бы	3	2
368	смысле этого	3	2
369	его от	2	2
370	нужно было	3	2
371	от них	2	2
372	не находит	2	2
373	только потому	4	2
374	на которую	3	2
375	не менее	10	2
376	же мало	2	2
377	свет и	5	2
378	того же	13	2
379	тем самым	6	2
380	могли бы	4	2
381	никакого другого	2	2
382	и без	4	2
383	а потому	14	2
384	лишь по	2	2
385	между ними	2	2
386	не столько	3	2
387	же не	2	2
388	не были	2	2
389	то не	5	2
390	связи с	6	2
391	в основании	3	2
392	в сущности	2	2
393	во время	5	2
394	столь же	6	2
395	этого слова	5	2
396	и они	2	2
397	как для	2	2
398	необходимости в	2	2
399	их в	2	2
400	относится к	5	2
401	с которыми	3	2
402	не могли	2	2
403	что если	7	2
404	когда мы	4	2
405	то в	6	2
406	более и	2	2
407	его мысль	2	2
408	бы быть	7	2
409	это было	3	2
410	другим и	3	2
411	потому только	2	2
412	переход от	2	2
413	в мысли	13	2
414	про себя	2	2
415	обнаруживается в	2	2
416	находятся в	3	2
417	подобно тому	7	2
418	сознания в	2	2
419	только для	7	2
420	смысле в	5	2
421	и о	3	2
422	не по	4	2
423	этот мир	2	2
424	в какой	2	2
425	что без	2	2
426	быть не	7	2
427	к нам	3	2
428	дух человеческий	3	2
429	с другой	13	2
430	прежде чем	4	2
431	их не	2	2
432	другу и	2	2
433	что такое	3	2
434	в смысле	4	2
435	что я	2	2
436	во втором	6	2
437	из себя	6	2
438	если не	5	2
439	том смысле	7	2
440	что за	3	2
441	что мы	11	2
442	по себе	24	2
443	выйти из	2	2
444	же что	2	2
445	природу и	2	2
446	сам по	5	2
447	и уже	6	2
448	что во	4	2
449	бы ни	8	2
450	и весь	3	2
451	такой степени	2	2
