N	2gram	Nazirov_Tv	Marksizm
104	отношении к	2	9
105	и более	2	9
106	ни в	2	9
107	точка зрения	2	9
108	перед нами	3	8
109	в их	5	8
110	мы знаем	2	8
111	с этим	2	8
112	тому что	2	8
113	настоящее время	2	8
114	что не	5	8
115	не будет	2	8
116	что и	3	8
117	другой стороны	2	8
118	мысли и	5	8
119	и даже	8	8
120	и их	2	8
121	у нас	2	8
122	в свою	8	8
123	и с	9	8
124	столь же	2	8
125	не было	3	8
126	сводится к	2	8
127	у него	11	8
128	до конца	2	7
129	от него	2	7
130	свою очередь	2	7
131	того что	3	7
132	по себе	2	7
133	место в	6	7
134	могут быть	4	7
135	с ними	3	7
136	в качестве	2	7
137	в этой	7	7
138	в начале	2	7
139	в этих	2	7
140	далеко не	3	7
141	о том	9	7
142	в котором	8	7
143	не существует	3	7
144	той же	4	7
145	он сам	8	7
146	как раз	2	7
147	не есть	2	6
148	не имеют	4	6
149	то есть	16	6
150	все это	14	6
151	с ее	3	6
152	тот же	3	6
153	по мере	2	6
154	с одной	2	6
155	уже не	6	6
156	этот вопрос	4	6
157	всяком случае	2	6
158	не к	2	6
159	к одному	2	5
160	в конце	5	5
161	и у	3	5
162	в виду	3	5
163	и тем	2	5
164	и вот	2	5
165	то в	2	5
166	xix века	13	5
167	в душе	4	5
168	не менее	8	5
169	или в	2	5
170	был бы	3	5
171	в первом	3	5
172	в двух	2	5
173	хотя и	5	5
174	себя в	3	5
175	все время	3	5
176	этой проблемы	2	5
177	ее в	3	5
178	по преимуществу	4	5
179	связана с	2	5
180	и лишь	2	5
181	жизни в	9	5
182	в целях	2	5
183	она не	2	5
184	но не	7	5
185	значение в	2	5
186	еще более	3	5
187	таком случае	2	5
188	в одном	3	5
189	вместе с	4	5
190	не могут	2	4
191	его к	2	4
192	или даже	2	4
193	нуждается в	2	4
194	в одной	5	4
195	едва ли	2	4
196	влияние на	3	4
197	так что	4	4
198	стремится к	3	4
199	что все	4	4
200	можно сказать	2	4
201	связь с	3	4
202	этой связи	2	4
203	одного из	3	4
204	он ни	3	4
205	и он	4	4
206	и до	2	4
207	он был	2	4
208	что они	3	4
209	во всей	2	4
210	в которой	5	4
211	что она	5	4
212	каких бы	2	4
213	только с	3	4
214	говорит что	2	4
215	переход от	2	4
216	только что	2	4
217	но ведь	2	4
218	одним из	6	4
219	же и	2	4
220	со всеми	3	4
221	не знает	2	4
222	в устах	2	4
223	из них	4	4
224	как она	2	4
225	уже в	5	4
226	подхода к	3	4
227	жизни и	3	4
228	это и	4	4
229	тем что	2	4
230	даже в	4	3
231	все более	2	3
232	не все	2	3
233	но если	4	3
234	как к	2	3
235	роль в	2	3
236	он еще	2	3
237	в году	22	3
238	в виде	4	3
239	в целом	7	3
240	и та	2	3
241	не так	5	3
242	действительности и	3	3
243	как это	2	3
244	мы узнаем	3	3
245	в ту	4	3
246	потому что	10	3
247	по самой	2	3
248	что оно	2	3
249	между собой	2	3
250	и др	2	3
251	мы видим	3	3
252	и по	5	3
253	и тогда	2	3
254	в мир	2	3
255	ли это	2	3
256	в нашей	2	3
257	по нашему	9	3
258	но это	10	3
259	в этот	3	3
260	тем не	2	3
261	человека в	9	3
262	должен был	2	3
263	его и	2	3
264	и о	2	3
265	ни к	2	3
266	на протяжении	3	3
267	на этот	3	3
268	в дальнейшем	7	3
269	со своими	2	3
270	в своих	8	3
271	в русской	5	3
272	когда он	4	3
273	в которых	3	3
274	в диалоге	2	3
275	а по	3	3
276	приводит к	4	3
277	еще в	3	3
278	здесь нет	2	3
279	если он	4	3
280	свидетельствует о	2	3
281	к жизни	4	3
282	князя мышкина	17	3
283	и есть	2	3
284	и только	2	3
285	с ним	4	3
286	и других	5	3
287	тем самым	10	2
288	ее и	2	2
289	из всех	5	2
290	указывает на	2	2
291	так например	3	2
292	крайней мере	4	2
293	и поэтому	2	2
294	в духе	6	2
295	вот в	2	2
296	и необходимости	2	2
297	этот тип	2	2
298	и притом	2	2
299	в философии	2	2
300	ли не	3	2
301	он же	2	2
302	сами по	2	2
303	эта мысль	3	2
304	в современной	2	2
305	в частности	4	2
306	была бы	2	2
307	а с	4	2
308	о нем	2	2
309	является одним	3	2
310	же не	2	2
311	гораздо более	2	2
312	мы наблюдаем	2	2
313	иными словами	2	2
314	не то	2	2
315	на его	4	2
316	у достоевского	51	2
317	в романе	24	2
318	для них	2	2
319	мы понимаем	2	2
320	же как	3	2
321	у тургенева	2	2
322	и мир	3	2
323	что с	2	2
324	второй части	2	2
325	эти слова	3	2
326	данном случае	2	2
327	этот момент	2	2
328	что как	2	2
329	нем и	2	2
330	например в	3	2
331	мышления и	2	2
332	более всего	2	2
333	вся история	3	2
334	в литературе	4	2
335	в первой	4	2
336	образ и	2	2
337	его как	2	2
338	действительности в	2	2
339	было в	2	2
340	но уже	2	2
341	автора в	2	2
342	во второй	3	2
343	превращается в	2	2
344	та же	4	2
345	и наконец	3	2
346	героя и	4	2
347	с этой	4	2
348	во время	2	2
349	и другие	4	2
350	на смену	2	2
351	в чем	4	2
352	не по	3	2
353	что его	4	2
354	но только	3	2
355	по крайней	4	2
356	на него	2	2
357	культуры и	2	2
358	в жизни	3	2
359	говорили о	2	2
360	зависит от	4	2
361	г в	2	2
362	и если	3	2
363	ли с	2	2
364	этого вопроса	2	2
365	школы и	2	2
366	нет ни	3	2
367	и диалектика	2	2
368	тому же	2	2
369	жизни но	2	2
370	ту же	4	2
371	не значит	2	2
372	первой части	7	2
373	своих героев	5	2
374	но он	3	2
