N	2gram	Bakhtin_Pr	Formalny
482	имеет значение	2	3
483	мира в	6	3
484	бы не	3	3
485	сознания в	2	3
486	все те	2	3
487	на материале	6	3
488	в чем	2	3
489	идеологической жизни	2	3
490	в форме	8	3
491	в контексте	2	3
492	стиля и	4	3
493	от характера	3	3
494	она является	2	3
495	становящемуся ряду	2	3
496	где она	2	3
497	поэтому в	2	3
498	он может	4	3
499	во что	2	3
500	сознания и	9	3
501	в самую	2	3
502	в которых	2	3
503	с начала	2	3
504	значение для	2	3
505	самом произведении	2	3
506	романа и	5	3
507	в одном	14	3
508	а именно	4	3
509	и прежде	2	3
510	весь этот	2	3
511	идет не	6	3
512	с их	9	3
513	не об	6	3
514	и особенно	2	3
515	но они	4	3
516	построения романа	5	3
517	не дает	4	3
518	художественного творчества	3	3
519	но он	3	3
520	человека в	8	2
521	лишь одним	2	2
522	с теорией	2	2
523	здесь с	3	2
524	во времени	4	2
525	в каждой	3	2
526	человека и	2	2
527	выйти за	3	2
528	мысли в	2	2
529	важно не	2	2
530	но есть	2	2
531	к более	2	2
532	есть не	3	2
533	не знают	2	2
534	для художественного	2	2
535	не потому	4	2
536	ведь это	3	2
537	не могли	3	2
538	увидеть и	3	2
539	были бы	5	2
540	другого человека	4	2
541	относится и	2	2
542	ни одной	3	2
543	что если	4	2
544	в кругозор	8	2
545	ко всем	2	2
546	друг от	2	2
547	тем как	4	2
548	же мы	2	2
549	не знает	5	2
550	художественного замысла	2	2
551	а с	4	2
552	определение романа	2	2
553	мире а	3	2
554	определяет все	2	2
555	то оно	3	2
556	со всех	2	2
557	все стороны	2	2
558	в последующих	2	2
559	к ним	3	2
560	на первом	2	2
561	на языке	2	2
562	только с	2	2
563	художественного изображения	4	2
564	в точке	5	2
565	всем этим	2	2
566	о мире	6	2
567	ее как	3	2
568	представляется нам	2	2
569	и само	2	2
570	мира и	8	2
571	романа с	2	2
572	или к	2	2
573	мы имеем	2	2
574	этой точки	3	2
575	не совпадает	2	2
576	и несет	2	2
577	однако в	2	2
578	новой формы	3	2
579	по этому	2	2
580	в единство	8	2
581	его на	2	2
582	бы уже	2	2
583	тем или	2	2
584	отметить что	2	2
585	с ними	3	2
586	находится в	2	2
587	у тургенева	2	2
588	заключается в	3	2
589	нужно сказать	2	2
590	бы тот	2	2
591	в чужом	2	2
592	выходит за	2	2
593	из его	4	2
594	быть даже	2	2
595	который в	2	2
596	в первой	3	2
597	жизни а	2	2
598	они никогда	2	2
599	совершенно иное	2	2
600	также не	2	2
601	для самого	2	2
602	отношения между	3	2
603	все то	5	2
604	и мир	4	2
605	или не	2	2
606	и нет	2	2
607	х годов	2	2
608	него самого	3	2
609	же это	2	2
610	подход к	2	2
611	это в	3	2
612	можно было	5	2
613	обычного типа	5	2
614	что она	6	2
615	себя в	5	2
616	в этот	2	2
617	той или	3	2
618	оно ни	2	2
619	нему и	2	2
620	и входит	2	2
621	лишь на	3	2
622	переходит в	2	2
623	в какие	2	2
624	именно и	2	2
625	и самое	4	2
626	и вполне	2	2
627	между отдельными	2	2
628	и вот	4	2
629	как художник	4	2
630	героя и	11	2
631	ее с	3	2
632	именно этот	2	2
633	как у	4	2
634	художественной формы	6	2
635	нами в	5	2
636	несколько подробнее	2	2
637	но только	3	2
638	самый факт	2	2
639	мы остановимся	3	2
640	все равно	3	2
641	именно потому	3	2
642	на этот	2	2
643	конечно и	5	2
644	точке зрения	5	2
645	ведь они	2	2
646	далеко не	3	2
647	всей его	2	2
648	и художественно	3	2
649	целом ряде	3	2
650	автора и	7	2
651	он говорит	3	2
652	вопросов и	2	2
653	от друга	2	2
654	своей книге	2	2
655	особого типа	2	2
656	этот кругозор	2	2
657	только один	2	2
658	имеем в	2	2
659	в другой	4	2
660	у толстого	3	2
661	выражение в	6	2
662	их и	3	2
663	характерно для	2	2
664	что мы	2	2
665	несмотря на	7	2
666	для других	2	2
667	все должно	3	2
668	все что	6	2
669	окружающей действительности	2	2
670	замыкается в	3	2
671	его именно	2	2
672	единство романа	3	2
673	и есть	6	2
674	переходим к	2	2
675	но с	4	2
676	и становится	2	2
677	чем в	3	2
