N	2gram	Vinokur_Vv	Freidism
322	по меньшей	2	2
323	от других	2	2
324	тогда когда	4	2
325	из которых	3	2
326	представляет собой	14	2
327	но как	2	2
328	мог бы	2	2
329	но если	6	2
330	же как	3	2
331	но вместе	2	2
332	и уже	3	2
333	что с	3	2
334	в качестве	8	2
335	только о	2	2
336	не следует	3	2
337	по их	2	2
338	это есть	2	2
339	в первом	5	2
340	же самое	3	2
341	в дальнейшем	2	2
342	если же	2	2
343	не к	2	2
344	рядом с	2	2
345	в работе	3	2
346	на языке	2	2
347	отсюда и	2	2
348	этому времени	2	2
349	будто бы	2	2
350	ясно что	11	2
