N	2gram	Medvedev_V	Narrotol
134	для того	3	5
135	в пределах	5	5
136	их в	7	5
137	именно в	3	5
138	в своих	2	5
139	но для	2	5
140	из них	11	5
141	тому как	3	5
142	в одном	5	5
143	не было	7	5
144	он сам	2	5
145	и сам	2	5
146	даже в	5	4
147	не о	2	4
148	и ее	4	4
149	начиная с	2	4
150	роль в	4	4
151	в виду	4	4
152	как он	3	4
153	в области	2	4
154	в них	5	4
155	тому что	7	4
156	она не	3	4
157	все его	2	4
158	представить себе	2	4
159	войны и	2	4
160	и по	3	4
161	что они	3	4
162	который в	2	4
163	хотя бы	20	4
164	к этому	9	4
165	конечном счете	5	4
166	и как	3	4
167	которая не	2	4
168	человека в	2	4
169	не с	2	4
170	ли не	2	4
171	во сне	21	4
172	зависит от	2	4
173	не вполне	2	4
174	в сфере	2	4
175	по себе	2	4
176	всяком случае	2	4
177	во всяком	2	4
178	вместе с	8	4
179	еще и	2	3
180	и потому	2	3
181	не подлежит	2	3
182	так же	3	3
183	но как	3	3
184	различного рода	4	3
185	должен быть	4	3
186	а как	2	3
187	как известно	2	3
188	в романе	4	3
189	его не	3	3
190	одной из	2	3
191	к ним	2	3
192	ни одного	2	3
193	между ними	3	3
194	что не	3	3
195	а к	2	3
196	же как	2	3
197	иметь в	2	3
198	все эти	8	3
199	связи с	5	3
200	в связи	4	3
201	во время	4	3
202	и т	25	3
203	о его	2	3
204	в зависимости	6	3
205	произведения как	6	3
206	того или	2	3
207	можно было	2	3
208	о своем	2	3
209	что она	2	3
210	в которой	2	3
211	а о	2	3
212	зависимости от	5	3
213	лишь в	2	3
214	бы не	2	3
215	по слову	2	3
216	всех его	2	3
217	сих пор	2	3
218	часто не	2	3
219	приводит к	6	3
220	он и	2	3
221	что мы	2	3
222	только не	2	3
223	говорит о	7	3
224	говорить о	2	3
225	по его	2	3
226	как на	3	3
227	не следует	8	3
228	же самое	2	3
229	персонажей и	2	3
230	подчеркнуть что	2	3
231	до сих	2	3
232	очевидно что	7	2
233	вот как	4	2
234	из рассказа	2	2
235	в которых	3	2
236	даже не	2	2
237	же о	2	2
238	или менее	6	2
239	лица и	2	2
240	в их	5	2
241	достоевского и	2	2
242	после этого	2	2
243	т п	9	2
244	утверждает что	3	2
245	на основании	8	2
246	следует иметь	2	2
247	они и	2	2
248	только с	2	2
249	в общем	2	2
250	он говорит	5	2
251	более или	6	2
252	в реальной	2	2
253	например как	2	2
254	говорит об	2	2
255	могут быть	8	2
256	в году	7	2
257	в процессе	17	2
258	с нею	2	2
259	можно ли	2	2
260	для них	2	2
261	у тургенева	3	2
262	было в	2	2
263	сознания субъекта	2	2
264	вовсе не	3	2
265	если в	2	2
266	не столь	3	2
267	меньшей степени	2	2
268	другой стороны	8	2
269	и через	2	2
270	должно быть	2	2
271	на это	2	2
272	бы в	3	2
273	реальной действительности	10	2
274	мысль о	2	2
275	из многочисленных	2	2
276	все это	13	2
277	в особенности	2	2
278	и наконец	2	2
279	как о	3	2
280	и есть	5	2
281	одним из	5	2
282	по словам	8	2
283	частности в	2	2
284	в течение	2	2
285	себе и	2	2
286	как говорит	5	2
287	во всех	7	2
288	должна быть	2	2
289	ни с	2	2
290	он может	2	2
291	когда он	4	2
292	будто бы	2	2
293	со своим	3	2
294	из которых	2	2
295	большей или	3	2
296	это и	6	2
297	но с	2	2
298	своих героев	2	2
299	в системе	2	2
