N	2gram	Medvedev_F	Myslijsy
536	однако не	5	3
537	и развития	2	2
538	ее и	3	2
539	имеет и	2	2
540	относиться к	2	2
541	как из	2	2
542	эту последнюю	2	2
543	стал бы	2	2
544	во все	2	2
545	роль в	2	2
546	бы оно	2	2
547	можно будет	2	2
548	искусств как	2	2
549	в современном	2	2
550	они были	4	2
551	значение для	2	2
552	все остальное	4	2
553	следует что	3	2
554	тому чтобы	2	2
555	единство в	2	2
556	ни одна	2	2
557	говорим о	2	2
558	произведение в	3	2
559	только тем	2	2
560	формы и	7	2
561	не ради	2	2
562	эти формы	2	2
563	от тех	2	2
564	строгом смысле	2	2
565	на языке	2	2
566	этом не	2	2
567	быть и	5	2
568	на их	3	2
569	мы их	2	2
570	научной мысли	2	2
571	не могли	2	2
572	гуманитарных наук	3	2
573	тех же	2	2
574	какой бы	2	2
575	словами в	2	2
576	в систему	5	2
577	указать на	2	2
578	и эта	2	2
579	в первой	2	2
580	с их	2	2
581	время не	2	2
582	нового направления	6	2
583	целый ряд	4	2
584	каждого из	3	2
585	во второй	3	2
586	язык может	2	2
587	не связанных	2	2
588	или на	2	2
589	непосредственно в	5	2
590	есть лишь	3	2
591	можно говорить	2	2
592	от всех	5	2
593	другой язык	2	2
594	когда он	3	2
595	и всякая	2	2
596	если он	4	2
597	раз и	6	2
598	эта связь	2	2
599	не имеющие	2	2
600	входящих в	3	2
601	известных условиях	2	2
602	и должно	4	2
603	целом и	4	2
604	почти совершенно	2	2
605	поэзии в	3	2
606	кого не	2	2
607	каждый из	3	2
608	вопроса о	2	2
609	не дают	2	2
610	их к	3	2
611	и нельзя	2	2
612	едва ли	3	2
613	является в	2	2
614	для других	2	2
615	а на	2	2
616	это и	7	2
617	нас не	3	2
618	его от	5	2
619	было говорить	2	2
620	но конечно	2	2
621	может и	2	2
622	проникать в	2	2
623	а все	2	2
624	что каждый	2	2
625	история литературы	10	2
626	бы она	3	2
627	его место	2	2
628	с теми	2	2
629	же как	3	2
630	приходим к	2	2
631	познания и	4	2
632	художественных произведений	5	2
633	своего развития	2	2
634	из его	2	2
635	своем развитии	2	2
636	с этими	2	2
637	же это	2	2
638	всех этих	6	2
639	если она	2	2
640	с ее	7	2
641	совершенно справедливо	3	2
642	этого языка	2	2
643	и содержание	2	2
644	и история	3	2
645	отличается от	4	2
646	слова как	2	2
647	его и	2	2
648	это положение	2	2
649	период развития	4	2
650	нет и	2	2
651	не приводит	3	2
652	от чего	3	2
653	знаем что	2	2
654	как с	2	2
655	к его	3	2
656	сказать в	2	2
657	произведения искусства	4	2
658	действительности не	2	2
659	содержания но	2	2
660	зависимости от	5	2
661	не для	4	2
662	смысле и	2	2
663	поэзии как	3	2
664	замечаем что	2	2
665	не найдем	3	2
666	чтобы убедиться	2	2
667	как его	3	2
668	жизни но	2	2
669	форма и	2	2
670	этих двух	2	2
671	в системе	3	2
