N	2gram	Voloshinov	EvropaiC
172	в жизни	7	3
173	но не	7	3
174	очень много	2	3
175	в данном	4	3
176	на этой	3	3
177	а в	8	3
178	бы то	3	3
179	на почве	3	3
180	в нем	7	3
181	освободиться от	3	3
182	в ней	8	3
183	что оно	4	3
184	тогда когда	2	3
185	что таким	2	3
186	не то	2	3
187	для нас	2	3
188	должны быть	4	3
189	сейчас же	3	3
190	было бы	8	3
191	и по	5	3
192	и может	4	3
193	ничего общего	4	3
194	в истории	4	3
195	если же	2	3
196	в нашем	3	3
197	в совершенно	3	3
198	как для	2	3
199	же как	2	3
200	заключается в	5	3
201	тот же	10	3
202	как мы	18	3
203	слагается из	2	3
204	еще больше	2	3
205	конечно в	3	2
206	для самого	2	2
207	одна из	4	2
208	все то	3	2
209	другими словами	5	2
210	с которыми	4	2
211	психологии в	3	2
212	нет в	2	2
213	современной европейской	2	2
214	тех же	5	2
215	то в	2	2
216	независимо от	3	2
217	только то	5	2
218	в процессе	5	2
219	но как	2	2
220	из этой	2	2
221	и ее	7	2
222	есть только	3	2
223	этот процесс	4	2
224	и поэтому	2	2
225	что она	5	2
226	высшей степени	6	2
227	в другом	4	2
228	свою очередь	4	2
229	но если	2	2
230	борьбы с	4	2
231	на него	4	2
232	потому и	5	2
233	для себя	2	2
234	друг друга	2	2
235	должен быть	2	2
236	теперь мы	4	2
237	доказать что	2	2
238	зависимости от	4	2
239	как не	3	2
240	на первый	5	2
241	этих двух	3	2
242	в виду	4	2
243	не было	5	2
244	не без	3	2
245	что такой	2	2
246	сил и	3	2
247	следовательно и	2	2
248	он должен	2	2
249	точку зрения	12	2
250	такой же	3	2
251	одной и	3	2
252	или вовсе	2	2
253	же касается	3	2
254	работы и	2	2
255	не знает	5	2
256	разобраться в	3	2
257	в высшей	6	2
258	всех других	2	2
259	при таких	2	2
260	для него	12	2
261	мы видели	12	2
262	и так	2	2
263	в эту	2	2
264	не имеет	2	2
265	но так	2	2
266	также и	2	2
267	совершенно иной	2	2
268	тому что	5	2
269	к нему	9	2
270	она не	6	2
271	они не	3	2
272	в котором	4	2
273	если это	3	2
274	их в	3	2
275	все его	3	2
276	те же	9	2
277	только при	2	2
278	во втором	3	2
279	в своих	5	2
280	в свою	6	2
281	этот вопрос	4	2
282	о них	3	2
283	и социальной	3	2
284	одной стороны	2	2
285	но для	3	2
286	к психологии	2	2
287	на этом	8	2
288	и те	5	2
289	между ними	5	2
290	отнюдь не	5	2
291	если он	6	2
292	в них	3	2
293	только не	3	2
294	можно ли	3	2
295	ко всему	2	2
296	что же	10	2
297	всяком случае	8	2
298	же что	2	2
299	жизни и	7	2
300	сводится к	4	2
301	с ними	5	2
302	но вместе	2	2
303	во всяком	9	2
304	и уже	2	2
305	на более	2	2
306	эта часть	2	2
307	из него	3	2
308	говорить о	5	2
309	себя и	4	2
310	и его	22	2
311	каждого человека	2	2
312	же время	6	2
313	и только	6	2
314	а следовательно	3	2
315	с ее	4	2
316	и сам	3	2
317	которой мы	6	2
318	не следует	2	2
319	во всей	3	2
320	в себя	5	2
321	о которой	3	2
322	той же	5	2
323	я не	4	2
324	вовсе не	16	2
325	мы и	4	2
326	в основе	6	2
327	тем же	3	2
