N	2gram	Losev_Vlad	Myslijsy
233	один и	2	7
234	его к	3	7
235	но как	6	7
236	на котором	2	7
237	даже и	12	7
238	не были	2	7
239	на это	2	7
240	к этому	11	7
241	о котором	2	7
242	в жизни	4	7
243	этого последнего	3	7
244	этом смысле	4	7
245	видно что	5	7
246	прибавить что	3	7
247	несмотря на	7	7
248	его на	4	6
249	имеют для	2	6
250	как он	4	6
251	на его	7	6
252	в своей	7	6
253	в этой	4	6
254	никак не	6	6
255	у нас	11	6
256	после того	2	6
257	эти последние	4	6
258	то он	7	6
259	главным образом	5	6
260	и к	10	6
261	для всех	2	6
262	в их	2	6
263	в виде	4	6
264	его не	2	6
265	с а	13	6
266	что с	3	6
267	и до	4	6
268	в сущности	2	6
269	нас в	2	6
270	да и	6	6
271	выше мы	3	6
272	хотя в	2	6
273	об этом	13	6
274	а именно	4	6
275	что его	8	6
276	не могло	2	6
277	но на	3	6
278	жизни и	8	6
279	у него	28	6
280	лишь в	3	6
281	мы уже	8	6
282	но он	7	6
283	для нее	3	5
284	но даже	3	5
285	от своего	2	5
286	а с	5	5
287	не говоря	4	5
288	уже и	4	5
289	это можно	3	5
290	но только	3	5
291	например с	2	5
292	отношение к	7	5
293	том чтобы	4	5
294	если это	2	5
295	в нашем	5	5
296	чем в	2	5
297	даже в	4	5
298	а это	3	5
299	и у	4	5
300	в области	3	5
301	этого не	2	5
302	в произведении	2	5
303	ответ на	2	5
304	не столько	4	5
305	известной степени	2	5
306	мы имеем	2	5
307	а к	24	5
308	в начале	7	5
309	сравнении с	2	5
310	одним из	3	5
311	не по	2	5
312	в течение	13	5
313	отношении к	2	5
314	время как	3	5
315	на этот	9	5
316	но уже	3	5
317	и здесь	3	5
318	время и	3	5
319	в той	2	5
320	конечно не	5	5
321	природы и	2	5
322	не к	2	5
323	виде в	2	4
324	бы мы	2	4
325	начиная с	3	4
326	иное как	2	4
327	не что	2	4
328	не могла	3	4
329	к своему	4	4
330	было для	3	4
331	как нечто	2	4
332	то ни	2	4
333	кажется что	3	4
334	дело в	7	4
335	его как	2	4
336	не имели	2	4
337	можно считать	3	4
338	мы сами	3	4
339	но во	2	4
340	что иное	2	4
341	с нами	3	4
342	не мог	10	4
343	ни в	4	4
344	что бы	2	4
345	еще более	3	4
346	собственно говоря	4	4
347	и затем	2	4
348	из этого	6	4
349	только после	2	4
350	не вполне	3	4
351	и хотя	3	4
352	на что	2	4
353	ничего не	4	4
354	языке в	2	4
355	не без	7	4
356	но эта	2	4
357	в науке	3	4
358	по своему	5	4
359	что к	3	4
360	он в	4	4
361	ему в	4	4
362	пока не	2	4
363	мы находим	2	4
364	по этому	3	4
365	в связи	9	4
366	бы то	2	4
367	с его	15	4
368	некоторое время	3	4
369	но она	4	4
370	и вполне	4	4
371	этом отношении	2	4
372	что касается	6	4
373	так или	3	4
374	и так	3	4
375	он говорит	2	4
376	во многом	3	4
377	обратить внимание	2	4
378	на этом	3	4
379	со своим	5	4
380	нельзя себе	2	4
381	что во	2	4
382	я и	2	4
383	что можно	4	4
384	только одно	4	4
385	отношения к	4	4
386	взгляд на	4	4
387	в свой	3	3
388	бы с	2	3
389	с первого	2	3
390	жизни все	2	3
391	и сама	2	3
392	нисколько не	4	3
393	в отношении	5	3
394	именно так	2	3
395	что здесь	2	3
396	мы и	4	3
397	и всегда	4	3
398	же касается	8	3
399	мы знаем	5	3
400	здесь мы	4	3
401	также что	2	3
402	одной из	2	3
403	что этот	4	3
404	для них	2	3
405	на слово	2	3
406	несколько слов	2	3
407	ни малейшего	2	3
408	которой мы	3	3
409	время в	4	3
410	в теории	2	3
411	кроме того	12	3
412	и наконец	2	3
413	себе и	2	3
414	и из	5	3
415	ни с	6	3
416	сказать о	2	3
417	на свою	3	3
418	я в	4	3
419	нет возможности	2	3
420	его жизни	12	3
421	и относительно	2	3
422	у меня	3	3
423	на такой	2	3
424	теми же	2	3
425	в новом	2	3
426	как будто	2	3
427	о которой	3	3
428	мы будем	4	3
429	без всякого	2	3
430	ясно что	2	3
431	которые в	2	3
432	а что	3	3
433	даже не	3	3
434	было сказано	2	3
435	в свое	6	3
436	то для	2	3
437	после этого	2	3
438	как это	11	3
439	видно из	2	3
440	дело с	2	3
441	к этой	4	3
442	а то	2	3
443	в общем	4	3
444	а мы	3	3
445	с которой	2	3
446	уже о	3	3
447	и совершенно	2	3
448	совсем не	7	3
449	здесь не	6	3
450	не прямо	2	3
451	говоря уже	3	3
452	и я	7	3
453	ему только	2	3
454	с которыми	2	3
455	это в	2	3
456	в результате	6	3
457	мы увидим	4	3
458	в первый	2	3
459	должен был	3	3
460	человека с	2	3
461	в самых	2	3
462	время с	2	3
463	пор пока	2	3
464	или иначе	3	3
465	с которым	4	3
466	он сам	3	3
467	на первый	4	3
468	и весь	2	3
469	что сам	3	3
470	он все	2	2
471	еще и	10	2
472	свое время	7	2
473	из трех	3	2
474	что дело	2	2
475	относиться к	2	2
476	не будем	3	2
477	без всяких	2	2
478	в следующем	3	2
479	уже на	3	2
480	которого он	2	2
481	любви к	2	2
482	значение для	2	2
483	для своего	2	2
484	в г	2	2
485	тоже не	2	2
486	ни к	2	2
487	времени в	2	2
488	а а	7	2
489	по одному	2	2
490	и самого	2	2
491	того и	3	2
492	этом не	3	2
493	судить по	6	2
494	не могли	2	2
495	тех же	3	2
496	указать на	2	2
497	только к	3	2
498	во второй	3	2
499	хотя с	2	2
500	по своей	4	2
501	как у	3	2
502	в с	7	2
503	с с	5	2
504	а из	2	2
505	можно говорить	2	2
506	тому же	3	2
507	им в	3	2
508	этом в	2	2
509	когда он	6	2
510	и всякая	2	2
511	так у	2	2
512	дальше в	2	2
513	со своей	5	2
514	раз и	4	2
515	именно с	2	2
516	в это	6	2
517	чувства к	4	2
518	к своей	2	2
519	ему не	2	2
520	который был	4	2
521	еще один	2	2
522	на свои	2	2
523	едва ли	3	2
524	это и	2	2
525	нам представляется	3	2
526	может только	2	2
527	и за	3	2
528	и такие	2	2
529	его от	2	2
530	чего в	2	2
531	о нем	9	2
532	бы на	2	2
533	вообще в	4	2
534	прибавить еще	2	2
535	нужно прибавить	3	2
536	с теми	2	2
537	о его	7	2
538	народа и	2	2
539	из его	6	2
540	я не	8	2
541	он как	4	2
542	с этими	4	2
543	ее на	3	2
544	и еще	3	2
545	всех этих	3	2
546	себя в	6	2
547	дело не	3	2
548	как я	2	2
549	но этот	3	2
550	но дело	2	2
551	тут же	7	2
552	где он	5	2
553	и сам	7	2
554	его и	2	2
555	и деятельности	2	2
556	история и	3	2
557	нет и	2	2
558	всей своей	2	2
559	во сне	2	2
560	на меня	3	2
561	почему он	2	2
562	знаем что	2	2
563	знания и	3	2
564	к его	5	2
565	не могу	2	2
566	то его	2	2
567	по своим	3	2
568	этих двух	2	2
