N	2gram	Propp_Russ	Psycholo
412	такие же	4	4
413	с ней	7	4
414	чтобы сделать	2	4
415	от одного	2	4
416	в пределах	2	4
417	на кладбище	4	4
418	что такие	2	4
419	основана на	2	4
420	в некоторых	11	4
421	к тем	4	4
422	природы и	3	4
423	ничего общего	3	4
424	одним из	2	3
425	п с	5	3
426	ни одно	2	3
427	как можно	3	3
428	они были	2	3
429	следующим образом	9	3
430	бросается в	3	3
431	в более	2	3
432	этот случай	2	3
433	какой степени	3	3
434	же не	2	3
435	этом не	2	3
436	между двумя	2	3
437	иметь в	2	3
438	этому вопросу	2	3
439	связаны с	6	3
440	смерти в	2	3
441	а также	6	3
442	его как	2	3
443	на первый	3	3
444	кроме того	3	3
445	в заключение	2	3
446	мы рассмотрим	5	3
447	стоит в	3	3
448	чаще всего	3	3
449	или на	11	3
450	очень много	2	3
451	при рассмотрении	3	3
452	уже знаем	2	3
453	о них	2	3
454	еще в	6	3
455	из своей	2	3
456	увидим ниже	3	3
457	животных и	4	3
458	не более	2	3
459	и объяснить	2	3
460	на что	2	3
461	все в	2	3
462	где есть	2	3
463	дело так	2	3
464	заключить что	2	3
465	выводу что	3	3
466	за счет	2	3
467	как известно	2	3
468	останавливаться на	2	3
469	связано с	3	3
470	в руки	2	3
471	в разных	3	3
472	в отдельности	2	3
473	чем у	2	3
474	что каждый	2	3
475	составные части	2	3
476	на них	4	3
477	и др	4	3
478	и многие	2	3
479	привело к	2	3
480	связь между	2	3
481	этом случае	9	3
482	с другими	3	3
483	а к	3	3
484	в этот	19	3
485	в таких	3	3
486	на земле	3	3
487	не столько	3	3
488	под именем	3	3
489	быть и	3	3
490	это время	4	3
491	там же	15	3
492	их и	3	3
493	то на	3	3
494	в форме	3	3
495	части и	2	3
496	для этой	3	2
497	решить вопрос	2	2
498	с другим	2	2
499	должно было	5	2
500	на других	3	2
501	следовательно и	2	2
502	в самый	2	2
503	или с	4	2
504	отличаются от	2	2
505	которые можно	2	2
506	п в	25	2
507	относятся к	3	2
508	представления о	2	2
509	как уже	6	2
510	на этой	3	2
511	если угодно	2	2
512	только у	2	2
513	так называемое	2	2
514	тех случаях	2	2
515	для них	5	2
516	но вместе	3	2
517	сюда же	2	2
518	до того	3	2
519	интерес к	2	2
520	это приводит	2	2
521	и должна	2	2
522	во многих	14	2
523	в новый	6	2
524	на каждом	3	2
525	таком виде	2	2
526	и потом	4	2
527	в воде	3	2
528	с целью	2	2
529	еще далеко	2	2
530	на которой	2	2
531	говорится что	4	2
532	детскую игру	2	2
533	до нового	2	2
534	этой же	2	2
535	именно с	3	2
536	многих случаях	4	2
537	такого мнения	2	2
538	а иногда	6	2
539	в изучении	2	2
540	смерти и	3	2
541	не был	3	2
542	нет в	2	2
543	под ним	2	2
544	этой работы	2	2
545	тут же	2	2
546	не всегда	4	2
547	почему именно	2	2
548	они и	2	2
549	при всех	2	2
550	которые как	2	2
551	ко всему	2	2
552	ней в	2	2
553	и некоторые	3	2
554	и всей	2	2
555	дают нам	2	2
556	чтобы у	2	2
557	с этого	7	2
558	некоторые из	2	2
559	там и	2	2
560	в россии	4	2
561	от них	4	2
562	по происхождению	3	2
563	ряд других	2	2
564	из своих	2	2
565	обычно в	2	2
566	к вопросу	2	2
567	он есть	2	2
568	как по	2	2
569	не означает	2	2
570	так называемый	2	2
571	говорится о	3	2
572	их не	2	2
573	думает что	2	2
574	к новому	2	2
575	и всех	2	2
576	друг друга	3	2
577	характер этого	2	2
578	в разные	4	2
579	представления об	2	2
580	таким же	4	2
581	из основных	2	2
582	не оставляет	2	2
583	и сами	2	2
