N	2gram	Bakhtin_fo	Stilisti
137	и поэтому	2	3
138	словом и	2	3
139	об этом	3	3
140	и даже	5	3
141	этого слова	2	3
142	и здесь	2	3
143	целый ряд	2	3
144	роль в	12	3
145	в виду	5	3
146	будем говорить	2	3
147	та же	4	3
148	в том	16	3
149	он должен	2	3
150	в частности	11	3
151	у них	4	3
152	еще не	8	3
153	только на	3	3
154	вследствие этого	4	3
155	совершенно не	3	3
156	его и	2	3
157	как в	10	3
158	и вот	2	3
159	не знает	4	3
160	в разных	6	3
161	для него	5	3
162	по своему	3	3
163	и для	12	3
164	нет и	4	3
165	явления природы	2	3
166	в котором	8	3
167	их в	6	3
168	выражение в	3	3
169	жизни это	2	3
170	если не	3	3
171	между ними	5	3
172	из них	8	3
173	для нас	2	3
174	хотя и	5	3
175	жизни и	12	3
176	что и	5	3
177	необходимо чтобы	2	3
178	в ее	6	3
179	и уже	4	3
180	все эти	12	3
181	конечно не	7	3
182	связи с	14	3
183	что было	6	3
184	отношения к	7	3
185	связь между	2	3
186	в основе	9	3
187	здесь мы	4	3
188	миру и	2	2
189	еще и	3	2
190	до конца	5	2
191	в каком	2	2
192	в отношении	5	2
193	и вообще	3	2
194	вопрос о	2	2
195	все то	2	2
196	и потому	4	2
197	которые в	2	2
198	с этим	11	2
199	для всех	3	2
200	с другими	3	2
201	в точках	3	2
202	мы имеем	2	2
203	нет ничего	4	2
204	из этих	5	2
205	человека и	15	2
206	времени и	10	2
207	должно быть	6	2
208	каждый из	2	2
209	и нет	2	2
210	к этому	5	2
211	человек с	2	2
212	по отношению	3	2
213	с самим	6	2
214	за ними	3	2
215	отношение к	5	2
216	самое время	3	2
217	друг друга	3	2
218	есть не	4	2
219	должен быть	2	2
220	на первый	2	2
221	кроме того	7	2
222	но эта	5	2
223	тем что	4	2
224	человека в	22	2
225	этом отношении	5	2
226	в их	9	2
227	том же	4	2
228	в значительной	3	2
229	в этих	6	2
230	что он	2	2
231	и сам	2	2
232	с природой	2	2
233	в какой-то	4	2
234	на минуту	2	2
235	всех его	2	2
236	ни к	3	2
237	отношению к	5	2
238	себе и	4	2
239	сих пор	4	2
240	в пределах	8	2
241	на развитие	5	2
242	точном смысле	3	2
243	со всех	2	2
244	одной из	3	2
245	в жизни	6	2
246	в мире	4	2
247	но не	9	2
248	как уже	3	2
249	в него	2	2
250	также и	6	2
251	и всего	2	2
252	тому же	2	2
253	прежде чем	3	2
254	связанные с	5	2
255	равно как	4	2
256	в точном	3	2
257	еще более	7	2
258	с собой	2	2
259	ту же	4	2
260	где и	3	2
261	в которых	4	2
262	ни один	2	2
263	и те	4	2
264	между собой	5	2
265	и он	3	2
266	место в	4	2
267	о чем	4	2
268	для них	3	2
269	в действительной	2	2
270	собой разумеется	2	2
271	не было	8	2
272	между двумя	6	2
273	здесь не	5	2
274	больше и	2	2
275	и том	2	2
276	и несколько	2	2
277	в своей	2	2
278	и определяется	2	2
279	или в	3	2
280	в связи	13	2
281	был бы	3	2
282	он не	6	2
283	природы и	2	2
284	друг другу	4	2
285	значение и	7	2
286	в дальнейшем	10	2
287	с ним	5	2
288	мы говорили	3	2
289	такие слова	2	2
290	тот же	4	2
291	вовсе не	20	2
292	форме и	2	2
293	этот процесс	5	2
294	ясно что	2	2
