N	2gram	Propp_Morf	Psycholo
119	у нас	3	17
120	из этих	2	17
121	но это	6	17
122	время как	3	17
123	так и	10	16
124	та же	3	16
125	не имеет	2	16
126	тому как	5	16
127	и к	4	16
128	от того	4	16
129	и тем	3	16
130	из которых	5	16
131	то это	5	16
132	к этому	4	16
133	могли бы	2	15
134	еще не	4	15
135	не могут	7	15
136	далеко не	5	15
137	что именно	2	15
138	в частности	2	15
139	во всех	6	15
140	в результате	8	15
141	для него	2	15
142	должна быть	2	14
143	хотя бы	5	14
144	главным образом	5	14
145	по существу	13	14
146	это и	3	14
147	прежде всего	14	14
148	увидеть что	2	14
149	того как	2	14
150	бы в	2	14
151	этом отношении	2	14
152	всяком случае	2	14
153	то время	3	14
154	или в	6	14
155	в совершенно	2	14
156	а с	2	13
157	этот вопрос	4	13
158	со стороны	5	13
159	могла бы	4	13
160	но если	10	12
161	и этот	2	12
162	состоит в	3	12
163	действия и	2	12
164	что этот	2	12
165	в этих	17	12
166	их в	2	12
167	ничего не	5	12
168	не менее	7	12
169	и другие	6	12
170	в основу	2	12
171	например в	2	12
172	что эти	3	12
173	об этом	5	12
174	что его	4	12
175	он должен	3	11
176	так например	3	11
177	подобно тому	6	11
178	утверждать что	3	11
179	его в	4	11
180	но мы	3	11
181	с его	3	11
182	на этот	2	11
183	данном случае	2	10
184	показать как	2	10
185	от него	2	10
186	в тех	8	10
187	в другом	2	10
188	что ни	2	10
189	здесь мы	3	10
190	не так	2	10
191	это было	3	10
192	не является	4	10
193	и их	3	10
194	но как	3	10
195	в одной	2	10
196	и у	3	10
197	совсем не	3	10
198	с теми	4	10
199	в данном	2	10
200	ее в	3	10
201	вопрос о	10	9
202	совершенно другой	2	9
203	и ее	5	9
204	ту же	2	9
205	на его	5	9
206	том случае	3	9
207	то как	2	9
208	и по	3	9
209	на него	4	9
210	но все	4	9
211	роль в	2	9
212	если же	5	9
213	мы будем	3	9
214	к чему	3	9
215	в виде	3	9
216	в чем	2	9
217	по своему	2	9
218	ответ на	2	9
219	точно так	2	9
220	можно сказать	2	9
221	из его	2	9
222	героя и	3	9
223	его и	2	9
224	в самых	2	9
225	в нее	2	8
226	и таким	2	8
227	большей частью	6	8
228	что же	2	8
229	мы получим	2	8
230	и тот	2	8
231	наряду с	7	8
232	и более	2	8
233	тем же	2	8
234	в собственном	3	8
235	заставляет его	2	8
236	он может	2	8
237	том как	2	8
238	образом мы	7	8
239	во время	6	8
240	и отсюда	3	8
241	из двух	3	8
242	к нему	3	8
243	они не	3	7
244	если это	3	7
245	должны быть	2	7
246	связи с	12	7
247	чем это	2	7
248	себя и	2	7
249	что такое	3	7
250	представляет собой	17	7
251	если он	2	7
252	это можно	2	7
253	же в	3	7
254	она в	2	7
255	в нашем	6	7
256	и заставляет	2	7
257	в глаза	2	7
258	и при	3	7
259	а на	3	7
260	есть нечто	3	7
261	и дает	2	7
262	когда в	2	7
263	в качестве	8	7
264	случае если	2	7
265	как они	2	7
266	не существует	3	7
267	то мы	5	6
268	а потому	2	6
269	не все	6	6
270	тем не	7	6
271	иное как	2	6
272	что иное	2	6
273	оно не	2	6
274	или менее	2	6
275	должны будем	2	6
276	друг к	2	6
277	и затем	5	6
278	без всякого	2	6
279	не что	2	6
280	или же	7	6
281	ничем не	2	6
282	от других	2	6
283	смысле слова	4	6
284	о его	4	6
285	совершается в	2	6
286	очень часто	6	6
287	независимо от	4	6
288	значит что	4	6
289	к ней	3	6
290	к другу	2	6
291	никто не	4	6
292	нами в	4	6
293	более или	2	6
294	не сумеем	2	6
295	уже не	4	6
296	приводит к	3	6
297	заметить что	11	6
298	говорить о	4	6
299	это мы	2	6
300	ни одной	2	5
301	в один	3	5
302	на вопрос	2	5
303	но так	2	5
304	в других	5	5
305	можно показать	2	5
306	между собой	5	5
307	а затем	10	5
308	значение и	3	5
309	в одну	2	5
310	если в	7	5
311	то в	3	5
312	в круг	2	5
313	только для	2	5
314	он приводит	2	5
315	но они	2	5
316	и наоборот	4	5
317	мы получаем	2	5
318	не знает	2	5
319	бы то	3	5
320	тем и	2	5
321	чем в	2	5
322	в очень	2	5
323	вот как	2	5
324	с двумя	2	5
325	или не	3	5
326	и больше	2	5
327	представляют собой	16	5
328	хотя и	5	5
329	себя в	2	5
330	дело не	2	5
331	не значит	3	5
332	а другой	2	5
333	за ней	2	5
334	а то	3	5
335	оно может	4	5
336	и тогда	3	5
337	ни одна	4	5
338	собственном смысле	3	5
339	и за	2	5
340	также и	6	4
341	потому не	2	4
342	всех других	2	4
343	к другому	2	4
344	не по	2	4
345	означает что	3	4
346	благодаря этому	3	4
347	однако в	2	4
348	и вне	3	4
349	в первом	5	4
350	который в	2	4
351	не с	2	4
352	не на	2	4
353	то здесь	3	4
354	можно сделать	2	4
355	рассматриваться как	3	4
356	все еще	3	4
357	с собой	3	4
358	имеем в	8	4
359	это так	2	4
360	и другим	3	4
361	в каких	2	4
362	вывод что	2	4
363	ход действия	8	4
364	или иные	2	4
365	в настоящее	3	4
366	но для	3	4
367	по отношению	7	4
368	является в	2	4
369	что до	2	4
370	один раз	2	4
371	настоящее время	3	4
372	здесь не	3	4
373	может не	2	4
374	в связи	10	4
375	это еще	2	4
376	одной из	2	4
377	т е	25	4
378	как например	2	4
379	если она	2	4
380	образом если	2	4
381	вытекает из	2	4
382	во сне	2	4
383	в пределах	3	4
384	или наоборот	2	4
385	перейти к	2	4
386	можно назвать	3	4
387	в некоторых	4	4
388	как же	3	3
389	одним из	2	3
390	ни было	2	3
391	состоит из	3	3
392	а вовсе	2	3
393	то они	2	3
394	но никто	2	3
395	следующим образом	4	3
396	этот случай	7	3
397	с героем	2	3
398	героя а	4	3
399	а также	7	3
400	на котором	4	3
401	второй раз	2	3
402	у нее	2	3
403	в наши	2	3
404	к себе	2	3
405	на первый	3	3
406	кроме того	3	3
407	превращается в	2	3
408	ни к	2	3
409	чаще всего	11	3
410	так если	3	3
411	может считаться	6	3
412	или на	3	3
413	совершенно одинаково	2	3
414	очень много	2	3
415	в море	5	3
416	увидим ниже	6	3
417	животных и	3	3
418	но с	2	3
419	которое может	2	3
420	как таковое	3	3
421	вопроса о	3	3
422	даже не	3	3
423	героя в	5	3
424	как таковой	2	3
425	форма в	3	3
426	в руки	4	3
427	при определении	2	3
428	на той	2	3
429	здесь же	3	3
430	составные части	10	3
431	и др	12	3
432	приходим к	3	3
433	случае не	4	3
434	этом случае	10	3
435	с другими	2	3
436	к другой	2	3
437	собой в	2	3
438	в таких	3	3
439	связана с	3	3
440	она вызывает	2	3
441	отношению к	7	3
442	без всякой	2	3
443	этой школы	4	3
444	на нем	3	3
445	быть и	2	3
446	как таковая	2	3
447	то ни	3	3
448	узнает о	3	3
449	в форме	6	3
450	для этой	3	2
451	решить вопрос	2	2
452	или нет	2	2
453	это делается	2	2
454	а потом	2	2
455	это явление	5	2
456	бы составить	2	2
457	который может	3	2
458	о характере	2	2
459	на пути	4	2
460	к герою	3	2
461	или с	3	2
462	относятся к	2	2
463	два раза	5	2
464	иногда может	3	2
465	мы приходим	3	2
466	как уже	3	2
467	вопросу о	2	2
468	это положение	2	2
469	и изучение	3	2
470	что одна	2	2
471	с того	3	2
472	а если	4	2
473	элемент в	2	2
474	во втором	7	2
475	тех случаях	2	2
476	представляет собою	8	2
477	же роль	2	2
478	до наших	2	2
479	сюда же	5	2
480	что многие	2	2
481	то с	3	2
482	же оно	2	2
483	их как	2	2
484	как такового	2	2
485	первом случае	3	2
486	тех же	4	2
487	не упоминается	3	2
488	д все	2	2
489	д и	2	2
490	между собою	2	2
491	о происхождении	2	2
492	те элементы	2	2
493	развитию и	2	2
494	вообще не	2	2
495	эта форма	14	2
496	этой формы	3	2
497	они даны	2	2
498	другой не	2	2
499	этого нет	2	2
500	приводят к	3	2
501	чтобы герой	3	2
502	бы они	2	2
503	в ход	3	2
504	можно сравнить	2	2
505	себя за	2	2
506	не от	2	2
507	мы постараемся	2	2
508	на героя	2	2
509	не всегда	10	2
510	в свое	2	2
511	оно как	2	2
512	они и	5	2
513	является результатом	2	2
514	могут иметь	2	2
515	не оказывает	3	2
516	раз он	3	2
517	с этого	2	2
518	некоторые из	3	2
519	в россии	2	2
520	в начале	3	2
521	сразу и	2	2
522	формы которые	3	2
523	ряд других	2	2
524	обычно в	2	2
525	к вопросу	2	2
526	нельзя было	2	2
527	герой и	4	2
528	не означает	2	2
529	элементы которые	3	2
530	хотя эти	2	2
531	которой все	2	2
532	должны рассматриваться	3	2
533	если за	2	2
534	друг друга	3	2
535	может дать	2	2
536	исходят из	2	2
537	учение о	5	2
