N	2gram	Tiupa_Vved	Freidism
176	о них	4	3
177	в сознании	5	3
178	жизни в	5	3
179	конечном счете	2	3
180	в результате	5	3
181	к себе	2	3
182	и даже	3	3
183	и как	2	3
184	одним из	5	3
185	у нас	4	3
186	этого не	2	3
187	в центре	4	3
188	связано с	3	3
189	в детской	3	3
190	в какой	4	3
191	на этот	2	3
192	которое не	2	3
193	о том	7	3
194	это уже	2	3
195	они не	3	3
196	жизни так	2	3
197	в конечном	2	3
198	оно не	2	3
199	к его	5	3
200	их в	3	3
201	на себя	5	3
202	ответ на	2	3
203	приводит к	2	3
204	в одном	5	3
205	же касается	2	3
206	что мы	2	3
207	в них	4	3
208	уже в	2	3
209	себя в	4	3
210	сознания в	4	3
211	для них	3	3
212	раз и	2	3
213	между двумя	5	3
214	из него	2	3
215	и есть	2	3
216	и сам	2	3
217	в нашем	9	3
218	о которой	4	3
219	во втором	4	3
220	между тем	3	3
221	на основе	2	3
222	да и	3	2
223	о которых	2	2
224	или иной	5	2
225	а также	12	2
226	ли это	2	2
227	его с	2	2
228	не входит	2	2
229	в одной	2	2
230	содержание сознания	4	2
231	бы и	4	2
232	бы в	4	2
233	такого рода	23	2
234	дело не	2	2
235	и через	2	2
236	не как	2	2
237	нам о	2	2
238	не имели	2	2
239	в отличие	11	2
240	в конце	3	2
241	и смерти	2	2
242	для себя	2	2
243	как по	2	2
244	должен быть	3	2
245	однако и	3	2
246	а на	4	2
247	но так	2	2
248	и тем	3	2
249	все они	2	2
250	в их	2	2
251	другого человека	2	2
252	в составе	3	2
253	но именно	3	2
254	к своему	2	2
255	а именно	3	2
256	для нас	4	2
257	в течение	2	2
258	всей его	2	2
259	обратимся к	2	2
260	отличие от	11	2
261	с одной	9	2
262	должна быть	3	2
263	вся жизнь	2	2
264	а с	4	2
265	от этих	2	2
266	в мире	9	2
267	в него	2	2
268	не имеет	3	2
269	также и	6	2
270	не есть	2	2
271	за пределами	3	2
272	к которой	2	2
273	с другой	10	2
274	личной жизни	2	2
275	постановка вопроса	2	2
276	теперь уже	2	2
277	заметить что	2	2
278	зависит от	3	2
279	исключительно в	3	2
280	еще более	2	2
281	при которой	3	2
282	входит в	2	2
283	в историю	2	2
284	а его	3	2
285	он и	2	2
286	одной стороны	9	2
287	представляет собой	18	2
288	мог бы	2	2
289	на другой	2	2
290	и во	2	2
291	первого и	3	2
292	могли бы	3	2
293	в качестве	18	2
294	содержания сознания	2	2
295	не следует	3	2
296	в первом	3	2
297	же самое	2	2
298	как его	2	2
299	без исключения	2	2
300	не к	4	2
301	как для	3	2
302	жизни то	2	2
303	мира в	8	2
304	будто бы	3	2
305	ясно что	2	2
