N	2gram	Vinokur_Vv	Istorich
358	из таких	2	5
359	особого рода	4	5
360	что если	2	5
361	другом месте	2	5
362	это в	2	5
363	хотя в	2	5
364	бы в	2	5
365	с изучением	2	5
366	наших дней	2	5
367	о котором	8	5
368	несмотря на	2	5
369	о природе	7	5
370	в виду	5	5
371	как уже	5	5
372	до наших	2	5
373	лежит в	2	5
374	этим в	3	5
375	это делает	2	5
376	прийти к	2	5
377	д в	2	5
378	них не	2	5
379	или иначе	4	5
380	и требует	2	5
381	да и	4	5
382	которые не	2	5
383	как о	4	5
384	в отличие	4	5
385	однако не	4	5
386	с материалом	2	4
387	нисколько не	3	4
388	в который	2	4
389	и вообще	3	4
390	все время	2	4
391	время в	2	4
392	тем более	2	4
393	находятся в	2	4
394	ни с	2	4
395	чем в	3	4
396	во второй	3	4
397	каждый из	2	4
398	что собственно	3	4
399	так называемая	2	4
400	в разных	7	4
401	или вообще	5	4
402	в результате	4	4
403	если же	2	4
404	не существует	2	4
405	как раз	4	4
406	он сам	3	4
407	для нее	2	4
408	что уже	3	4
409	или нет	2	4
410	он мог	3	4
411	так или	4	4
412	могло бы	2	4
413	и должно	2	4
414	по сравнению	4	4
415	мы теперь	2	4
416	на почве	5	4
417	и сейчас	2	4
418	с точки	4	4
419	а так	2	4
420	еще и	4	4
421	и те	2	4
422	дело в	5	4
423	ни к	2	4
424	в самом	13	4
425	так чтобы	3	4
426	влечет за	2	4
427	по содержанию	3	4
428	что именно	2	4
429	сливается с	3	3
430	из числа	2	3
431	обратим внимание	2	3
432	на основании	5	3
433	не могли	2	3
434	представить себе	7	3
435	речь идет	2	3
436	народов и	2	3
437	на языке	2	3
438	при всей	2	3
439	них и	2	3
440	себе что	3	3
441	чтобы понять	4	3
442	идет речь	3	3
443	о них	2	3
444	вряд ли	3	3
445	сравнению с	4	3
446	здесь все	3	3
447	казалось бы	2	3
448	том смысле	2	3
449	именно как	3	3
450	совсем не	3	3
451	с теми	2	3
452	что даже	3	3
453	так называемых	4	3
454	как оно	3	3
455	должно быть	2	3
456	собой в	2	3
457	него в	2	3
458	это очевидно	2	3
459	меньшей мере	2	3
460	в соответствии	2	3
461	из двух	4	3
462	из того	2	3
463	в формах	2	3
464	этому поводу	3	3
465	в тексте	4	3
466	что можно	2	3
467	оказалось что	2	3
468	но зато	2	3
469	в обоих	2	3
470	можно считать	2	3
471	в языке	2	3
472	все равно	2	3
473	внимание на	5	3
474	и именно	13	3
475	направление в	3	3
476	к таким	2	3
477	бы с	2	3
478	с соответствующими	2	3
479	даже и	4	3
480	и до	2	3
481	и той	3	3
482	само по	4	3
483	язык и	3	3
484	которые были	2	3
485	свой материал	4	2
486	понимать в	3	2
487	дело что	2	2
488	например что	3	2
489	все более	4	2
490	в каждом	4	2
491	свою очередь	2	2
492	материал для	3	2
493	отношении что	3	2
494	видеть что	6	2
495	или меньшей	3	2
496	это искусство	3	2
497	значение и	2	2
498	в центре	4	2
499	ее от	2	2
500	прямом смысле	4	2
501	как явление	2	2
502	материал который	2	2
503	можно говорить	3	2
504	от которых	2	2
505	свое существование	2	2
506	не похожи	2	2
507	уже после	3	2
508	был в	2	2
509	с помощью	2	2
510	и история	4	2
511	этого рода	9	2
512	а во-вторых	2	2
513	обе эти	3	2
514	уже было	2	2
515	центре внимания	2	2
516	т п	5	2
517	одной и	2	2
518	в работах	2	2
519	одновременно и	3	2
520	в прошлом	2	2
521	что к	2	2
522	из которой	2	2
523	быть в	5	2
524	к отдельным	2	2
525	в прямом	4	2
526	в основу	2	2
527	д однако	3	2
528	те кто	2	2
529	греции и	3	2
530	в сущности	3	2
531	как например	6	2
532	же это	2	2
533	сама по	3	2
534	со всей	3	2
535	в конечном	3	2
536	том отношении	3	2
537	в достаточной	2	2
538	собой нечто	2	2
539	не к	2	2
540	и этого	3	2
541	это однако	2	2
542	в известных	2	2
543	доказывать что	2	2
544	и далее	2	2
545	то она	2	2
546	вопросу о	2	2
547	быть названо	4	2
548	нечто целое	2	2
549	отсюда и	2	2
550	одно и	2	2
551	е не	2	2
552	себе задачей	2	2
553	конечном итоге	3	2
554	при жизни	2	2
555	или иных	3	2
556	от других	2	2
557	в ряде	2	2
558	собой одно	2	2
559	истории не	2	2
560	сам по	2	2
561	не следует	3	2
562	знания и	3	2
563	народов но	2	2
564	которых не	3	2
565	такого же	2	2
566	одно целое	2	2
567	и вопрос	2	2
568	то о	2	2
569	что с	3	2
570	следует понимать	2	2
571	случае не	2	2
572	и со	2	2
573	это сказывается	2	2
574	не исчерпывается	2	2
575	дать ответ	2	2
576	с которыми	2	2
577	не трудно	7	2
578	этот процесс	4	2
579	не нужно	2	2
580	нечто что	2	2
581	к делу	4	2
582	с полной	2	2
583	как целое	3	2
584	она была	2	2
585	материалов и	2	2
586	в и	4	2
587	целое и	2	2
588	большей или	3	2
589	вопрос что	2	2
590	как следует	2	2
591	смысле и	2	2
592	к какому	2	2
593	говорить о	5	2
594	быта и	3	2
595	природы и	2	2
596	нельзя не	6	2
597	чем же	3	2
598	в большей	7	2
599	учение о	2	2
