N	2gram	Vinokur_St	Mirosoze
104	и с	6	8
105	еще в	3	8
106	уже в	3	8
107	как он	3	7
108	в духе	2	7
109	более чем	3	7
110	но если	5	7
111	должен быть	3	7
112	что все	3	7
113	точки зрения	16	7
114	что она	5	7
115	не хотел	2	7
116	также и	10	7
117	не существует	4	7
118	все в	2	7
119	не могу	2	7
120	отношения к	2	7
121	чем в	3	7
122	его в	4	6
123	не как	2	6
124	на все	2	6
125	в ее	6	6
126	его не	3	6
127	и те	4	6
128	в образе	3	6
129	совсем не	3	6
130	должен был	5	6
131	быть и	2	6
132	того как	8	6
133	и от	2	6
134	что это	5	6
135	можно было	14	6
136	к концу	3	6
137	было в	2	6
138	если бы	11	6
139	бы не	2	6
140	с этой	5	6
141	же и	4	6
142	по своей	2	6
143	и более	4	6
144	что у	8	6
145	на то	5	6
146	и здесь	2	6
147	в которых	5	6
148	не к	2	6
149	оно не	3	5
150	который был	2	5
151	в то	10	5
152	к которому	4	5
153	в их	3	5
154	так и	15	5
155	от этого	2	5
156	не для	3	5
157	должны быть	4	5
158	и я	5	5
159	до того	4	5
160	сказать что	9	5
161	тот же	2	5
162	во всяком	8	5
163	в основе	4	5
164	да и	4	5
165	одно из	3	5
166	с этим	6	5
167	вопроса о	3	5
168	говорит что	4	5
169	которые не	3	5
170	отличается от	2	5
171	и как	2	5
172	бы в	2	5
173	для этого	2	5
174	еще не	4	5
175	как будто	5	5
176	сих пор	12	5
177	после того	5	5
178	хотел бы	2	5
179	думать что	2	5
180	которых он	2	5
181	до сих	13	5
182	той же	5	5
183	по отношению	3	4
184	как о	2	4
185	в каждом	3	4
186	не знали	2	4
187	как к	3	4
188	не хочет	2	4
189	это очень	5	4
190	конце концов	2	4
191	он должен	2	4
192	не всегда	2	4
193	так что	8	4
194	в такой	2	4
195	есть в	2	4
196	а с	6	4
197	по своему	2	4
198	в чем	4	4
199	только с	4	4
200	тому что	8	4
201	место в	2	4
202	могут быть	5	4
203	для них	2	4
204	не была	2	4
205	в начале	5	4
206	тему о	2	4
207	и до	2	4
208	все эти	7	4
209	и тогда	2	4
210	что они	9	4
211	в истории	5	4
212	себе в	2	4
213	никто не	4	4
214	и можно	2	4
215	не все	3	4
216	вряд ли	8	4
217	значит что	3	4
218	было не	3	4
219	и даже	8	4
220	и по	6	4
221	что было	3	4
222	ни в	5	4
223	в середине	2	4
224	и их	3	4
225	и только	3	4
226	особенно в	2	4
227	мы не	3	4
228	отношению к	3	4
229	от его	2	4
230	время как	2	4
231	ни с	3	4
232	еще более	5	4
233	в эпоху	3	4
234	но на	2	4
235	культуры в	3	4
236	в той	9	4
237	может не	2	4
238	в своих	2	4
239	и что	8	4
240	то время	2	4
241	который так	2	4
242	его собственной	3	4
243	будто бы	4	4
244	в свой	2	3
245	к его	2	3
246	в иных	2	3
247	были бы	2	3
248	этого вопроса	3	3
249	о чем	4	3
250	свои силы	2	3
251	для себя	3	3
252	давно уже	3	3
253	одним из	2	3
254	и тем	3	3
255	раньше чем	4	3
256	в трагедии	13	3
257	все же	12	3
258	можно ли	5	3
259	не верит	2	3
260	что же	6	3
261	даже и	2	3
262	между тем	7	3
263	в уста	3	3
264	в виду	6	3
265	что оно	4	3
266	на его	2	3
267	же как	5	3
268	было для	2	3
269	и самый	2	3
270	свободен от	4	3
271	которую он	3	3
272	хотя и	4	3
273	литературы и	3	3
274	и то	6	3
275	значительной степени	3	3
276	истории и	2	3
277	не до	2	3
278	из этой	2	3
279	а к	2	3
280	то это	3	3
281	к этому	4	3
282	конечно не	2	3
283	об этом	9	3
284	в значительной	2	3
285	что нет	2	3
286	мысль о	2	3
287	но также	13	3
288	не значит	3	3
289	превращается в	2	3
290	но ведь	8	3
291	для нас	7	3
292	со всеми	2	3
293	чем не	2	3
294	во всех	8	3
295	на этот	5	3
296	на почве	2	3
297	но для	3	3
298	их и	2	3
299	уже быть	2	3
300	в одном	7	3
301	всякий раз	2	3
302	всяком случае	8	3
303	и всегда	2	3
304	это был	3	3
305	нет ни	3	3
306	и перед	2	3
307	но с	7	3
308	и за	3	3
309	был для	4	2
310	не о	2	2
311	на самом	8	2
312	в каком	4	2
313	как можно	2	2
314	к подлинному	2	2
315	и об	7	2
316	если в	2	2
317	не имеют	2	2
318	нисколько не	3	2
319	их что	2	2
320	есть только	2	2
321	отношений между	3	2
322	не потому	3	2
323	не раз	2	2
324	пишет он	2	2
325	а как	5	2
326	от своего	2	2
327	такого рода	2	2
328	не надо	2	2
329	к своему	3	2
330	нет никаких	2	2
331	нас не	3	2
332	во многих	3	2
333	самом деле	14	2
334	а во	3	2
335	была бы	10	2
336	быть в	2	2
337	смысле этого	2	2
338	нужно было	2	2
339	которые в	2	2
340	только потому	2	2
341	не менее	8	2
342	под его	2	2
343	она была	2	2
344	того же	4	2
345	тем самым	2	2
346	с того	2	2
347	разного рода	2	2
348	и без	4	2
349	а потому	2	2
350	и сам	4	2
351	ни одного	4	2
352	не столько	6	2
353	о своей	2	2
354	не были	2	2
355	то не	3	2
356	в каком-то	2	2
357	связи с	3	2
358	в сущности	2	2
359	е в	3	2
360	во время	5	2
361	столь же	5	2
362	этого слова	2	2
363	их в	2	2
364	всего что	2	2
365	с которыми	3	2
366	то в	3	2
367	я бы	2	2
368	потому ли	2	2
369	с их	2	2
370	это было	2	2
371	еще до	4	2
372	также в	2	2
373	этом отношении	13	2
374	бы это	2	2
375	перед собой	2	2
376	целый ряд	3	2
377	и нужно	3	2
378	ее в	2	2
379	и о	4	2
380	не по	5	2
381	но они	3	2
382	о мире	2	2
383	в какой	4	2
384	но нет	2	2
385	можно найти	3	2
386	быть не	2	2
387	вообще не	5	2
388	с другой	11	2
389	ни один	2	2
390	что такое	2	2
391	но к	2	2
392	что я	3	2
393	не оставляет	2	2
394	во втором	5	2
395	основана на	2	2
396	тут не	3	2
397	если не	4	2
398	но я	5	2
399	и именно	2	2
400	том смысле	4	2
401	что мы	5	2
402	по себе	3	2
403	них нет	2	2
404	которая должна	2	2
405	и который	3	2
406	и уже	3	2
407	что эта	5	2
408	что во	3	2
409	бы ни	3	2
410	этих словах	2	2
