N	2gram	Tiupa_Teor	VeschiIm
272	в слове	4	2
273	не вполне	2	2
274	слова в	4	2
275	и мира	2	2
276	и к	3	2
277	приводит к	6	2
278	но на	2	2
279	к чему	2	2
280	он и	2	2
281	– уже	2	2
282	и на	2	2
283	и того	4	2
284	только о	2	2
285	как будто	2	2
286	этом смысле	3	2
287	во втором	3	2
288	с его	6	2
289	основе своей	2	2
290	не сама	2	2
291	на основе	2	2
292	тем же	2	2
