N	2gram	Losev_Vesc	Morfolog
254	вообще не	6	2
255	в в	2	2
256	она не	9	2
257	или по	2	2
258	более или	4	2
259	их в	6	2
260	но с	2	2
261	в своих	3	2
262	ту же	2	2
263	оно не	6	2
264	быть и	5	2
265	но они	2	2
266	же они	3	2
267	это так	4	2
268	а а	2	2
269	однако в	3	2
270	знать что	2	2
271	с другими	8	2
272	если он	3	2
273	как таковая	4	2
274	для нас	2	2
275	что мы	17	2
276	это можно	2	2
277	что же	17	2
278	всяком случае	2	2
279	сразу и	2	2
280	может не	4	2
281	и больше	13	2
282	должны быть	6	2
283	к другому	3	2
284	то как	2	2
285	тогда как	3	2
286	что эта	2	2
287	себя и	8	2
288	же оно	3	2
289	другой вопрос	3	2
290	исходят из	2	2
291	все это	7	2
292	в основе	4	2
293	у него	3	2
294	как будто	2	2
295	можно сказать	8	2
296	но оно	3	2
297	из его	2	2
298	мы получим	3	2
299	момент в	6	2
300	для него	8	2
301	в одном	6	2
302	во всяком	4	2
303	без всякого	7	2
304	тем же	2	2
