N	2gram	Berdyaev_M	RusskieA
221	своей книге	2	3
222	в русской	4	3
223	когда он	3	3
224	с таким	2	3
225	и этим	2	3
226	друг к	6	3
227	и его	13	3
228	на природу	4	3
229	же и	2	3
230	быть и	2	3
231	до сих	5	3
232	решить вопрос	2	2
233	в иных	3	2
234	к этим	3	2
235	в европе	2	2
236	не имеют	2	2
237	в себе	12	2
238	от него	4	2
239	в духе	6	2
240	с другим	3	2
241	не как	4	2
242	не знали	2	2
243	в конце	11	2
244	отношение к	9	2
245	вера в	3	2
246	должен быть	4	2
247	одним из	2	2
248	а как	2	2
249	он должен	4	2
250	же можно	2	2
251	под ним	2	2
252	и всегда	3	2
253	и за	2	2
254	в момент	3	2
255	самом деле	2	2
256	тем как	2	2
257	там и	6	2
258	себе в	3	2
259	не так	6	2
260	быть назван	3	2
261	в него	3	2
262	тот кто	5	2
263	только с	3	2
264	к этой	3	2
265	они не	4	2
266	ко всему	2	2
267	в более	4	2
268	людей и	5	2
269	и без	2	2
270	он так	2	2
271	о своей	2	2
272	не были	2	2
273	мы видим	4	2
274	и когда	2	2
275	себя и	6	2
276	интерес к	5	2
277	для него	28	2
278	относится к	2	2
279	христа в	6	2
280	с его	6	2
281	человек на	2	2
282	сказать что	5	2
283	он не	34	2
284	нет в	5	2
285	когда мы	2	2
286	то нет	4	2
287	значит что	4	2
288	и он	21	2
289	в начале	2	2
290	в каждом	4	2
291	должно быть	5	2
292	его как	2	2
293	особенно в	3	2
294	еще до	2	2
295	к самым	2	2
296	целый ряд	2	2
297	чтобы получить	2	2
298	не будут	2	2
299	принадлежат к	3	2
300	с этой	4	2
301	как у	2	2
302	смысле в	2	2
303	не означает	2	2
304	не раскрывает	4	2
305	нас в	3	2
306	что есть	7	2
307	о своих	2	2
308	в жизни	7	2
309	ни с	4	2
310	в чем	3	2
311	что такое	2	2
312	другу и	2	2
313	к новому	2	2
314	был в	4	2
315	не значит	2	2
316	оно не	3	2
317	быть не	2	2
318	но на	2	2
319	был не	2	2
320	если он	7	2
321	по себе	2	2
322	к другому	4	2
323	от нее	5	2
324	у него	38	2
325	только одно	3	2
326	в нашем	2	2
327	но эта	2	2
328	у которых	2	2
329	все в	7	2
