N	2gram	Bakhtin_KF	Komedia
130	мы имеем	5	5
131	в ее	17	5
132	и я	6	5
133	все остальные	2	5
134	для этого	2	5
135	что это	4	5
136	себя в	8	5
137	в сознании	2	5
138	в мире	8	5
139	мира в	6	5
140	отказаться от	2	5
141	от того	3	5
142	именно в	5	5
143	что я	5	5
144	здесь нет	3	5
145	он и	2	5
146	в это	2	5
147	жизни и	8	5
148	конечно не	7	5
149	не о	2	4
150	чтобы не	2	4
151	не остается	2	4
152	в принципе	2	4
153	тем как	3	4
154	и этим	3	4
155	здесь мы	4	4
156	в основе	5	4
157	бы он	2	4
158	я не	6	4
159	бы не	3	4
160	был бы	3	4
161	и их	6	4
162	времени и	4	4
163	за свое	4	4
164	из себя	11	4
165	ближе к	3	4
166	что эта	2	4
167	не следует	2	4
168	как его	4	4
169	в себя	8	4
170	в соответствии	2	3
171	и потому	2	3
172	включая сюда	2	3
173	от него	3	3
174	нисколько не	4	3
175	как к	2	3
176	для себя	7	3
177	должен быть	7	3
178	а как	2	3
179	ни одно	5	3
180	а с	2	3
181	от этого	2	3
182	для этой	3	3
183	она не	2	3
184	его и	2	3
185	людей и	3	3
186	и за	2	3
187	в виде	2	3
188	с ними	4	3
189	и когда	2	3
190	конечно в	2	3
191	в единственном	10	3
192	только как	4	3
193	могла бы	4	3
194	ли это	2	3
195	его с	2	3
196	и эта	2	3
197	совершенно не	7	3
198	чем не	4	3
199	было и	2	3
200	жизнь и	2	3
201	время и	5	3
202	ни у	2	3
203	соответствии с	2	3
204	по себе	2	3
205	ко всему	5	3
206	ему в	2	3
207	и есть	10	3
208	во всем	7	3
209	один и	3	3
210	в каком	4	2
211	тем самым	4	2
212	ни одна	2	2
213	человека и	3	2
214	свою жизнь	2	2
215	для которого	3	2
216	не как	4	2
217	это только	2	2
218	от себя	10	2
219	чтобы дать	2	2
220	того что	3	2
221	нем не	2	2
222	со всеми	2	2
223	о нем	4	2
224	и специально	2	2
225	в ту	2	2
226	гораздо более	2	2
227	войти в	3	2
228	меня и	3	2
229	котором он	3	2
230	однако что	2	2
231	и та	3	2
232	совсем не	2	2
233	и под	2	2
234	здесь не	3	2
235	от своей	5	2
236	содержания и	2	2
237	и мир	2	2
238	все эти	11	2
239	себя и	5	2
240	мир в	12	2
241	и может	3	2
242	должна быть	4	2
243	рядом с	3	2
244	бы и	3	2
245	нет в	4	2
246	на волю	2	2
247	быть не	2	2
248	отношению ко	4	2
249	к которой	2	2
250	но это	6	2
251	ни был	2	2
252	ответственность за	2	2
253	только с	3	2
254	дело не	2	2
255	с ее	2	2
256	я и	5	2
257	жизни в	5	2
258	где он	3	2
259	которого и	2	2
260	а для	2	2
261	отношении к	2	2
262	не должен	3	2
263	с человеком	3	2
264	для него	13	2
265	что только	2	2
266	в жизни	2	2
267	это уже	2	2
268	его жизни	3	2
269	его к	2	2
270	не будет	2	2
271	но нет	2	2
272	на нем	2	2
273	отсюда и	3	2
274	в смысле	6	2
275	поскольку он	3	2
276	имеем в	2	2
277	этом смысле	3	2
278	места в	4	2
279	и она	2	2
280	она могла	2	2
281	ко мне	6	2
282	которой он	2	2
283	сводится к	2	2
284	это противопоставление	4	2
285	основе своей	2	2
286	и только	7	2
287	именно на	2	2
288	меня в	3	2
