N	2gram	Nazirov_Tv	Narrotol
114	в целом	7	7
115	в ее	3	7
116	в глазах	2	7
117	в финале	4	7
118	с другой	4	7
119	в котором	8	7
120	и на	12	7
121	или в	2	7
122	вплоть до	2	6
123	в современной	2	6
124	о нем	2	6
125	однако в	3	6
126	в известном	2	6
127	что и	3	6
128	представляют собой	2	6
129	например в	3	6
130	главного героя	3	6
131	сказать что	3	6
132	известном смысле	2	6
133	то в	2	6
134	на него	2	6
135	героя и	4	6
136	как у	3	6
137	не по	3	6
138	с одной	2	6
139	что у	5	6
140	в конечном	4	6
141	таким образом	14	6
142	человеческих отношений	3	6
143	о жизни	4	5
144	на самом	3	5
145	и у	3	5
146	и о	2	5
147	о котором	2	5
148	особое место	3	5
149	может служить	2	5
150	свидетельствует о	2	5
151	место в	6	5
152	точка зрения	2	5
153	между собой	2	5
154	не столько	4	5
155	было бы	2	5
156	мы не	3	5
157	свою очередь	2	5
158	я не	5	5
159	и здесь	2	5
160	и от	8	5
161	с ними	3	5
162	так сказать	4	5
163	в начале	2	5
164	себя в	3	5
165	с ее	3	5
166	и даже	8	5
167	только что	2	5
168	и вследствие	2	5
169	не случайно	6	5
170	именно в	6	5
171	в своих	8	5
172	в русской	5	5
173	если не	4	5
174	еще в	3	5
175	из них	4	5
176	в одном	3	5
177	не было	3	5
178	и того	2	5
179	он сам	8	5
180	и сам	5	5
181	как будто	5	5
182	даже в	4	4
183	начиная с	2	4
184	и внутреннего	3	4
185	роль в	2	4
186	в виду	3	4
187	по сути	6	4
188	только на	2	4
189	друг друга	2	4
190	в душе	4	4
191	тому что	2	4
192	она не	2	4
193	мы узнаем	3	4
194	это уже	7	4
195	на том	2	4
196	что на	3	4
197	не будет	2	4
198	не все	2	4
199	и когда	2	4
200	и по	5	4
201	что они	3	4
202	в первом	3	4
203	который в	4	4
204	в основе	3	4
205	но зато	3	4
206	хотя бы	5	4
207	к этому	4	4
208	конечном счете	4	4
209	к ней	3	4
210	и как	5	4
211	не имеет	2	4
212	человека в	9	4
213	как по	2	4
214	то у	3	4
215	со всеми	3	4
216	ведет к	3	4
217	ли не	3	4
218	зависит от	4	4
219	что я	4	4
220	и притом	2	4
221	в сфере	2	4
222	и с	9	4
223	не существует	3	4
224	по себе	2	4
225	всяком случае	2	4
226	которой он	2	4
227	к жизни	4	4
228	во всяком	2	4
229	или даже	2	4
230	в себя	3	4
231	не к	2	4
232	о которой	2	4
233	вместе с	4	4
234	до конца	2	3
235	ее и	2	3
236	и потому	4	3
237	так же	6	3
238	как к	2	3
239	за собой	4	3
240	с этой	4	3
241	а как	2	3
242	как известно	3	3
243	в виде	4	3
244	и вот	2	3
245	в романе	24	3
246	не знает	2	3
247	а с	4	3
248	здесь мы	2	3
249	одной из	7	3
250	как уже	2	3
251	в него	2	3
252	и это	2	3
253	ли в	2	3
254	по природе	6	3
255	самим собой	4	3
256	же не	2	3
257	точно так	3	3
258	что не	5	3
259	же как	3	3
260	для автора	4	3
261	все эти	3	3
262	той же	4	3
263	связи с	2	3
264	в пространстве	2	3
265	и тогда	2	3
266	в связи	2	3
267	более не	4	3
268	во время	2	3
269	времени в	13	3
270	и т	14	3
271	особенно в	3	3
272	в направлении	2	3
273	все время	3	3
274	но это	10	3
275	в первой	4	3
276	дело в	4	3
277	что она	5	3
278	дело не	3	3
279	в которой	5	3
280	по мере	2	3
281	героя к	2	3
282	даже если	2	3
283	во второй	3	3
284	должен был	2	3
285	и лишь	2	3
286	в этих	2	3
287	прошлого и	2	3
288	восходит к	2	3
289	со своими	2	3
290	сути дела	5	3
291	на этот	3	3
292	жизни не	2	3
293	приводит к	4	3
294	всякий раз	2	3
295	как она	2	3
296	говорит о	3	3
297	и что	2	3
298	на стороне	3	3
299	характера и	3	3
300	и только	2	3
301	жизни но	2	3
302	наряду с	6	3
303	но он	3	3
304	по причине	2	2
305	и будущего	3	2
306	к одному	2	2
307	мира у	2	2
308	добра и	3	2
309	в которых	3	2
310	когда же	2	2
311	в человеке	4	2
312	как было	2	2
313	у читателя	2	2
314	он живет	2	2
315	и зла	2	2
316	с героями	2	2
317	давно уже	2	2
318	и мире	2	2
319	что с	2	2
320	в их	5	2
321	казалось бы	4	2
322	в любви	3	2
323	достоевского и	5	2
324	это все	2	2
325	из жизни	3	2
326	так что	4	2
327	т п	4	2
328	в момент	5	2
329	людей и	2	2
330	от ее	2	2
331	одновременно и	2	2
332	в повести	5	2
333	указывает на	2	2
334	только с	3	2
335	он говорит	3	2
336	не могу	2	2
337	больше не	5	2
338	жизнь в	2	2
339	говорит об	2	2
340	русской литературы	3	2
341	могут быть	4	2
342	быть может	3	2
343	в сюжете	2	2
344	в году	22	2
345	войне и	2	2
346	в процессе	3	2
347	живет в	3	2
348	для них	2	2
349	героя с	2	2
350	у тургенева	2	2
351	по выражению	2	2
352	было в	2	2
353	личности в	3	2
354	в двух	2	2
355	вовсе не	5	2
356	жизни с	2	2
357	в литературном	2	2
358	к миру	2	2
359	себя но	2	2
360	если в	3	2
361	в мир	2	2
362	это еще	2	2
363	в россии	5	2
364	время в	3	2
365	другой стороны	2	2
366	это в	3	2
367	и еще	2	2
368	и через	4	2
369	его как	2	2
370	по мнению	4	2
371	намек на	2	2
372	в этот	3	2
373	прибегает к	2	2
374	переход от	2	2
375	мысль о	3	2
376	автора в	2	2
377	превращается в	2	2
378	все это	14	2
379	тем что	2	2
380	та же	4	2
381	не есть	2	2
382	и наконец	3	2
383	человека как	2	2
384	и есть	2	2
385	одним из	6	2
386	по словам	2	2
387	себе не	3	2
388	его и	2	2
389	х гг	2	2
390	во всех	2	2
391	русской литературе	4	2
392	и более	2	2
393	о своих	2	2
394	сами по	2	2
395	но уже	2	2
396	с другим	3	2
397	тот самый	2	2
398	когда он	4	2
399	того же	2	2
400	своего я	2	2
401	во многом	8	2
402	а по	3	2
403	к которому	3	2
404	со своим	2	2
405	с которым	2	2
406	таком случае	2	2
407	в настоящем	2	2
408	героев в	2	2
409	еще более	3	2
410	это был	4	2
411	это и	4	2
412	человек и	2	2
413	узнаем что	2	2
414	это время	2	2
415	своих героев	5	2
416	и всякий	2	2
